Organs	Direction	Gene_n	label_y
Artery_Tibial	Age_up	182	182
Artery_Tibial	Age_down	630	812
Esophagus_Mucosa	Age_up	187	187
Esophagus_Mucosa	Age_down	581	768
Lung	Age_up	152	152
Lung	Age_down	572	724
Adipose_Subcutaneous	Age_up	90	90
Adipose_Subcutaneous	Age_down	530	620
Muscle_Skeletal	Age_up	160	160
Muscle_Skeletal	Age_down	385	545
Adipose_Visceral_(Omentum)	Age_up	118	118
Adipose_Visceral_(Omentum)	Age_down	391	509
Whole_Blood	Age_up	210	210
Whole_Blood	Age_down	290	500
Artery_Aorta	Age_up	139	139
Artery_Aorta	Age_down	203	342
Nerve_Tibial	Age_up	72	72
Nerve_Tibial	Age_down	212	284
Uterus	Age_up	119	119
Uterus	Age_down	146	265
Esophagus_Gastroesophageal_Junction	Age_up	58	58
Esophagus_Gastroesophageal_Junction	Age_down	206	264
Colon_Sigmoid	Age_up	70	70
Colon_Sigmoid	Age_down	162	232
Brain_Cortex	Age_up	74	74
Brain_Cortex	Age_down	103	177
Thyroid	Age_up	50	50
Thyroid	Age_down	119	169
Esophagus_Muscularis	Age_up	36	36
Esophagus_Muscularis	Age_down	82	118
Breast_Mammary_Tissue	Age_up	27	27
Breast_Mammary_Tissue	Age_down	89	116
Ovary	Age_up	78	78
Ovary	Age_down	31	109
Heart_Left_Ventricle	Age_up	19	19
Heart_Left_Ventricle	Age_down	89	108
Colon_Transverse	Age_up	33	33
Colon_Transverse	Age_down	68	101
Brain_Cerebellar_Hemisphere	Age_up	29	29
Brain_Cerebellar_Hemisphere	Age_down	48	77
Testis	Age_up	11	11
Testis	Age_down	55	66
Skin_Sun_Exposed_(Lower_leg)	Age_up	13	13
Skin_Sun_Exposed_(Lower_leg)	Age_down	51	64
Skin_Not_Sun_Exposed_(Suprapubic)	Age_up	21	21
Skin_Not_Sun_Exposed_(Suprapubic)	Age_down	37	58
Brain_Caudate_(basal_ganglia)	Age_up	18	18
Brain_Caudate_(basal_ganglia)	Age_down	31	49
Brain_Hypothalamus	Age_up	10	10
Brain_Hypothalamus	Age_down	22	32
Prostate	Age_up	9	9
Prostate	Age_down	22	31
Brain_Cerebellum	Age_up	11	11
Brain_Cerebellum	Age_down	10	21
Adrenal_Gland	Age_up	3	3
Adrenal_Gland	Age_down	12	15
Stomach	Age_up	3	3
Stomach	Age_down	12	15
Brain_Hippocampus	Age_up	3	3
Brain_Hippocampus	Age_down	11	14
Heart_Atrial_Appendage	Age_up	4	4
Heart_Atrial_Appendage	Age_down	5	9
Vagina	Age_up	4	4
Vagina	Age_down	4	8
Minor_Salivary_Gland	Age_up	2	2
Minor_Salivary_Gland	Age_down	2	4
Brain_Amygdala	Age_up	2	2
Brain_Amygdala	Age_down	1	3
Brain_Anterior_cingulate_cortex_(BA24)	Age_up	0	0
Brain_Anterior_cingulate_cortex_(BA24)	Age_down	2	2
Artery_Coronary	Age_up	1	1
Artery_Coronary	Age_down	0	1
Brain_Nucleus_accumbens_(basal_ganglia)	Age_up	1	1
Brain_Nucleus_accumbens_(basal_ganglia)	Age_down	0	1
Brain_Putamen_(basal_ganglia)	Age_up	1	1
Brain_Putamen_(basal_ganglia)	Age_down	0	1
Pancreas	Age_up	1	1
Pancreas	Age_down	0	1
