Organs	Direction	Gene_n	label_y
Artery_Tibial	Age_up	109	109
Artery_Tibial	Age_down	451	560
Muscle_Skeletal	Age_up	57	57
Muscle_Skeletal	Age_down	210	267
Adipose_Subcutaneous	Age_up	25	25
Adipose_Subcutaneous	Age_down	209	234
Artery_Aorta	Age_up	127	127
Artery_Aorta	Age_down	106	233
Nerve_Tibial	Age_up	46	46
Nerve_Tibial	Age_down	90	136
Esophagus_Mucosa	Age_up	18	18
Esophagus_Mucosa	Age_down	79	97
Brain_Cortex	Age_up	27	27
Brain_Cortex	Age_down	47	74
Uterus	Age_up	36	36
Uterus	Age_down	34	70
Ovary	Age_up	37	37
Ovary	Age_down	17	54
Thyroid	Age_up	13	13
Thyroid	Age_down	8	21
Adipose_Visceral_(Omentum)	Age_up	7	7
Adipose_Visceral_(Omentum)	Age_down	10	17
Testis	Age_up	4	4
Testis	Age_down	13	17
Lung	Age_up	12	12
Lung	Age_down	4	16
Brain_Cerebellum	Age_up	7	7
Brain_Cerebellum	Age_down	8	15
Skin_Sun_Exposed_(Lower_leg)	Age_up	2	2
Skin_Sun_Exposed_(Lower_leg)	Age_down	9	11
Colon_Sigmoid	Age_up	5	5
Colon_Sigmoid	Age_down	3	8
Prostate	Age_up	6	6
Prostate	Age_down	1	7
Adrenal_Gland	Age_up	3	3
Adrenal_Gland	Age_down	3	6
Esophagus_Muscularis	Age_up	4	4
Esophagus_Muscularis	Age_down	1	5
Heart_Atrial_Appendage	Age_up	2	2
Heart_Atrial_Appendage	Age_down	0	2
Artery_Coronary	Age_up	1	1
Artery_Coronary	Age_down	0	1
Esophagus_Gastroesophageal_Junction	Age_up	1	1
Esophagus_Gastroesophageal_Junction	Age_down	0	1
Pancreas	Age_up	1	1
Pancreas	Age_down	0	1
Skin_Not_Sun_Exposed_(Suprapubic)	Age_up	0	0
Skin_Not_Sun_Exposed_(Suprapubic)	Age_down	1	1
Spleen	Age_up	0	0
Spleen	Age_down	1	1
Stomach	Age_up	0	0
Stomach	Age_down	1	1
Whole_Blood	Age_up	0	0
Whole_Blood	Age_down	1	1
