GeneSymbol	Age.Coef	p.value	FDR
ENSG00000162542.9	TMCO4	-0.0258935862930618	2.09889681136468e-06	0.000629118513098227
ENSG00000134716.5	CYP2J2	0.0298179981323706	7.73161321998201e-07	0.000372012673984608
ENSG00000117592.8	PRDX6	-0.0263297070698907	1.2951196826601e-08	1.39293931045631e-05
ENSG00000159348.8	CYB5R1	-0.0186119302172039	7.30134849465201e-07	0.000360805015881669
ENSG00000116141.11	MARK1	-0.025911489641706	9.84060696507114e-07	0.000418431762207816
ENSG00000135750.10	KCNK1	-0.0264022903880626	4.9849287312662e-07	0.000260412676921346
ENSG00000121644.14	DESI2	-0.0218949485337964	2.80628120941427e-07	0.000183250162974752
ENSG00000236780.1	AC078941.1	-0.0329328969953269	2.51061511293063e-09	5.73801084060296e-06
ENSG00000178074.5	C2orf69	0.0196520779476389	1.84351594438887e-06	0.000601907955842967
ENSG00000135905.14	DOCK10	0.029495435135289	2.45617090293553e-07	0.000169567798780167
ENSG00000170876.7	TMEM43	-0.0280737364005492	1.3705393398827e-06	0.000556865362009229
ENSG00000010282.10	HHATL	0.0313233670495604	6.66945970562377e-08	5.8068762503631e-05
ENSG00000178075.15	GRAMD1C	-0.0307262746179971	4.5824698376709e-10	2.7298852185899e-06
ENSG00000172667.6	ZMAT3	0.022744777360752	1.22436686514133e-06	0.000508780085505549
ENSG00000163923.5	RPL39L	-0.0330851335337975	7.95726433227221e-09	1.11615813430593e-05
ENSG00000087274.12	ADD1	-0.0186353321667576	2.56603550865558e-06	0.000721806049850132
ENSG00000163071.6	SPATA18	0.0315690043831984	1.14855947460622e-09	3.50004357228334e-06
ENSG00000198099.4	ADH4	0.0331289417056015	4.63435670307565e-09	7.99571282393901e-06
ENSG00000171557.12	FGG	-0.0270459344869873	1.66297837875514e-06	0.000584728782253059
ENSG00000113119.8	TMCO6	-0.0240709777778235	3.5707001771472e-07	0.000204079066386981
ENSG00000170231.11	FABP6	0.028863834267673	3.06398291037422e-07	0.000186983041295329
ENSG00000205269.4	TMEM170B	0.0225305618632246	2.29321539885716e-06	0.000676276618592006
ENSG00000172197.9	MBOAT1	-0.0231873134345313	1.90726409446052e-06	0.000609989219394306
ENSG00000112655.11	PTK7	-0.0212605506708852	1.80038135242229e-06	0.000601907955842967
ENSG00000057657.10	PRDM1	0.0237559108115859	3.05704019126331e-06	0.000834252579956095
ENSG00000186439.8	TRDN	0.0261103605425772	1.74597225324168e-06	0.000601907955842967
ENSG00000112414.10	GPR126	0.0227246378726229	1.93499096066888e-06	0.000609989219394306
ENSG00000133878.4	DUSP26	-0.0249983489367279	4.81037196802281e-09	7.99571282393901e-06
ENSG00000147548.12	WHSC1L1	-0.0213876651465078	1.45727184730227e-06	0.000557532432905788
