GeneSymbol	Age.Coef	p.value	FDR
ENSG00000225630.1	MTND2P28	-0.0158647194998087	0.000135288191047105	0.000656727223633784
ENSG00000228794.4	RP11-206L10.11	-0.0216416716092044	1.52123492749107e-08	2.40397411782234e-07
ENSG00000186827.6	TNFRSF4	0.0216518068272721	2.33465322321513e-06	1.96596924143915e-05
ENSG00000078808.12	SDF4	0.0255859879050253	1.17261463446671e-08	1.9146039125956e-07
ENSG00000225285.1	RP4-758J18.10	-0.0213605611666978	7.75260944172431e-06	5.58906908979483e-05
ENSG00000160072.15	ATAD3B	0.0184473970699381	1.02993177183475e-06	9.59704354400731e-06
ENSG00000189409.8	MMP23B	-0.0212528113329059	4.96392736150136e-06	3.79666882737967e-05
ENSG00000215914.3	MMP23A	-0.027489263262747	6.08203547150086e-09	1.06885162503506e-07
ENSG00000178821.8	TMEM52	-0.024423475541413	3.54868555346762e-07	3.77903138521642e-06
ENSG00000187730.6	GABRD	0.020613827575353	1.13813721798979e-05	7.75049713890541e-05
ENSG00000162585.12	C1orf86	0.0225650361993991	2.14113655254839e-07	2.44323292059616e-06
ENSG00000074800.9	ENO1	0.0312662359238826	3.11300834090946e-16	4.08961229730028e-14
ENSG00000234546.2	RP3-510D11.2	0.0267853014389704	7.50917803329037e-11	2.22450226787489e-09
ENSG00000171621.9	SPSB1	0.0264999960393701	1.03032216148716e-08	1.71146390824565e-07
ENSG00000116649.5	SRM	0.0220338209862785	5.60777719620086e-12	2.32876391373738e-10
ENSG00000226849.1	RP4-635E18.7	0.0146645498559534	5.0597969738577e-07	5.177945714771e-06
ENSG00000116663.6	FBXO6	0.0178173273775102	2.04573266814181e-05	0.000128798309106374
ENSG00000083444.12	PLOD1	0.0319558194511413	1.00089548477832e-13	6.65785491614073e-12
ENSG00000116688.12	MFN2	-0.0130732455908569	7.07501101897658e-06	5.15161631001461e-05
ENSG00000116731.18	PRDM2	-0.0189071730228182	5.50132005563975e-06	4.15373642557208e-05
ENSG00000171729.9	TMEM51	-0.028064249561445	8.10875590660679e-10	1.85289147217677e-08
