GeneSymbol	Age.Coef	p.value	FDR
ENSG00000178821.8	TMEM52	0.0298085997926808	1.08101595546704e-07	6.24687354172268e-05
ENSG00000142609.13	C1orf222	0.0364661602179545	5.37126115127145e-08	4.0651574269312e-05
ENSG00000177133.6	LINC00982	0.0312672506535619	2.23229603973333e-06	0.000381169318647799
ENSG00000171608.11	PIK3CD	0.025858768384796	8.93626516626254e-06	0.000906237083713671
ENSG00000117682.12	DHDDS	-0.0265117376582316	2.83374682303534e-06	0.000445768456933858
ENSG00000117676.9	RPS6KA1	-0.0290802077861002	1.28025103269744e-07	6.55816798236654e-05
ENSG00000121900.14	TMEM54	0.0324325690843459	1.55944831312686e-06	0.000310382674259765
ENSG00000117408.6	IPO13	-0.022631368168078	2.3125422568609e-06	0.000388235035357707
ENSG00000134716.5	CYP2J2	0.0318280693984732	2.83228694059766e-09	6.34741597788424e-06
ENSG00000116473.10	RAP1A	-0.0302807490518121	4.76601936001983e-08	3.87406237182918e-05
ENSG00000223804.1	RP6-206I17.1	0.0347727990803485	8.14500171316649e-08	5.08502638205126e-05
ENSG00000143365.12	RORC	0.0352800938188025	3.5527272116771e-07	0.000118293973724809
ENSG00000160678.7	S100A1	0.0313449894716344	1.82064246318307e-06	0.000337563472514422
ENSG00000162704.11	ARPC5	-0.0307167086966429	5.78299289373806e-07	0.000156125178420404
ENSG00000143842.10	SOX13	0.0268981194073725	8.40105403299843e-07	0.000204678362769808
ENSG00000117594.5	HSD11B1	0.0422910920134333	3.84832356261118e-12	3.8440904066923e-08
ENSG00000123684.8	LPGAT1	-0.0327885904955711	3.74367399095763e-06	0.000530012816924235
ENSG00000169006.6	NTSR2	0.0268748483682719	7.88067247358251e-06	0.000824293584697546
ENSG00000157833.8	GAREML	0.0324809099133501	1.11380653754283e-07	6.24687354172268e-05
ENSG00000143919.10	CAMKMT	0.0347266435674211	6.51637026013856e-09	1.08486704214207e-05
ENSG00000138083.3	SIX3	0.0344867154905054	1.26271809541734e-06	0.00028666570579827
ENSG00000272663.1	RP11-191L17.1	0.032189194127734	1.32687391569884e-06	0.000290405888116622
ENSG00000068615.12	REEP1	-0.0326416828558665	5.1861369866866e-07	0.000144691661649961
ENSG00000144339.7	TMEFF2	-0.0230252840360467	7.670392131932e-06	0.000806521547430198
ENSG00000072182.8	ASIC4	0.0351437316391711	1.791515669201e-08	2.38606000261984e-05
ENSG00000153827.9	TRIP12	-0.0305025382798579	1.68812923883557e-06	0.000324283133975548
ENSG00000204128.5	C2orf72	0.0377853810569067	4.43202885435624e-10	1.77086144904658e-06
ENSG00000163701.14	IL17RE	0.0299797941915297	3.54532612126693e-06	0.000509557735616337
ENSG00000163702.14	IL17RC	0.0337148194126148	4.14853086870777e-07	0.000129498983898506
ENSG00000154764.5	WNT7A	0.031663393951133	4.27758851342818e-06	0.000558546819093257
ENSG00000136059.10	VILL	0.0322220949283037	6.03898048655241e-06	0.000701434605583396
ENSG00000163812.9	ZDHHC3	-0.0253615309754481	1.05985352306852e-06	0.000246206438184452
ENSG00000088538.12	DOCK3	-0.0262791959656305	6.90948453138459e-06	0.000749073178741164
ENSG00000164082.10	GRM2	-0.0272407833080454	8.90392671517476e-06	0.000906237083713671
ENSG00000041880.10	PARP3	0.0330026289366187	2.90515059426905e-06	0.000452203821784807
ENSG00000172986.8	GXYLT2	-0.0345553855289856	1.40683631115253e-07	6.62974880287298e-05
ENSG00000163884.3	KLF15	0.0288560435537623	4.6157670776187e-07	0.000137632529368159
ENSG00000047457.9	CP	0.0225211906662956	4.87877236124181e-06	0.000602246850218663
ENSG00000068078.13	FGFR3	0.0303858277267377	1.44869139182764e-09	4.82365943765542e-06
ENSG00000065882.11	TBC1D1	0.0316172683640931	1.56462399372322e-07	6.68418676791084e-05
ENSG00000138759.13	FRAS1	-0.0418007061403343	6.33600699657694e-09	1.08486704214207e-05
ENSG00000145335.11	SNCA	-0.0293661538563238	5.05535695819796e-07	0.000144691661649961
ENSG00000138698.10	RAP1GDS1	-0.028270723033987	6.93655711618357e-06	0.000749073178741164
ENSG00000145358.2	DDIT4L	0.0298118580147696	1.35241875431655e-07	6.58990777408196e-05
ENSG00000248429.1	RP11-597D13.9	0.0237877721937029	1.82485008667322e-06	0.000337563472514422
ENSG00000151718.11	WWC2	-0.0464740110764925	2.23892558721343e-12	3.8440904066923e-08
ENSG00000186468.8	RPS23	-0.0314344161734585	2.09821965820233e-06	0.000370957808243947
ENSG00000164176.8	EDIL3	-0.0310613460734727	9.92286627426514e-06	0.000976546908508714
ENSG00000248309.1	MEF2C-AS1	0.0303577057755261	2.94733685470541e-06	0.000452937659102344
ENSG00000172568.4	FNDC9	0.0351394513985001	1.71747613301829e-07	7.00239554804887e-05
ENSG00000145934.11	TENM2	0.0296096984193283	3.7269889258653e-07	0.000122061942231044
ENSG00000112304.6	ACOT13	0.0272633994082065	1.54214747119588e-06	0.000310382674259765
ENSG00000124615.13	MOCS1	0.0307618115919646	4.96040492606894e-06	0.000606939857542547
ENSG00000156508.13	EEF1A1	-0.0318569594675177	1.53103420707095e-06	0.000310382674259765
ENSG00000164418.15	GRIK2	-0.0297698428362926	1.50770929718298e-07	6.68418676791084e-05
ENSG00000146350.9	TBC1D32	-0.0291746604836661	6.12291268802038e-06	0.000703008906214202
ENSG00000118495.14	PLAGL1	-0.0375540912886108	1.46015090262494e-07	6.62974880287298e-05
ENSG00000106003.8	LFNG	0.0324845876263862	3.05171287543925e-07	0.000105115723837113
ENSG00000154678.12	PDE1C	-0.0306158773667975	5.21396546071373e-06	0.000627497602253849
ENSG00000106077.14	ABHD11	0.0321393456865215	9.72567420664465e-09	1.38785370928819e-05
ENSG00000164659.10	KIAA1324L	-0.0353648516411946	7.70603213384443e-07	0.000190063098728326
ENSG00000105852.6	PON3	0.0247602503029429	8.71675779956055e-06	0.000893043011895491
ENSG00000106018.9	VIPR2	0.0367108226946783	5.49400593288329e-08	4.0651574269312e-05
ENSG00000158815.6	FGF17	0.0276289845004729	2.18464879200002e-06	0.000376249254884279
ENSG00000157168.14	NRG1	-0.028383331169531	3.85471613681261e-06	0.000534788326258627
ENSG00000104365.9	IKBKB	0.0291622210942281	2.3535384063979e-06	0.000391824919025143
ENSG00000137563.7	GGH	-0.0336569076714996	1.46732094938569e-06	0.000309409815352724
ENSG00000172164.9	SNTB1	0.0210309212168369	1.71587184829525e-06	0.000326473217002309
ENSG00000153310.14	FAM49B	-0.0259027861063582	8.45811300727652e-06	0.000880084279475887
ENSG00000171889.3	MIR31HG	0.0372463414905708	8.08545270808984e-08	5.08502638205126e-05
ENSG00000148123.10	LPPR1	-0.0278612175284061	3.71992947657546e-06	0.000530012816924235
ENSG00000070159.9	PTPN3	-0.0383430757467259	2.15830975491473e-09	6.15981604052663e-06
ENSG00000175287.14	PHYHD1	0.0379961613013387	6.32551433038451e-11	4.21237084308073e-07
ENSG00000186350.8	RXRA	0.031047679099743	2.86772441508574e-08	3.23917231971655e-05
ENSG00000057608.12	GDI2	-0.0291982824899749	4.19680439839545e-06	0.000558546819093257
ENSG00000273372.1	RP11-479O17.10	0.0315511264104305	6.40669016290679e-06	0.000724549153791843
ENSG00000176273.10	SLC35G1	-0.028061252261658	6.92145260472599e-07	0.000177277923252841
ENSG00000197430.6	OPALIN	-0.0312405716477736	1.95910010228187e-06	0.000355808198576248
ENSG00000172987.8	HPSE2	0.034464097466047	2.286771449581e-07	8.30638545813258e-05
ENSG00000170743.12	SYT9	-0.0268124778664732	5.93352303649452e-06	0.000693215925281213
ENSG00000133805.11	AMPD3	-0.0291386640773029	4.08012641094409e-06	0.000547196461214376
ENSG00000165970.7	SLC6A5	-0.0284644770193991	1.35456548337884e-06	0.000290983970182178
ENSG00000129151.4	BBOX1	0.0248081197193689	8.70139310501823e-07	0.000209441483677174
ENSG00000149100.8	EIF3M	-0.033922396823795	1.57251365548008e-07	6.68418676791084e-05
ENSG00000110427.10	KIAA1549L	-0.0259441146800051	9.44020875558557e-06	0.000947721057884867
ENSG00000078124.7	ACER3	-0.0290370033338827	6.56292108926687e-06	0.000733515821257755
ENSG00000149269.5	PAK1	-0.0263998391556364	2.55134493328721e-06	0.000414396496562697
ENSG00000204403.5	CASP12	0.0323716377213823	1.78350956956155e-07	7.12619083614013e-05
ENSG00000186318.12	BACE1	-0.0308002587303584	4.32629303533295e-06	0.000561238196492739
ENSG00000151490.9	PTPRO	-0.0359428914073347	4.46794809314389e-07	0.000135243434855801
ENSG00000052126.10	PLEKHA5	-0.0405703623098384	1.14604583513546e-10	5.72392592358405e-07
ENSG00000060982.10	BCAT1	-0.0272246734135465	1.03424376804535e-05	0.000988618277416744
ENSG00000169884.9	WNT10B	-0.031418365480865	1.0403983899993e-05	0.00098976566835267
ENSG00000066084.8	DIP2B	-0.0299660285881959	1.80007313525035e-06	0.000337563472514422
ENSG00000175203.11	DCTN2	-0.0219257136327216	3.99372283712002e-06	0.000542765951292407
ENSG00000185046.14	ANKS1B	-0.0350917397378177	3.46665320856622e-06	0.000501860853628521
ENSG00000139352.3	ASCL1	0.0333748900003822	2.91846539968455e-08	3.23917231971655e-05
ENSG00000076555.11	ACACB	0.0321213312746224	9.55769550165711e-09	1.38785370928819e-05
ENSG00000122986.9	HVCN1	0.0263141878493597	1.90159462101632e-07	7.21875479584162e-05
ENSG00000089225.15	TBX5	0.0397234739969391	5.82969411646016e-08	4.15948675209432e-05
ENSG00000089094.12	KDM2B	0.0256076427624073	6.4681997761394e-08	4.30738983759043e-05
ENSG00000139726.6	DENR	-0.0258148748087385	4.83811808615427e-06	0.000602246850218663
ENSG00000090615.8	GOLGA3	0.0305474591879921	1.14043461120013e-07	6.24687354172268e-05
ENSG00000102755.6	FLT1	0.0304207409052788	4.50651500839115e-06	0.000577122800241271
ENSG00000102595.14	UGGT2	-0.0282044072399128	1.05045403297558e-06	0.000246206438184452
ENSG00000224243.1	LINC00403	0.0293443158685144	1.01540340321381e-05	0.000988063663979554
ENSG00000269356.1	RP11-120K24.4	0.0363261496580657	1.03221600113265e-07	6.24687354172268e-05
ENSG00000269376.1	RP11-120K24.5	0.0339396998528352	7.47422489234786e-07	0.000186650081124157
ENSG00000100433.11	KCNK10	-0.0347668863182729	4.2760910793231e-07	0.000131427303973411
ENSG00000100605.12	ITPK1	0.0299229023991251	4.260646333794e-06	0.000558546819093257
ENSG00000227051.4	C14orf132	-0.0287917686422364	1.67216013517442e-06	0.000324283133975548
ENSG00000198838.7	RYR3	0.0295343420874578	1.15694424388697e-07	6.24687354172268e-05
ENSG00000168781.17	PPIP5K1	-0.0259389763694372	1.02377204146445e-05	0.000988063663979554
ENSG00000140279.8	DUOX2	-0.0357864127054015	4.06643745487858e-08	3.86853749874116e-05
ENSG00000074803.13	SLC12A1	0.0306600530494623	7.17894305887708e-06	0.000771080238872292
ENSG00000185088.8	RPS27L	0.0272009268976355	2.60328492979068e-06	0.000419422792962566
ENSG00000103740.5	ACSBG1	0.0256168559762853	3.22221268922494e-07	0.00010910739848362
ENSG00000140522.7	RLBP1	0.0306892731832047	1.3373381573095e-06	0.000290405888116622
ENSG00000236829.5	Z97634.3	0.0333641895361665	1.20643507193965e-06	0.000277036320312763
ENSG00000103202.8	NME4	0.0319921021836554	2.06380917149765e-06	0.000368131960965893
ENSG00000262528.1	LA16c-349E10.1	0.0290394026327489	1.56915857944921e-06	0.000310382674259765
ENSG00000262712.1	RP11-295D4.1	0.029433478401282	5.77545441888212e-06	0.000686797787978732
ENSG00000176046.7	NUPR1	0.0297958943550248	6.08013318505449e-06	0.000702132374398951
ENSG00000052344.11	PRSS8	0.0403008652788603	3.32748900293648e-08	3.44521408381737e-05
ENSG00000177508.11	IRX3	0.0298331201988593	2.52341894773901e-06	0.000413220194573197
ENSG00000005194.10	CIAPIN1	-0.0252193310724162	1.91603841619417e-06	0.000351179958520433
ENSG00000141098.8	GFOD2	-0.0212009923970366	9.25287940540171e-06	0.000933606185662199
ENSG00000103035.6	PSMD7	-0.0313988740526792	6.62781964617652e-06	0.00073561433828508
ENSG00000230989.2	HSBP1	-0.0259980561239577	5.87358118076921e-07	0.000156456539772543
ENSG00000108947.4	EFNB3	-0.0335050419683169	6.12281372692871e-07	0.000160949437679713
ENSG00000167549.14	CORO6	0.0359437067372715	4.5039075401857e-09	8.99790648378298e-06
ENSG00000108578.10	BLMH	-0.0388820057900895	2.85948262093093e-09	6.34741597788424e-06
ENSG00000141314.8	RHBDL3	0.0319272262544095	1.19746541356545e-07	6.29551685058172e-05
ENSG00000176658.12	MYO1D	-0.0319316491598542	6.68778615839817e-06	0.000738169015870048
ENSG00000131095.7	GFAP	0.0312137348460485	6.26334688277809e-07	0.000162505381849533
ENSG00000161714.7	PLCD3	0.0278337176103758	2.6580358690826e-06	0.000424817924740258
ENSG00000181513.10	ACBD4	0.0317137626773358	1.71234366528569e-07	7.00239554804887e-05
ENSG00000121060.10	TRIM25	0.0250938452828864	5.86221079107638e-06	0.00068891321873014
ENSG00000153822.9	KCNJ16	0.0284943817243778	1.43264306951486e-07	6.62974880287298e-05
ENSG00000177303.5	CASKIN2	0.0316414046604166	6.57219601587437e-06	0.000733515821257755
ENSG00000132470.9	ITGB4	0.0217032176001143	3.46552138504217e-06	0.000501860853628521
ENSG00000263935.1	RP11-674N23.2	-0.0322508767149574	6.41932126444871e-06	0.000724549153791843
ENSG00000141429.9	GALNT1	-0.026498768171743	3.78530302990261e-06	0.000530012816924235
ENSG00000166569.4	CPLX4	-0.0284588904740618	2.46066537197821e-06	0.000406274155383311
ENSG00000105278.6	ZFR2	0.0329217556063315	1.67287124099243e-06	0.000324283133975548
ENSG00000167658.11	EEF2	-0.0210879178887252	2.13049058919106e-06	0.000373359131498763
ENSG00000087903.8	RFX2	0.0279935857289061	3.81466031425228e-07	0.00012291819960989
ENSG00000187867.4	PALM3	0.032066462351029	4.84791066651965e-08	3.87406237182918e-05
ENSG00000085872.10	CHERP	0.025060319576387	5.32744891359525e-07	0.000145796951227131
ENSG00000188039.9	NWD1	0.0293425629598426	4.98238745805274e-06	0.000606939857542547
ENSG00000223802.3	CERS1	0.0293325324776515	1.03274630688219e-05	0.000988618277416744
