GeneSymbol	Age.Coef	p.value	FDR
ENSG00000221978.7	CCNL2	0.0281722466558134	9.58464354769589e-06	0.000306286431412422
ENSG00000078369.13	GNB1	-0.0366446255935359	5.37071013563196e-08	1.13125635319241e-05
ENSG00000067606.11	PRKCZ	-0.0377485959351776	1.0719021853431e-06	7.47241704935446e-05
ENSG00000142606.11	MMEL1	0.0309836265734091	1.81923191893081e-05	0.000452820000761571
ENSG00000130762.10	ARHGEF16	0.0366203546797025	1.54053339217803e-06	9.51343825418159e-05
ENSG00000007923.11	DNAJC11	-0.034908409918954	5.39090286388397e-06	0.000212649287278784
ENSG00000241563.2	CORT	-0.0390406581463987	1.56982075261275e-07	2.19423307573947e-05
ENSG00000116661.9	FBXO2	0.0257665930975679	1.63129827346514e-05	0.000426642214671677
ENSG00000189337.11	KAZN	-0.033951940204763	9.08560000468204e-06	0.000294178212383002
ENSG00000162545.5	CAMK2N1	-0.0274076114297573	1.13387270182755e-06	7.79348503722802e-05
ENSG00000133216.12	EPHB2	-0.0353463602481033	4.03171681975407e-06	0.000174310615101838
ENSG00000158008.5	EXTL1	-0.0340468298743987	3.34664053293795e-06	0.000153530073535647
ENSG00000175707.7	C1orf172	0.0379318016353195	1.97282613973215e-09	1.48637274043127e-06
ENSG00000121764.7	HCRTR1	-0.0378305866907644	5.20419270567379e-07	4.78882348774259e-05
ENSG00000121753.8	BAI2	-0.0368837317757	1.07982511149389e-06	7.50095535782051e-05
ENSG00000160097.11	FNDC5	-0.0342028777586839	1.41355019059481e-06	8.99685447397742e-05
ENSG00000121905.5	HPCA	-0.0397313332025145	5.98671741626799e-08	1.21439892232605e-05
ENSG00000116544.7	DLGAP3	-0.0322988728423257	1.64744615567846e-07	2.25677082122975e-05
ENSG00000163867.12	ZMYM6	0.0233095656712928	2.4717396057329e-05	0.000552422693644556
ENSG00000163873.5	GRIK3	-0.0377661004786848	2.62899300711223e-08	7.79733053614816e-06
ENSG00000116983.8	HPCAL4	-0.0357918084244685	1.03051535223142e-06	7.25552187328851e-05
ENSG00000127124.9	HIVEP3	-0.0413585336352464	1.99572994813901e-07	2.5060483303907e-05
ENSG00000177181.10	RIMKLA	-0.0338350445982782	1.69543503792767e-05	0.00043414218245706
ENSG00000117385.11	LEPRE1	0.0287310922285497	3.14712455145506e-05	0.000658522060505238
ENSG00000132768.9	DPH2	-0.0301095874925126	3.2895613622247e-06	0.000152077560461527
ENSG00000117411.12	B4GALT2	-0.0359683056361098	1.47068960788095e-10	4.80155645479665e-07
ENSG00000117450.9	PRDX1	0.0382720311413932	9.52886436118089e-07	6.9390678056198e-05
ENSG00000159596.6	TMEM69	0.0329623354539032	1.27775853934258e-06	8.60137870349889e-05
ENSG00000169213.6	RAB3B	-0.0366538987787417	1.3303496961409e-06	8.79524231232518e-05
ENSG00000154222.10	CC2D1B	0.0280328413817144	5.90048435637069e-06	0.00022574951266731
ENSG00000116221.11	MRPL37	-0.0319078912045986	2.64744436973222e-05	0.000578158168993138
ENSG00000243725.2	TTC4	0.0270085313148055	2.07691742185827e-05	0.000495550979010738
ENSG00000081985.6	IL12RB2	-0.0318616860560554	3.26770085256347e-05	0.000672255459835778
ENSG00000197568.9	HHLA3	0.0324505799108741	3.59764784724647e-05	0.000709938888127539
ENSG00000162642.9	C1orf52	-0.0336816978281739	1.40455872883023e-05	0.000387519731535992
ENSG00000171502.10	COL24A1	-0.0361430966846016	5.74984332150231e-06	0.000221284245235577
ENSG00000117598.7	LPPR5	-0.0342632039270204	7.76395480124451e-07	6.1574133846793e-05
ENSG00000117600.8	LPPR4	-0.0380877013061522	1.06060856252325e-07	1.703899900213e-05
ENSG00000156876.8	SASS6	0.0304480607131402	1.51978653712596e-05	0.000406708995570497
ENSG00000221986.2	MYBPHL	0.0306183210524518	2.70351895687949e-05	0.000585832221751242
ENSG00000174151.10	CYB561D1	-0.041987325267118	9.63098147424581e-10	1.04811831166112e-06
ENSG00000168765.11	GSTM4	0.0327697419719798	2.12972291487622e-05	0.000501803279972267
ENSG00000173947.9	PIFO	0.0386262457313024	1.68218585262965e-07	2.28835685188626e-05
ENSG00000143110.7	C1orf162	0.0285871313322144	1.28565512474598e-05	0.00036446741300505
ENSG00000197852.8	FAM212B	-0.0413636875230981	4.47439168561242e-08	1.01917277592397e-05
ENSG00000143067.4	ZNF697	-0.0331773294937051	7.03407419039973e-06	0.000254225976597307
ENSG00000198483.8	ANKRD35	0.0296086834669841	3.33697006561746e-06	0.000153445790176949
ENSG00000131788.11	PIAS3	0.0392127297292806	3.27462235827838e-07	3.52453721847886e-05
ENSG00000143401.10	ANP32E	0.0306126952012267	5.15968654563892e-06	0.000207542299265956
ENSG00000143420.13	ENSA	-0.0334470886225783	7.68262082785962e-06	0.000266834857086777
ENSG00000159409.10	CELF3	-0.0361889346047245	3.47575921943662e-07	3.6844882068142e-05
ENSG00000234614.1	AL450992.2	-0.035154881621956	2.31266116184468e-05	0.000527389051215082
ENSG00000143554.9	SLC27A3	0.0285212255741027	4.25902950465826e-05	0.000795330114077698
ENSG00000143549.15	TPM3	-0.0320498545175804	1.41458531726226e-06	8.99685447397742e-05
ENSG00000160716.4	CHRNB2	-0.0311763703203287	5.87210008606197e-05	0.000988217943177559
ENSG00000163354.10	DCST2	0.0362816519774813	2.75985535321985e-06	0.000137217240680935
ENSG00000231064.1	RP11-263K19.4	0.0339060604529442	1.02932829868774e-05	0.000318036467555112
ENSG00000132718.7	SYT11	-0.0356319580907761	1.79075755038443e-06	0.000104227474117533
ENSG00000116584.13	ARHGEF2	-0.0283670902782466	8.37827205690049e-06	0.000281556402589237
ENSG00000160785.9	SLC25A44	-0.0359996256010756	3.75685830227169e-06	0.000166877771617234
ENSG00000116604.13	MEF2D	-0.0342409319928682	3.83486154970506e-06	0.000169573595704678
ENSG00000272971.1	RP11-284F21.11	0.0360759421317319	4.85932498401094e-06	0.00019831107731623
ENSG00000158882.8	TOMM40L	-0.0360291894089192	3.31628324947838e-06	0.000152853347233017
ENSG00000143257.7	NR1I3	-0.0372737148873855	1.54437355905342e-06	9.51343825418159e-05
ENSG00000248485.1	PCP4L1	-0.0420450284263237	9.67375441859292e-09	3.94789948553785e-06
ENSG00000143179.8	UCK2	-0.0400156593487993	2.4225723818849e-07	2.8247482374252e-05
ENSG00000198842.5	DUSP27	-0.035947270947008	1.92568904372481e-06	0.000109024053981287
ENSG00000143164.11	DCAF6	-0.0325944881878655	2.24664832480635e-05	0.000518981061729146
ENSG00000261185.1	RP11-317P15.5	-0.0337623477464887	1.06047530713324e-06	7.41916099694036e-05
ENSG00000135824.8	RGS8	-0.0381431536426347	2.83609228733687e-07	3.17399459462259e-05
ENSG00000116667.8	C1orf21	-0.0337909651939329	1.17927264067373e-07	1.8383244968227e-05
ENSG00000162670.8	BRINP3	-0.0340769487322813	1.79308074825712e-06	0.000104227474117533
ENSG00000260088.1	RP11-92G12.3	0.0318060566205019	3.10062555858098e-05	0.000650998435873985
ENSG00000116852.10	KIF21B	-0.0492776321566791	1.36466160152477e-11	2.12540087614362e-07
ENSG00000229191.1	RP11-168O16.1	-0.0393993909492657	5.96594411611333e-07	5.14832067359225e-05
