GeneSymbol	Age.Coef	p.value	FDR
ENSG00000234546.2	RP3-510D11.2	0.0275224126913652	3.91209030920086e-07	0.000281023502711325
ENSG00000158747.9	NBL1	0.0242287704858989	3.8439344510687e-06	0.000886335354847038
ENSG00000162419.8	GMEB1	-0.0226144203135197	3.57181846522527e-06	0.00084196198869918
ENSG00000198492.10	YTHDF2	-0.0220112119984394	9.65880588932738e-07	0.000439993945353579
ENSG00000055732.8	MCOLN3	0.0224504941676648	1.0789932343215e-06	0.000449834698228342
ENSG00000213281.4	NRAS	-0.0250096392965669	2.61544269189228e-06	0.000784286109070715
ENSG00000065183.11	WDR3	-0.0217547368369942	1.28944553006655e-06	0.000498051201942001
ENSG00000000457.9	SCYL3	-0.025023524202233	1.15386267056135e-06	0.000458525385065413
ENSG00000162702.7	ZNF281	-0.0259837382398997	2.30431266569236e-08	7.17294127618937e-05
ENSG00000135763.5	URB2	-0.0248026667005309	3.88986695099271e-08	7.41815920119555e-05
ENSG00000163811.7	WDR43	-0.0243904890030616	7.14740217514222e-07	0.000381405801214661
ENSG00000247626.3	MARS2	-0.0246289865743751	4.46636290377772e-08	7.41815920119555e-05
ENSG00000173744.13	AGFG1	-0.0260211000281488	4.58977929191674e-07	0.000306154670839746
ENSG00000174840.8	PDE12	-0.023247960685874	8.39214609136093e-07	0.000435389201523189
ENSG00000163071.6	SPATA18	0.0298470951112844	1.24075475503409e-09	5.79339413994294e-06
ENSG00000113161.11	HMGCR	-0.0229707056977687	3.03960955554523e-06	0.000806979403092855
ENSG00000151304.5	SRFBP1	-0.0282701438193953	4.76617820925987e-08	7.41815920119555e-05
ENSG00000145907.10	G3BP1	-0.0279653268202528	1.88554898202208e-08	7.04327966744529e-05
ENSG00000244694.3	PTCHD4	0.04475335741499	5.84496433724742e-20	1.0916639892677e-15
ENSG00000112319.13	EYA4	0.0346487136354104	1.69103910712946e-12	1.05278458012856e-08
ENSG00000024862.12	CCDC28A	0.0258499724538986	1.31231143876925e-07	0.000144176710246431
ENSG00000213079.5	SCAF8	-0.0187119646386502	2.12479553862564e-06	0.000696224671489669
ENSG00000243317.3	C7orf73	-0.0254957883315597	1.98518127839009e-06	0.000674131467936214
ENSG00000185728.12	YTHDF3	-0.0201246350878652	2.32721199488093e-06	0.000742828859395425
ENSG00000164934.9	DCAF13	-0.022363964867353	1.35649735065015e-06	0.000506706020361856
ENSG00000147679.7	UTP23	-0.0215107209368565	2.05054022759128e-06	0.000683891782691471
ENSG00000147889.12	CDKN2A	0.0237629259418491	3.41264206870583e-07	0.000255017262147063
ENSG00000130714.11	POMT1	0.0201507691152306	1.1329096277747e-06	0.000458525385065413
ENSG00000177613.7	CSTF2T	-0.0205929926038821	4.85509293753348e-07	0.000312684726876941
ENSG00000107443.11	CCNJ	-0.0230708486336794	2.62577131327374e-06	0.000784286109070715
ENSG00000148840.6	PPRC1	-0.0243381540746441	3.41352013368131e-07	0.000255017262147063
ENSG00000179119.10	SPTY2D1	-0.0224729831060958	6.73598919596111e-07	0.000378981727487245
ENSG00000134574.7	DDB2	0.0262546843370971	8.92141061134099e-07	0.000439993945353579
ENSG00000086991.8	NOX4	0.0253253631208222	2.94802093432788e-07	0.000239392117349747
ENSG00000083635.7	NUFIP1	-0.0242759917280484	9.31552261265088e-07	0.000439993945353579
ENSG00000198824.4	CHAMP1	-0.0230997908748243	3.62000468730592e-08	7.41815920119555e-05
ENSG00000262061.1	RP11-1260E13.4	0.0277434355363845	3.99693143433909e-08	7.41815920119555e-05
ENSG00000108799.8	EZH1	0.0243838989007981	4.49284718604793e-06	0.000987210669339025
ENSG00000130935.5	NOL11	-0.0266433080081376	9.11353459102697e-08	0.000113475657037741
ENSG00000065717.10	TLE2	0.0204395815634502	3.31661568126067e-06	0.000825114046310201
ENSG00000099785.6	MARCH2	0.0220825619784835	3.59951032467828e-06	0.00084196198869918
ENSG00000269345.1	VN1R85P	0.0262385647514215	5.02655732709373e-07	0.000312936703993765
ENSG00000083844.6	ZNF264	-0.020321919171941	3.14017365815372e-06	0.000814569769629681
ENSG00000244462.3	RBM12	-0.0237867998315765	2.08468093795888e-07	0.000191353412405389
ENSG00000237438.2	CECR7	0.0249088091118846	1.43329393204969e-06	0.000524894720958666
ENSG00000273203.1	AC006946.16	0.0227777027735239	6.35113559780096e-08	9.12462765847143e-05
ENSG00000131080.10	EDA2R	0.0373484978161439	6.20318527949878e-14	5.79284457325993e-10
ENSG00000126947.7	ARMCX1	0.0232835233467501	2.48123578555037e-06	0.00077236734611207
ENSG00000184905.4	TCEAL2	0.0243350951087198	3.04192069802301e-06	0.000806979403092855
