GeneSymbol	Age.Coef	p.value	FDR
ENSG00000163564.10	PYHIN1	0.0270128653569073	5.96966079485983e-07	0.000784797192352822
ENSG00000162761.10	LMX1A	0.0290153562874039	6.63957714355737e-10	3.05503543317934e-06
ENSG00000078295.11	ADCY2	0.0278430477862101	2.50661385811297e-07	0.000419402073259719
ENSG00000113212.4	PCDHB7	0.0269248607763308	5.50301072997144e-07	0.000779099326808648
ENSG00000244694.3	PTCHD4	0.0383067936208628	5.92074097604489e-13	5.44856188320531e-09
ENSG00000112319.13	EYA4	0.0427887333019808	3.95683021388093e-19	7.28254600864785e-15
ENSG00000132274.11	TRIM22	0.026716562894049	4.25823481462107e-07	0.000653106764692507
ENSG00000167994.7	RAB3IL1	0.0220089775397366	1.05925718912715e-07	0.000227449233785084
ENSG00000198542.9	ITGBL1	0.0256877113107647	2.21611948265919e-07	0.000407876790783425
ENSG00000161544.5	CYGB	0.0221410094615779	1.1122211921031e-07	0.000227449233785084
ENSG00000196109.6	ZNF676	0.0278095775166026	4.74535744395521e-08	0.000145563839593326
ENSG00000269343.2	ZNF587B	-0.025668052541722	4.71402816624275e-08	0.000145563839593326
ENSG00000131080.10	EDA2R	0.0336975258341599	2.47662696679696e-10	1.51941064412993e-06
