GeneSymbol	Age.Coef	p.value	FDR
ENSG00000226849.1	RP4-635E18.7	0.0125723539106798	1.53313651029263e-05	0.00052477153972191
ENSG00000226029.1	RP4-798A10.2	0.0155857418005395	1.9651826205963e-05	0.000613370134886118
ENSG00000077549.13	CAPZB	-0.0131431374022401	6.53708087540874e-06	0.00030860940454481
ENSG00000117640.13	MTFR1L	0.0148617562512877	5.67400001377233e-06	0.000277153077595802
ENSG00000117758.9	STX12	-0.0141232885536512	3.49671345580602e-07	4.53464635835689e-05
ENSG00000270605.1	RP5-1092A3.4	0.0179340898488355	2.13558661083854e-08	8.025883150733e-06
ENSG00000121774.13	KHDRBS1	-0.0181371310416283	4.15416362369518e-08	1.27498205217245e-05
ENSG00000220785.3	MTMR9LP	0.0137892590012161	1.07986163361074e-05	0.000411770050662815
ENSG00000160058.14	BSDC1	0.0156583386286307	3.3517758357508e-06	0.000193488877791069
ENSG00000163873.5	GRIK3	0.0145871848977588	3.55165451910176e-05	0.000910684535911327
ENSG00000183317.12	EPHA10	0.017008601802761	9.20955536424052e-07	8.1469962566937e-05
ENSG00000127125.7	PPCS	-0.0128174366108036	3.93756341436208e-06	0.000217770991608535
ENSG00000186409.10	CCDC30	0.0168411292057982	4.46407238466263e-06	0.00023690459067309
ENSG00000117385.11	LEPRE1	0.0125935777151937	4.89036962838017e-06	0.000248773913554201
ENSG00000159588.10	CCDC17	0.017760936507836	4.52275395174057e-07	5.27129835577865e-05
ENSG00000162367.7	TAL1	0.016123906621255	1.75160311178243e-05	0.000570550486453732
ENSG00000226252.1	RP1-18D14.7	0.0170167079430219	8.14813137094835e-06	0.00034819838410909
ENSG00000162368.9	CMPK1	-0.0138196272316361	3.56795170642239e-05	0.000911287526681945
ENSG00000237424.1	FOXD2-AS1	0.0207189461895604	7.9814624984919e-09	4.1993894831351e-06
ENSG00000142700.7	DMRTA2	-0.0247123257810934	1.29099296370637e-09	9.90568142777197e-07
ENSG00000185104.15	FAF1	-0.016423023122033	2.31186017505213e-06	0.000152591057790627
ENSG00000117862.7	TXNDC12	-0.0145569107723045	1.83174360896476e-05	0.000586635801027582
ENSG00000198841.3	KTI12	-0.0167298559543182	8.25252550196118e-07	7.59851285593076e-05
ENSG00000272100.1	RP11-155O18.6	0.013445225635278	1.36681804297258e-05	0.000485906452921623
ENSG00000162377.4	SELRC1	-0.0165384716675935	2.25292466705822e-07	3.63949352259619e-05
ENSG00000174348.9	PODN	0.0147919258160666	3.74482167155376e-06	0.000212842256424884
ENSG00000157184.5	CPT2	-0.0134471630714765	2.04664425473718e-05	0.00062814923251642
ENSG00000162385.6	MAGOH	-0.0159486637290601	3.43281021408315e-05	0.000890354930878044
ENSG00000116212.10	LRRC42	-0.0144297515385606	7.34089126263098e-06	0.000334759570995945
ENSG00000184292.5	TACSTD2	-0.0125054723669125	2.84648320064599e-06	0.000173648474768903
ENSG00000230798.1	RP4-792G4.2	0.0160767405478293	9.98522882842119e-07	8.59242938669982e-05
ENSG00000142864.10	SERBP1	-0.0150723810908134	1.22734089341086e-05	0.000452935522087395
ENSG00000116729.9	WLS	-0.0155074786829983	4.34557057716441e-06	0.000233987374790885
ENSG00000122420.5	PTGFR	0.0180917708407893	5.89591943806771e-08	1.55928762998862e-05
ENSG00000055732.8	MCOLN3	0.0167035178171797	2.25217921764716e-05	0.000661847660932495
ENSG00000153923.6	CLCA3P	-0.0177265482274056	1.10882099648532e-06	9.24157300079891e-05
ENSG00000097033.10	SH3GLB1	-0.0121594487384126	1.54692778579897e-05	0.000528509743515549
ENSG00000137947.7	GTF2B	-0.0141232158835827	8.14952503671016e-06	0.00034819838410909
ENSG00000233593.2	RP4-665J23.1	0.0154853029546952	9.14336223680607e-06	0.000375837088372285
ENSG00000067334.9	DNTTIP2	-0.0145911147964126	8.4293706730172e-06	0.000357551329375095
ENSG00000198890.6	PRMT6	-0.0172073940813651	5.14739224310934e-06	0.000257747156276028
ENSG00000162641.14	AKNAD1	0.0193895738306413	2.23653105493669e-06	0.000148150069700213
ENSG00000065135.7	GNAI3	-0.0139379367255511	1.2939777698885e-06	0.000104055024596055
ENSG00000168710.13	AHCYL1	-0.0139373521641968	1.32775785481369e-06	0.000105390779725836
ENSG00000273373.1	RP5-1074L1.4	0.0117560431175401	4.16818812254502e-06	0.00022709226117357
ENSG00000065183.11	WDR3	-0.0147830599212996	3.8173507721918e-06	0.000214974050366703
ENSG00000231365.1	RP11-418J17.1	0.0161554987496642	4.74152828970261e-07	5.42330704688655e-05
ENSG00000269996.1	RP11-343N15.5	0.016466799966113	5.1270627339386e-06	0.000257747156276028
ENSG00000143368.9	SF3B4	-0.0190038507355167	2.39922834188985e-07	3.72881896393242e-05
ENSG00000143434.11	SEMA6C	0.0157796377959602	4.09481204607239e-06	0.000223756569223807
ENSG00000189171.9	S100A13	0.0137222693624908	2.88923510302895e-06	0.000175017317178546
ENSG00000143621.12	ILF2	-0.0151891986212365	1.07597844885894e-05	0.000411770050662815
ENSG00000132680.6	KIAA0907	0.0138094527910664	3.24495824822538e-07	4.41066574507615e-05
ENSG00000272668.1	RP11-190A12.8	0.0137053229969225	8.44609439468727e-06	0.000357551329375095
ENSG00000162733.12	DDR2	0.0142379308991605	1.21274908942995e-05	0.000448449286784187
ENSG00000143183.12	TMCO1	-0.0147772031545234	5.54104211008796e-06	0.000272102107886053
ENSG00000272205.1	RP11-277B15.3	0.0142016539288462	2.13268285507981e-05	0.000643162670374297
ENSG00000143155.8	TIPRL	-0.0169173009644332	2.45212268373712e-07	3.7318875389272e-05
ENSG00000143178.8	TBX19	0.0177148607979153	6.345156176643e-09	3.49509237715791e-06
ENSG00000171806.7	METTL18	-0.0155121508514072	1.359485722967e-05	0.000484234614863391
ENSG00000117593.8	DARS2	-0.0135138300695383	5.62202321796674e-06	0.000275344567975685
ENSG00000116690.7	PRG4	0.0205147290712196	4.04725956886626e-09	2.48434283202241e-06
ENSG00000174529.6	TMEM81	0.0146349905142784	1.63578454184376e-06	0.000122451107065255
ENSG00000163486.8	SRGAP2	0.0182098574874414	2.35255994401988e-06	0.00015308265501458
ENSG00000082482.9	KCNK2	0.0154354557372542	1.05547795994731e-05	0.00041018301681053
ENSG00000118873.11	RAB3GAP2	-0.0122510173207168	2.14847776319479e-05	0.000644368371485865
ENSG00000272645.1	RP11-504P24.8	0.0122173588803239	5.02844590764462e-06	0.000254392393926582
ENSG00000143742.8	SRP9	-0.0162839563683977	1.63328052110653e-05	0.00054685201447594
ENSG00000242861.1	RP11-285F7.2	0.0133192868909419	2.75780394212331e-05	0.00076025388614073
ENSG00000163041.5	H3F3A	-0.0148985006442115	3.33035039672446e-05	0.000872381259682515
ENSG00000182827.8	ACBD3	-0.0123368376346377	9.13299478643954e-06	0.000375837088372285
ENSG00000168118.7	RAB4A	-0.0158282691161321	1.44873826578506e-05	0.000504319757361663
ENSG00000035687.9	ADSS	-0.0170501148763223	1.6705034172499e-06	0.000124041614631681
ENSG00000162851.6	TFB2M	-0.0156790929339418	2.62056977109238e-06	0.000164142150798184
ENSG00000171853.11	TRAPPC12	-0.0148629195753772	1.76813476626044e-05	0.000573078299491669
ENSG00000151694.8	ADAM17	-0.012675615143708	5.1108796649087e-08	1.43345555336184e-05
ENSG00000115758.8	ODC1	-0.0160363420462561	1.70334075679006e-06	0.000124968207315893
ENSG00000079785.10	DDX1	-0.0134711181268655	1.99015403620814e-05	0.000618021696066996
ENSG00000115128.6	SF3B14	-0.0166193542517897	2.29298854458276e-05	0.000671131846050925
ENSG00000084764.6	MAPRE3	0.0146521663460282	3.03989283538214e-05	0.000812476437787549
ENSG00000163798.9	SLC4A1AP	-0.0126238591739075	2.92806994205982e-05	0.000792947176221054
ENSG00000270640.1	RP11-373D23.2	0.0143265307866672	5.32122137865702e-07	5.79824211171414e-05
ENSG00000171103.6	TRMT61B	-0.0127425053342891	1.40612212043383e-05	0.00049415532152269
ENSG00000115816.9	CEBPZ	-0.0132900507125342	1.77350712762268e-06	0.00012757474123114
ENSG00000162881.5	OXER1	0.0137364596627001	7.99159117607084e-06	0.000345458102129917
ENSG00000138095.14	LRPPRC	-0.0150299542196338	1.67970103967511e-06	0.000124223673275571
ENSG00000250116.2	RP11-417F21.1	0.0146642190661877	4.41856744831031e-06	0.000236061461389252
ENSG00000179915.16	NRXN1	0.0142566725671692	1.63257095318072e-05	0.00054685201447594
ENSG00000162997.11	PRORSD1P	0.0155407548467371	7.7055368334596e-06	0.000341401628239132
ENSG00000028116.12	VRK2	-0.0153829252377676	3.70517251886159e-07	4.66850373816305e-05
ENSG00000173209.18	AHSA2	0.0145878569157477	8.36752225876805e-06	0.000355861252644835
ENSG00000228541.1	AC093159.1	0.0167510496996224	3.03267439857724e-05	0.000811725276886626
ENSG00000115507.5	OTX1	0.0248863380177783	5.58249917570267e-11	1.14224135911738e-07
ENSG00000014641.13	MDH1	-0.013609612922546	1.58414934166626e-05	0.00053635135309733
ENSG00000138071.9	ACTR2	-0.0156792593505721	3.47305217762121e-07	4.53464635835689e-05
ENSG00000115946.3	PNO1	-0.0151773287880666	7.71235825943409e-06	0.000341401628239132
ENSG00000119865.4	CNRIP1	0.0123418326517571	2.38760901464245e-05	0.000686997187572511
ENSG00000116035.2	VAX2	0.0177114672273868	3.96001968997677e-06	0.000217770991608535
ENSG00000116039.7	ATP6V1B1	0.0165279112799484	1.65779201161471e-05	0.000550058376466395
ENSG00000144040.8	SFXN5	0.015657359378871	2.8483636491006e-05	0.000780279469886717
ENSG00000144048.6	DUSP11	-0.0131240840112601	3.17532405469264e-05	0.000840137822804095
ENSG00000163170.7	BOLA3	-0.0158154908616507	1.07656653860982e-05	0.000411770050662815
ENSG00000114978.13	MOB1A	-0.01381541434227	3.06253643521294e-05	0.000815834906754475
ENSG00000257702.3	LBX2-AS1	0.0139956715931294	2.43074995145008e-05	0.000695204858353552
ENSG00000144021.2	CIAO1	-0.0174763844240584	1.17626170493929e-05	0.000439368342727322
ENSG00000115514.7	TXNDC9	-0.0136612442208742	1.07821030265781e-05	0.000411770050662815
ENSG00000158435.3	CNOT11	-0.0172441980200498	2.57213198204651e-06	0.000161658056141251
ENSG00000196460.8	RFX8	0.0151025762794412	3.78917751596531e-05	0.000945497343584026
ENSG00000153201.11	RANBP2	-0.015723101713348	2.23863488926211e-07	3.63949352259619e-05
ENSG00000115091.7	ACTR3	-0.0132586182091204	1.75363331703944e-05	0.000570550486453732
ENSG00000226479.3	TMEM185B	-0.0157348351369733	2.21100269281832e-06	0.000147437587805599
ENSG00000155438.7	MKI67IP	-0.0175236784274655	1.84517712976421e-06	0.000130187497488919
ENSG00000211460.7	TSN	-0.0170212974106122	1.72513194609013e-05	0.000566279942731726
ENSG00000144231.6	POLR2D	-0.0154737000652337	4.42254706376822e-06	0.000236061461389252
ENSG00000213225.6	AC018804.7	-0.0189988456040021	1.61151625416119e-06	0.000121757393622883
ENSG00000196504.11	PRPF40A	-0.0154487250846591	6.20121613195829e-08	1.58694315443745e-05
ENSG00000136542.4	GALNT5	-0.0154474012304499	2.16932928592818e-05	0.000647458651545663
ENSG00000197635.5	DPP4	0.0175330320328651	4.92995276255823e-07	5.53760622834027e-05
ENSG00000182263.9	FIGN	0.0157672825661589	1.2630300575192e-05	0.000462399572747835
ENSG00000138430.11	OLA1	-0.0149326347188344	1.65520485190407e-05	0.000550058376466395
ENSG00000128710.5	HOXD10	0.0154524228638138	1.0750652699638e-05	0.000411770050662815
ENSG00000175879.7	HOXD8	0.0144577733219301	2.22152048455601e-05	0.00065691525065606
ENSG00000223960.2	AC009948.5	0.0126160936287003	5.33201569258035e-06	0.000264660563285356
ENSG00000144331.14	ZNF385B	0.0223203815468232	3.5820304093268e-10	3.66461611043073e-07
ENSG00000128641.13	MYO1B	-0.0148847280329833	7.90096058409598e-06	0.00034482745336834
ENSG00000115540.10	MOB4	-0.0156936119986575	1.27678977128456e-06	0.000103577460961256
ENSG00000162944.6	RFTN2	0.015651792213342	9.34886972457067e-06	0.000381728239419
ENSG00000247626.3	MARS2	-0.017356087845414	4.29631837573907e-06	0.000232696184968338
ENSG00000115896.11	PLCL1	0.0154687348753923	3.01354110179891e-05	0.00080895567623363
ENSG00000119042.12	SATB2	0.021757392779022	5.24609689502964e-09	3.01896482256159e-06
ENSG00000162972.6	C2orf47	-0.0172138097744545	1.53900290347297e-06	0.00011759642517616
ENSG00000138442.5	WDR12	-0.0172537242068543	4.11803131608073e-07	4.9315773148186e-05
ENSG00000118246.9	FASTKD2	-0.0173626431819358	3.82578638078417e-08	1.1940992576634e-05
ENSG00000021826.10	CPS1	0.0177803061379631	1.81473088972563e-05	0.000583215869708508
ENSG00000118242.11	MREG	-0.0155220724713951	8.83615273985001e-07	7.97636042668323e-05
ENSG00000135929.4	CYP27A1	0.0135059009751173	2.1324019826965e-05	0.000643162670374297
ENSG00000163516.9	ANKZF1	0.0141887344514229	3.68493797760257e-05	0.000928291831156654
ENSG00000237732.5	AC010980.2	0.0176445407562881	9.42630318394888e-06	0.00038403843613367
ENSG00000168958.15	MFF	-0.0171660874803746	3.84991061478012e-06	0.000216146658448707
ENSG00000242515.1	UGT1A10	0.0157288837338422	3.28392968525465e-05	0.000863908073628063
ENSG00000244122.2	UGT1A7	-0.0145748355468875	3.40151857286038e-05	0.000883483279537715
ENSG00000162804.9	SNED1	0.0177788170213549	1.09739936873851e-06	9.2276755138446e-05
