GeneSymbol	Age.Coef	p.value	FDR
ENSG00000175206.6	NPPA	0.0240642452853825	5.51030382237296e-07	0.000345259893784683
ENSG00000007908.11	SELE	-0.0225934361642555	3.45672753041316e-06	0.000947575434274508
ENSG00000122176.10	FMOD	0.0192808692426667	3.88093820712956e-07	0.00029651771913156
ENSG00000152527.9	PLEKHH2	0.0144962875810602	2.14540485520123e-06	0.000752779655593008
ENSG00000154767.10	XPC	0.0222339629123602	2.7992888304273e-07	0.000258477490742193
ENSG00000131389.12	SLC6A6	0.0233962667119554	1.01286757270977e-06	0.000522639667518241
ENSG00000114853.9	ZBTB47	0.0223560184849538	1.10343053041134e-06	0.000535373625943548
ENSG00000244681.1	MTHFD2P1	0.0221895429894783	2.05234210378103e-07	0.000200034943715191
ENSG00000082781.7	ITGB5	0.0207145597389926	1.18739277773543e-06	0.000535373625943548
ENSG00000172667.6	ZMAT3	0.0251485873282786	1.95929824107299e-10	5.72898805689741e-07
ENSG00000163898.5	LIPH	0.0248797895104048	4.50749242164106e-07	0.000316317788181083
ENSG00000244405.3	ETV5	0.0300892362702479	2.17533098354133e-09	4.2404451972499e-06
ENSG00000163995.14	ABLIM2	0.024378256679967	2.25958859130009e-06	0.000771997540388951
ENSG00000170448.7	NFXL1	-0.0233897282631662	3.73429853908355e-06	0.000963449023083556
ENSG00000163071.6	SPATA18	0.0273460760249247	1.51805143790724e-16	1.33163472133223e-12
ENSG00000170162.9	VGLL2	0.0235658253319468	3.00954839735918e-06	0.000926307317250341
ENSG00000106624.4	AEBP1	0.0211569254152671	2.72052492381947e-09	4.67914810406471e-06
ENSG00000157680.11	DGKI	0.024840047176564	7.2461876914228e-07	0.000427347276844111
ENSG00000170961.6	HAS2	-0.0239371174949178	1.51883875746095e-06	0.000649914808802313
ENSG00000159884.7	CCDC107	0.0187297662730664	3.37514363942073e-06	0.000947575434274508
ENSG00000159069.9	FBXW5	0.0152399419114957	1.09039631872892e-06	0.000535373625943548
ENSG00000225383.2	SFTA1P	0.025508664702287	4.05632994708017e-07	0.00029651771913156
ENSG00000138193.10	PLCE1	0.0289984124050522	1.41033994421258e-09	3.09287549765818e-06
ENSG00000120049.14	KCNIP2	-0.0199456533723416	2.53161744894111e-08	2.96097976828152e-05
ENSG00000108018.11	SORCS1	-0.0214822643392921	1.61542588742424e-06	0.000659093762069091
ENSG00000166033.7	HTRA1	0.0204527808969631	3.41135708128982e-06	0.000947575434274508
ENSG00000133816.9	MICAL2	0.0260213274704913	3.55590129914974e-10	8.91210462746902e-07
ENSG00000166016.4	ABTB2	0.0239506055027858	9.32647068048595e-07	0.000495829095813471
ENSG00000175220.7	ARHGAP1	0.0273311418001328	4.9415683649416e-07	0.000333441828440521
ENSG00000134574.7	DDB2	0.026970425951612	1.14591309899777e-10	5.0259748522042e-07
ENSG00000142186.12	SCYL1	0.0151956760867171	8.15427572823575e-07	0.000447058166800525
ENSG00000175115.7	PACS1	0.0222937342366918	2.28818240425362e-06	0.000771997540388951
ENSG00000048540.10	LMO3	0.0197076172097636	1.72751776900726e-06	0.000679907891287251
ENSG00000175183.5	CSRP2	-0.0267555582651845	1.43684644885196e-07	0.000148282553521522
ENSG00000158023.5	WDR66	0.0242373910365274	3.32655397551428e-06	0.000947575434274508
ENSG00000198542.9	ITGBL1	0.0268263974638646	1.44598121411735e-10	5.07365888409496e-07
ENSG00000119681.7	LTBP2	0.0362800466310431	4.32819681677103e-14	2.5311294984477e-10
ENSG00000133962.3	CATSPERB	-0.0239354527393143	1.98768754825933e-06	0.000726499798888786
ENSG00000137872.11	SEMA6D	-0.0213454597829872	3.06763996952437e-06	0.000927908200436819
ENSG00000140285.5	FGF7	-0.023260279694358	2.04342297086966e-06	0.000731628828590559
ENSG00000129038.11	LOXL1	0.0219484875461088	2.88076928288205e-06	0.000916610779878951
ENSG00000140545.10	MFGE8	0.0250885683451795	3.72812001160916e-06	0.000963449023083556
ENSG00000259910.1	RP11-616M22.2	-0.019014646199284	1.74394978955348e-06	0.000679907891287251
ENSG00000102924.7	CBLN1	-0.0237532357987196	7.30757997339452e-07	0.000427347276844111
ENSG00000140859.11	KIFC3	0.0204373778253941	3.15687883013978e-07	0.000267503452025429
ENSG00000176658.12	MYO1D	0.0214611656312649	1.80980840327423e-06	0.000690245187544416
ENSG00000175832.8	ETV4	0.0267658716799328	1.35530228893265e-07	0.000148282553521522
ENSG00000186665.8	C17orf58	-0.0234310761117563	1.13107309980405e-06	0.000535373625943548
ENSG00000132000.7	PODNL1	0.0223916734158246	7.59805776946693e-07	0.000430001050024283
ENSG00000130513.6	GDF15	0.0217236365689869	2.93380239082945e-09	4.67914810406471e-06
ENSG00000105664.6	COMP	0.0286046713634276	6.5543212512297e-09	9.58241766929782e-06
ENSG00000051128.14	HOMER3	0.0173109852156923	1.91683878648566e-06	0.00071551105681073
ENSG00000131409.8	LRRC4B	-0.0276087575277391	1.39267672225374e-08	1.87947080117074e-05
ENSG00000124343.8	XG	0.0224626476078923	2.74378317809412e-06	0.000891424668083023
ENSG00000131080.10	EDA2R	0.0377608439291227	8.3803347991741e-20	1.4702459371671e-15
ENSG00000184905.4	TCEAL2	0.0231879262141817	3.62298254888113e-06	0.000963054633902583
ENSG00000182492.11	BGN	0.0200362252571078	1.97868485445548e-08	2.47957479189763e-05
