GeneSymbol	Age.Coef	p.value	FDR
ENSG00000162458.8	FBLIM1	0.0188284651769303	2.0894028974501e-07	6.91981908748727e-05
ENSG00000117154.7	IGSF21	0.0206028527097766	1.61435714067784e-06	0.000281647665436116
ENSG00000158747.9	NBL1	0.0152152722851921	4.45058060475845e-06	0.00055391302558586
ENSG00000126705.9	AHDC1	0.0177668372530172	2.90453777988892e-06	0.000414767157635623
ENSG00000234694.1	RP1-92O14.3	-0.0163438486325532	6.46036789037245e-06	0.000682354532853393
ENSG00000230615.2	RP5-1198O20.4	0.0226549086502221	4.99678320702048e-08	2.32469390155191e-05
ENSG00000171872.4	KLF17	0.0232699886469951	5.84570538320046e-09	4.07946725670489e-06
ENSG00000186564.5	FOXD2	0.0213381413124548	3.56736049203167e-08	1.88395200038645e-05
ENSG00000162409.6	PRKAA2	0.0164704029137041	2.74837126393383e-06	0.000406842231039901
ENSG00000172260.9	NEGR1	0.0154707379562487	5.89411053159874e-07	0.000141045732065895
ENSG00000152078.5	TMEM56	-0.0130067983633508	9.0225377896438e-06	0.000872774200047722
ENSG00000162639.11	HENMT1	-0.0171901740491666	5.37467087749162e-07	0.000133914694380844
ENSG00000232527.3	RP11-14N7.2	0.0190244302987215	4.79057598500693e-06	0.000563902739439972
ENSG00000132718.7	SYT11	0.0193681535862501	4.73970829062843e-07	0.000123485199998506
ENSG00000143196.4	DPT	0.0217030393640273	6.82016494381961e-09	4.50001277042704e-06
ENSG00000143153.8	ATP1B1	-0.0132606205873	1.80634144795059e-06	0.000312353202592518
ENSG00000007933.8	FMO3	0.0175789377336372	1.17535484282695e-07	4.99270296279098e-05
ENSG00000116690.7	PRG4	0.0274421559960091	1.1178273866934e-10	1.56016765257064e-07
ENSG00000162687.12	KCNT2	0.0181723066048342	1.47445547028593e-06	0.000269260372798011
ENSG00000134369.11	NAV1	0.0167063869115525	2.94930923772007e-06	0.000415312354695917
ENSG00000163531.11	NFASC	0.0173473463008392	8.30259114951613e-06	0.000819904960161743
ENSG00000117020.12	AKT3	0.015359103798323	4.71635296590834e-06	0.000563902739439972
ENSG00000189292.11	FAM150B	0.019926870688771	2.14501440274568e-07	6.98559690494176e-05
ENSG00000071575.7	TRIB2	0.0233480142025756	2.90461499368309e-10	3.33859864568045e-07
ENSG00000230587.1	AC093609.1	0.0178597250063201	4.94218161444792e-07	0.000125415881488717
ENSG00000095002.8	MSH2	-0.0153908930787264	4.75955801827934e-06	0.000563902739439972
ENSG00000243244.1	STON1	0.0175730571225316	9.53091683970412e-06	0.000912912328665777
ENSG00000273445.1	RP11-1399P15.1	0.0185275875125723	2.5479633156545e-06	0.000385947311534023
ENSG00000198885.5	ITPRIPL1	0.0177839632458554	5.36033057739024e-06	0.000591756268261047
ENSG00000153093.14	ACOXL	-0.0162373843166497	3.78267812254561e-08	1.9450929082774e-05
ENSG00000115252.14	PDE1A	0.026344069572175	4.10317506545383e-10	4.45422448772044e-07
ENSG00000162998.4	FRZB	0.0274288649051477	4.50681239279334e-14	1.46771856925303e-10
ENSG00000144395.13	CCDC150	-0.0183857257552876	1.04926402391866e-05	0.000976315191779556
ENSG00000163535.13	SGOL2	-0.0155953816862409	3.81500983203261e-06	0.000500303973945754
ENSG00000115468.7	EFHD1	0.0175063449529499	2.87348634434513e-06	0.000414767157635623
ENSG00000224287.2	MSL3P1	-0.0177834021225186	4.53602141139843e-07	0.0001219962700268
