GeneSymbol	Age.Coef	p.value	FDR
ENSG00000225630.1	MTND2P28	-0.0141880883233252	6.75176863147328e-05	0.000511656962559951
ENSG00000127054.14	CPSF3L	0.0137096798019012	6.32001131708393e-06	7.78274064443077e-05
ENSG00000240731.1	RP5-890O3.9	0.0140984179684939	6.77301259146316e-06	8.21933838662564e-05
ENSG00000162576.12	MXRA8	0.0101687877987399	7.87492075675614e-05	0.00057692433313122
ENSG00000221978.7	CCNL2	0.0196439581728259	1.76662147867791e-08	7.53236109497588e-07
ENSG00000160072.15	ATAD3B	0.0129589648209032	3.08508741228211e-05	0.000275521235620533
ENSG00000182873.4	RP11-181G12.2	0.0139808879920042	3.65819185116641e-05	0.000314997725034476
ENSG00000236423.1	RP13-15E13.1	-0.00925860641282606	8.92933176379243e-05	0.0006411413811929
ENSG00000007923.11	DNAJC11	-0.0212455907705569	1.28024527614097e-09	9.37457501624937e-08
ENSG00000049246.10	PER3	0.0137665012477395	1.70242025482817e-06	2.77513747809143e-05
ENSG00000162441.7	LZIC	-0.0140555398478853	1.95001645136735e-05	0.000191630798854631
ENSG00000173614.9	NMNAT1	-0.0179438153805366	7.41371596098947e-08	2.34240933978594e-06
ENSG00000175279.17	APITD1	-0.0115074283453729	0.000108642850207941	0.000750189049694452
ENSG00000272078.1	RP4-734G22.3	0.0136109401542187	7.95471704437355e-05	0.000581159682362086
ENSG00000171824.9	EXOSC10	0.0217606097875304	7.28844603224275e-11	1.07038928256854e-08
ENSG00000116663.6	FBXO6	-0.0173289397315361	9.37414117951515e-07	1.70704079504351e-05
ENSG00000116670.10	MAD2L2	0.0132471312810134	3.30866906820747e-07	7.75166914192595e-06
ENSG00000116685.11	KIAA2013	-0.0116295186220729	3.29756535037378e-05	0.000290468497491648
ENSG00000189337.11	KAZN	0.0129106328720244	3.85946490739023e-05	0.000328406506953414
ENSG00000058453.12	CROCC	0.0122510380199018	1.63847645212223e-05	0.000167447648241692
ENSG00000117122.9	MFAP2	0.015043677059433	3.92835342971233e-06	5.34829302563667e-05
ENSG00000173436.9	MINOS1	-0.0169446855481042	6.7006214803407e-08	2.15575166936478e-06
ENSG00000090432.5	MUL1	-0.01941961454331	1.9244566900356e-08	8.01149804741592e-07
ENSG00000011007.8	TCEB3	-0.0234472844351346	2.64050716551966e-15	2.71838635247911e-12
ENSG00000117602.7	RCAN3	-0.0206245597378644	1.48065286540729e-09	1.05162204749983e-07
ENSG00000133226.12	SRRM1	0.02157418194793	8.74210846506321e-12	2.0105146939096e-09
ENSG00000117643.10	MAN1C1	0.00805700419578262	0.000128847898808067	0.000861575262645344
ENSG00000198830.6	HMGN2	0.0137024155381528	2.43577399138104e-08	9.63436690206849e-07
ENSG00000158156.7	XKR8	-0.0173926949026562	1.69619756276841e-07	4.64652669137647e-06
ENSG00000130772.9	MED18	-0.0147471949972459	1.51091663243335e-07	4.2478068481432e-06
ENSG00000229388.1	RP11-442N24__B.1	-0.0151717566121608	1.50883599679915e-06	2.50855846386073e-05
ENSG00000121769.3	FABP3	-0.0190121455189641	2.51965277360183e-08	9.8192168653805e-07
ENSG00000121753.8	BAI2	0.0202433746442939	1.71217034547602e-09	1.18072755867805e-07
ENSG00000175130.6	MARCKSL1	0.0140761665764888	2.35326798397399e-06	3.56156331047819e-05
ENSG00000225828.1	FAM229A	0.0153816420436019	6.51369632685027e-06	7.9655927093425e-05
ENSG00000176261.11	ZBTB8OS	-0.011958890893658	6.39176509528181e-05	0.000488534019839636
ENSG00000163866.8	SMIM12	-0.0123589899206628	7.05881857431499e-07	1.36703200741404e-05
ENSG00000116560.6	SFPQ	0.0180438894787589	1.58456324823637e-09	1.11537215059812e-07
ENSG00000196182.6	STK40	-0.00948485124068676	1.85122944469469e-06	2.97792598603473e-05
ENSG00000181817.5	LSM10	-0.0146679987826247	6.05675446040699e-07	1.22390358702009e-05
ENSG00000116898.7	MRPS15	-0.0134809832744167	1.25936857871978e-05	0.000135883299503908
ENSG00000233621.1	RP11-422J8.1	-0.0166663962518636	2.16124547923949e-07	5.59209046430955e-06
ENSG00000197982.12	C1orf122	-0.0136297411208372	1.13897872739543e-05	0.000125453761077909
ENSG00000183682.7	BMP8A	0.013741706356985	3.74147601965401e-05	0.000320949438332787
ENSG00000182109.3	RP11-69E11.4	0.015898926890911	1.51144745074688e-06	2.51026890222998e-05
ENSG00000127125.7	PPCS	-0.0155870280950412	2.67565213542072e-07	6.62220522682138e-06
ENSG00000171960.6	PPIH	0.0150388062592692	1.47837641533103e-07	4.17233600063443e-06
ENSG00000178922.12	HYI	0.0161935820090953	6.31831814610862e-09	3.37423717560367e-07
ENSG00000142949.12	PTPRF	0.0212515416427669	7.46579924610344e-10	6.23237062328667e-08
ENSG00000126091.15	ST3GAL3	-0.0156030947987119	1.15092631728179e-06	2.00823347837255e-05
ENSG00000117408.6	IPO13	-0.0130794523270934	2.54857274941609e-05	0.000237223664193008
ENSG00000178028.9	DMAP1	0.0109677975429501	2.54668217811699e-05	0.0002371868821322
ENSG00000117419.10	ERI3	-0.0125033593286192	2.15468068984085e-05	0.000208386526960767
ENSG00000132763.10	MMACHC	-0.0153131649010591	4.32294533222643e-06	5.78551930801365e-05
ENSG00000159588.10	CCDC17	0.0169581749883479	8.78749217797328e-07	1.61691894936003e-05
ENSG00000085832.12	EPS15	-0.0134223272112009	4.55415799515447e-05	0.000376020301723816
ENSG00000157077.10	ZFYVE9	-0.0122918473876515	2.34763964615829e-05	0.000222171315201173
ENSG00000162377.4	SELRC1	-0.0140490333128552	1.12793396569274e-08	5.27596473666077e-07
ENSG00000174348.9	PODN	0.014826785969895	6.16097570871561e-07	1.24009182380632e-05
ENSG00000162383.7	SLC1A7	0.00823165226059772	5.81483849450943e-05	0.000454778862728866
ENSG00000162384.9	C1orf123	0.0107614340785078	5.3634590652669e-05	0.000426843071922721
ENSG00000116205.6	TCEANC2	-0.0175811218307323	1.61109099942559e-09	1.12570547761626e-07
ENSG00000162396.5	PARS2	-0.0193071977129115	6.13781982038133e-09	3.30006644647689e-07
ENSG00000224609.2	RP11-470E16.1	0.0126837144713115	5.40086299236947e-05	0.000428888825715224
ENSG00000172456.12	FGGY	0.0131842927790549	2.18883810570033e-06	3.37387377983605e-05
ENSG00000203965.8	EFCAB7	0.0241406452117118	4.07964255650715e-15	3.59484503270889e-12
ENSG00000116652.5	DLEU2L	0.0244328559321672	2.05560561293291e-14	1.63019803133644e-11
ENSG00000116754.9	SRSF11	0.0176002503322045	3.16229883469266e-08	1.19138294102281e-06
ENSG00000172260.9	NEGR1	0.0211953808433665	2.08849835171346e-10	2.36611945403766e-08
ENSG00000180488.10	FAM73A	-0.0101126163925215	1.90377025921068e-07	5.06639263109742e-06
ENSG00000162613.12	FUBP1	0.0146640625378587	2.12786627865353e-06	3.3120791997766e-05
ENSG00000122420.5	PTGFR	0.0229785854823022	2.07716319294462e-11	3.96060136730963e-09
ENSG00000117114.15	LPHN2	0.0119251881443366	5.67423342440537e-05	0.000446423692184988
ENSG00000271576.1	RP11-486G15.2	0.0160905757254834	1.81054321742565e-08	7.6375069073373e-07
ENSG00000162645.8	GBP2	0.0177832699494854	5.81528168646254e-08	1.92559880645057e-06
ENSG00000162627.12	SNX7	0.0177588198743388	9.95177935286237e-08	3.00657471077619e-06
ENSG00000137992.10	DBT	-0.0132517839018768	4.55117737423616e-06	6.01551869439664e-05
ENSG00000137996.8	RTCA	-0.0167076046879075	2.05329699805988e-06	3.22768520180652e-05
ENSG00000162692.6	VCAM1	0.0160640538975924	1.70759037007647e-06	2.78070748047053e-05
ENSG00000185946.11	RNPC3	0.0186909053441927	4.85863557272723e-09	2.75911770678807e-07
ENSG00000240038.2	AMY2B	0.0155155342609274	2.88727456797458e-06	4.2113345729551e-05
ENSG00000197780.5	TAF13	-0.0195938389639237	4.031158164666e-10	3.97131674843276e-08
ENSG00000181754.6	AMIGO1	-0.0152943427871027	1.02333317875846e-07	3.08575808902812e-06
ENSG00000134201.6	GSTM5	0.0112680901600784	1.45965480905332e-06	2.44472913689491e-05
ENSG00000162777.12	DENND2D	0.0142798814597258	5.6890497138621e-05	0.000447145775577635
ENSG00000085465.11	OVGP1	0.0173682538209564	1.67460476443551e-07	4.59531248593626e-06
ENSG00000260948.1	RP11-552M11.8	0.0141589459453821	1.87040178530339e-05	0.000186113191447284
ENSG00000116455.9	WDR77	-0.0167050979447753	1.31587957340205e-07	3.80166956534243e-06
ENSG00000143079.10	CTTNBP2NL	0.0137699829561904	3.11415858939231e-05	0.000277181085220827
ENSG00000163393.8	SLC22A15	0.0170547402391278	6.00764067555312e-07	1.21695004795591e-05
ENSG00000231365.1	RP11-418J17.1	0.0141281556879094	1.96063868803585e-05	0.0001925553574671
ENSG00000143067.4	ZNF697	-0.0131487592315969	0.000150165502125517	0.000976537527352533
ENSG00000143127.8	ITGA10	0.0180363507726765	5.94730797149472e-13	2.13235398000156e-10
ENSG00000178096.8	BOLA1	-0.0155266726579491	2.98769880466898e-07	7.20395020386924e-06
ENSG00000143387.8	CTSK	0.0148769516483545	7.1507048167115e-06	8.59873609536475e-05
ENSG00000143443.9	C1orf56	-0.00987236752948168	0.000121691610289966	0.000822741104351729
ENSG00000197622.8	CDC42SE1	0.015179160910008	1.01830998411937e-05	0.000114395231865036
ENSG00000163191.5	S100A11	0.0144434141901246	9.5978847931961e-06	0.000108892740132248
ENSG00000143578.11	CREB3L4	0.0115777431180284	9.38025337957935e-05	0.0006674750957986
ENSG00000143612.14	C1orf43	-0.0179208648111919	1.45082387232053e-07	4.12392785642937e-06
ENSG00000160766.10	GBAP1	0.0121110661323163	3.9295314761494e-05	0.000333831273396924
ENSG00000160767.16	FAM189B	-0.0101676211319363	2.19555952115427e-06	3.38094850145902e-05
ENSG00000176444.14	CLK2	0.0137103384790854	1.70978877929459e-05	0.000173728121898728
ENSG00000160785.9	SLC25A44	-0.012348063386864	5.66947178697864e-06	7.11983309685417e-05
ENSG00000117036.7	ETV3	-0.0142411302815388	7.83025001941884e-10	6.31496287040982e-08
ENSG00000163565.14	IFI16	0.0155023196697284	3.38740135945019e-06	4.75465247453447e-05
ENSG00000213088.5	DARC	0.018107946325169	5.97443521163375e-08	1.96598582762911e-06
ENSG00000132681.12	ATP1A4	0.0219167061586168	2.48119635037476e-11	4.42182643969596e-09
ENSG00000143224.13	PPOX	0.00898763858031737	3.05735501448664e-05	0.000273660879710906
ENSG00000143252.10	SDHC	-0.0165015259425668	6.05788195280584e-08	1.98111475574131e-06
ENSG00000198821.6	CD247	0.0141861065741594	5.01969584953789e-06	6.46245096343511e-05
ENSG00000233411.1	RP11-104L21.2	-0.0166207694167021	3.14470268745825e-07	7.4966344006658e-06
ENSG00000197965.7	MPZL1	0.0124541437329081	2.30186234389618e-05	0.000218883924679481
ENSG00000143155.8	TIPRL	-0.0150296195109017	5.85136084454596e-07	1.19752818523024e-05
ENSG00000174175.12	SELP	0.013556947241094	0.000100246150256223	0.000704164831361363
ENSG00000000460.12	C1orf112	0.0156831952017098	5.66187757622351e-06	7.11593028815222e-05
ENSG00000000457.9	SCYL3	-0.0134342777722257	1.37902735942457e-06	2.335489495117e-05
ENSG00000116132.7	PRRX1	0.0126846283343598	3.20717166526553e-05	0.00028410916723416
ENSG00000007933.8	FMO3	0.0165760605093702	1.98228072478479e-06	3.15039625008132e-05
ENSG00000117523.11	PRRC2C	0.0119360096331194	2.8539130844859e-07	6.95328962104928e-06
ENSG00000010165.15	METTL13	-0.0143840025441675	4.02772362610393e-07	8.8850798934123e-06
ENSG00000117593.8	DARS2	-0.0147347563036838	1.36131826812505e-06	2.31176328166289e-05
ENSG00000143207.15	RFWD2	-0.0153888883644276	9.61058400374713e-08	2.92018147286271e-06
ENSG00000116199.7	FAM20B	-0.0137818683730801	1.86048630931951e-07	4.98465766083052e-06
ENSG00000121454.4	LHX4	0.0131140656630474	4.15847257647401e-05	0.000348428597651634
ENSG00000153029.10	MR1	0.0148895882467079	1.05956298248525e-05	0.00011843360440591
ENSG00000198860.7	TSEN15	-0.0149177232190287	2.45682502296979e-06	3.69712539746906e-05
ENSG00000121486.7	TRMT1L	-0.0180235637749999	1.98972436731595e-09	1.32053703750931e-07
ENSG00000116750.9	UCHL5	-0.0159434469527653	3.74272355215798e-07	8.44030299700163e-06
ENSG00000023572.4	GLRX2	-0.0130043548876026	6.685673420019e-06	8.12578284405528e-05
ENSG00000116833.9	NR5A2	0.0154831544903565	1.6427368115395e-05	0.000167774942484404
ENSG00000163395.12	IGFN1	-0.0272225132076275	1.11212010560787e-14	9.28386157634024e-12
ENSG00000077157.16	PPP1R12B	-0.0133045307125959	2.49777159963779e-05	0.000233729530040443
ENSG00000117280.8	RAB7L1	-0.0111482346438917	5.33790442595027e-06	6.77858303442733e-05
ENSG00000203705.6	TATDN3	-0.0221412908601416	3.31244067923997e-16	4.37821846778543e-13
ENSG00000136643.7	RPS6KC1	-0.0157785594867664	1.02925984063696e-08	5.00769642096407e-07
ENSG00000118873.11	RAB3GAP2	-0.0163846782122059	3.19278149797838e-16	4.37821846778543e-13
ENSG00000116141.11	MARK1	-0.0239538929260272	6.33732936582957e-13	2.18513871894398e-10
ENSG00000162909.13	CAPN2	0.0159074180704936	4.54647053934096e-06	6.01430935984044e-05
ENSG00000163041.5	H3F3A	0.0188061761593573	5.77479630672285e-09	3.12607659457103e-07
ENSG00000143776.14	CDC42BPA	-0.0100301286086347	3.80704784591107e-05	0.000324642934860191
ENSG00000143793.8	C1orf35	0.0117852409916232	1.09530240583998e-05	0.000121571668712582
ENSG00000198835.3	GJC2	0.0110794769522562	7.02801792892864e-05	0.000527875197617094
ENSG00000168118.7	RAB4A	-0.0156914822985816	4.65520941301072e-07	9.97787520267069e-06
ENSG00000177614.5	PGBD5	-0.0156555022220277	3.48865885680676e-06	4.85808763194136e-05
ENSG00000135749.14	PCNXL2	0.0158132942130001	1.29864331866826e-06	2.22198292097059e-05
ENSG00000168275.10	COA6	-0.0104247771649936	0.000147728141233885	0.000964854476326585
ENSG00000168264.6	IRF2BP2	0.0124309708755829	0.000127885242257038	0.000856212751338592
ENSG00000152904.7	GGPS1	-0.0167822131867398	1.1465607431038e-07	3.38022303835863e-06
ENSG00000143669.9	LYST	0.0182415236288672	1.19241411948403e-11	2.52171737988482e-09
ENSG00000077585.9	GPR137B	0.0150838822129149	1.69314464218147e-05	0.000172257647015012
ENSG00000116984.8	MTR	0.0107129653018021	0.000113928861443467	0.000778219496707508
ENSG00000121644.14	DESI2	-0.012467408834365	2.50877767756894e-05	0.000234621006744817
ENSG00000143653.9	SCCPDH	-0.019849158156706	2.68281920951915e-08	1.04039597755949e-06
ENSG00000175137.9	SH3BP5L	-0.0197483435661892	1.32544673968855e-09	9.59950262018271e-08
ENSG00000151353.10	TMEM18	0.015734076441626	7.90008385646256e-06	9.30283337960092e-05
ENSG00000172554.7	SNTG2	0.012879311839417	0.000120968969742545	0.000818553254729737
ENSG00000151692.10	RNF144A	-0.0147311614630788	2.1119019535916e-06	3.29463452423317e-05
ENSG00000079785.10	DDX1	-0.0163827610866354	7.28100769624205e-07	1.39473506123303e-05
ENSG00000236204.1	AC092594.1	0.01289165239704	2.69905146703334e-05	0.000248028130467067
ENSG00000173960.8	UBXN2A	-0.0137599911168152	2.52774581024397e-06	3.78589011296313e-05
ENSG00000184924.5	PTRHD1	-0.0153936612037956	1.20868658329957e-06	2.09518884128028e-05
ENSG00000138085.12	ATRAID	-0.0164683008219178	1.42788969172128e-07	4.06602484746701e-06
ENSG00000163794.6	UCN	0.0177590680927177	1.16423457771589e-07	3.42596004399846e-06
ENSG00000115204.10	MPV17	0.013517578664639	3.0674380038317e-05	0.000274408540207414
ENSG00000163798.9	SLC4A1AP	-0.0117198539305423	4.04768402815493e-05	0.000340648497196603
ENSG00000171103.6	TRMT61B	-0.0155490557531437	6.02385002729145e-06	7.47607866063143e-05
ENSG00000119820.6	YIPF4	-0.0122273628843027	1.53930368634122e-06	2.54852774207287e-05
ENSG00000119812.14	FAM98A	-0.0170371873575233	6.59105760742394e-07	1.2955366081786e-05
ENSG00000205221.8	VIT	0.0169754549357457	2.20987155682793e-06	3.39658369294046e-05
ENSG00000163171.6	CDC42EP3	0.0173465934399078	2.98858787853601e-07	7.20395020386924e-06
ENSG00000138061.7	CYP1B1	0.016005038624603	1.25868436395843e-06	2.16999920616791e-05
ENSG00000152147.6	GEMIN6	-0.0127134597459169	8.3335717841603e-05	0.000603831804790162
ENSG00000188010.8	MORN2	-0.0182613719059251	1.99942814763311e-08	8.20405115464546e-07
