GeneSymbol	Age.Coef	p.value	FDR
ENSG00000269113.3	TRABD2B	0.0286444757481142	5.18095498737651e-08	9.06770741890637e-05
ENSG00000224818.1	RP11-134G8.8	0.0277275681511506	9.97173510346926e-07	0.000872626538904595
ENSG00000172667.6	ZMAT3	0.0282104904840225	2.44953948105613e-07	0.00031141234847568
ENSG00000178163.3	ZNF518B	-0.0385210780711999	1.2121152823933e-13	1.06072208362238e-09
ENSG00000163071.6	SPATA18	0.0412091723396369	6.01811650409505e-14	1.05329075054672e-09
ENSG00000196963.2	PCDHB16	0.026120019240671	3.19945735980695e-07	0.000373312684742275
ENSG00000054598.5	FOXC1	0.0266976864173448	9.11851395687612e-07	0.000839959111964452
ENSG00000228223.1	HCG11	-0.0255734562652905	7.91974203769215e-07	0.000779941931826012
ENSG00000104267.5	CA2	0.0293722173147051	2.15521287737878e-07	0.00031141234847568
ENSG00000147889.12	CDKN2A	0.0286950205790335	1.32975756288521e-07	0.000211576516960155
ENSG00000231632.1	RP11-82L18.4	0.0310555099616892	2.40455490311279e-08	4.67605776825334e-05
ENSG00000224945.1	RP11-82L18.2	0.0269386885803677	8.02134314527952e-07	0.000779941931826012
ENSG00000132274.11	TRIM22	0.0304872875509645	8.05762624816887e-10	2.35040957659086e-06
ENSG00000259799.1	RP11-554A11.9	0.0284879749905638	2.49101410047967e-07	0.00031141234847568
ENSG00000104140.6	RHOV	-0.0288462071434921	3.60819425022803e-07	0.000394691348546819
ENSG00000103449.7	SALL1	0.0322703185774314	2.16474486089581e-10	9.11915096702868e-07
ENSG00000140835.8	CHST4	0.0354836027108695	6.61892351842696e-11	3.86147998065029e-07
ENSG00000206195.6	AP000525.9	0.0310498155774943	2.01878194817986e-08	4.41659020713049e-05
ENSG00000131080.10	EDA2R	0.0347913675675628	2.60517397069726e-10	9.11915096702868e-07
ENSG00000185010.9	F8	0.0308186576673492	7.40895077675345e-09	1.85244937849627e-05
