GeneSymbol	Age.Coef	p.value	FDR
ENSG00000090621.9	PABPC4	-0.0173101009583128	1.13574713698286e-06	0.000776607667309777
ENSG00000197106.6	SLC6A17	-0.021205461261954	4.03823683608163e-08	0.000154632164927238
ENSG00000118298.6	CA14	-0.0204675950608055	2.126396843795e-07	0.000313169184394608
ENSG00000133059.12	DSTYK	-0.0139436376078447	1.45192807080118e-06	0.000837882184491094
ENSG00000196208.9	GREB1	-0.0189918787832488	1.48793451753354e-06	0.000837882184491094
ENSG00000115902.6	SLC1A4	-0.0183251129771339	1.00797279956278e-06	0.000724067152831484
ENSG00000257702.3	LBX2-AS1	-0.0215409198169508	1.11736649116265e-07	0.000237701098220002
ENSG00000152127.4	MGAT5	-0.01760711514121	1.42994754765144e-06	0.000837882184491094
ENSG00000114378.12	HYAL1	0.016299614402568	8.0519164599897e-07	0.00067026953279549
ENSG00000272927.1	RP11-1191J2.5	-0.0201104592833237	7.08128096452736e-07	0.000645610501651623
ENSG00000185818.7	NAT8L	-0.0217373135530605	1.30907737265218e-07	0.000250635953767986
ENSG00000178163.3	ZNF518B	-0.0184551278486954	1.24523764387542e-06	0.000822114480332374
ENSG00000271862.1	RP11-343L5.2	-0.0159364795473579	9.03303263106473e-07	0.00071494943886398
ENSG00000197536.6	C5orf56	0.0170429569809271	7.79342095991588e-07	0.00067026953279549
ENSG00000228223.1	HCG11	-0.0197598024491355	3.11903257346521e-10	1.49292494128912e-06
ENSG00000008196.8	TFAP2B	-0.0170157184341243	1.61139852453812e-06	0.000856995448633522
ENSG00000270949.1	RP11-288H12.4	-0.0205720866286546	2.65619747558249e-10	1.49292494128912e-06
ENSG00000168481.4	LGI3	-0.0186020331410979	9.33549356084796e-07	0.00071494943886398
ENSG00000120215.5	MLANA	-0.0194708868880922	2.03321372732908e-07	0.000313169184394608
ENSG00000147889.12	CDKN2A	0.0184870395938679	1.44943952644383e-06	0.000837882184491094
ENSG00000077498.8	TYR	-0.0204672508890003	7.29518037647299e-08	0.000201856797753545
ENSG00000139200.9	PIANP	-0.0279133870305533	1.82000101425149e-11	3.4845739418859e-07
ENSG00000048540.10	LMO3	0.0181684458325784	4.86266394703402e-07	0.000490361837858222
ENSG00000110931.14	CAMKK2	-0.0192773442068194	1.46458788224069e-06	0.000837882184491094
ENSG00000187773.7	FAM69C	-0.0226474233300016	7.38011900279334e-08	0.000201856797753545
ENSG00000176490.4	DIRAS1	-0.0179522577885438	1.6127980507084e-07	0.000280714831626027
ENSG00000072071.12	LPHN1	-0.0191634217864063	1.02109125281782e-06	0.000724067152831484
ENSG00000100285.9	NEFH	-0.0198350160570767	1.00163448436654e-07	0.000237701098220002
ENSG00000188636.3	LDOC1L	-0.0202363316401402	2.07645794565126e-10	1.49292494128912e-06
ENSG00000056998.14	GYG2	-0.0188478893509567	4.86622527906937e-07	0.000490361837858222
