GeneSymbol	Age.Coef	p.value	FDR
ENSG00000162576.12	MXRA8	0.0151244760483064	2.59752011311307e-06	0.000333192563309391
ENSG00000142657.16	PGD	-0.0172433720553487	8.71001418386036e-08	3.35178765823315e-05
ENSG00000117632.16	STMN1	-0.0170339563073795	5.24201680536103e-07	0.000124520549817224
ENSG00000116560.6	SFPQ	0.0121357306194511	7.88034673002279e-06	0.000741925987348586
ENSG00000142949.12	PTPRF	-0.0167237540431486	6.92115085891782e-07	0.000143193401802621
ENSG00000143126.7	CELSR2	-0.0182400470632611	3.72163651444995e-07	0.000103840165925135
ENSG00000143387.8	CTSK	0.0155907935222603	8.31490172872132e-06	0.000765488153886731
ENSG00000132692.14	BCAN	-0.016205936239418	4.06205328283276e-06	0.000456492727566305
ENSG00000163564.10	PYHIN1	0.0249127124054098	1.41476303699111e-11	3.34250122971189e-08
ENSG00000007933.8	FMO3	0.0217392391123434	4.00295649641624e-09	3.85104429737724e-06
ENSG00000133059.12	DSTYK	-0.0154023284243551	2.80780011779243e-06	0.000348547626235124
ENSG00000117707.11	PROX1	0.0180524245421194	1.9576038189387e-06	0.000279009296890367
ENSG00000162722.8	TRIM58	0.0218215115030846	6.05058555902194e-09	5.06170942352788e-06
ENSG00000238243.2	OR2W3	0.0247507417806871	2.17432130078339e-11	3.80328328621575e-08
ENSG00000162981.12	FAM84A	-0.0171474313745728	1.4482828520638e-06	0.000225749994992873
ENSG00000230587.1	AC093609.1	0.0199365024497772	7.8122456428317e-08	3.15361954644196e-05
ENSG00000235725.1	AC007389.3	0.0198251282291349	1.86902962888528e-08	1.19873330297939e-05
ENSG00000124380.6	SNRNP27	0.0158690470567224	9.44003934962073e-06	0.000829387201488824
ENSG00000168899.4	VAMP5	0.0134658544075316	1.16960965185336e-08	9.00178372452416e-06
ENSG00000153563.11	CD8A	0.0189235047125212	7.63209821502112e-07	0.000151390929644558
ENSG00000196460.8	RFX8	0.0170832559393253	1.51621405792856e-06	0.000229712399122862
ENSG00000198914.2	POU3F3	0.0190936821453375	7.86724901144504e-08	3.15361954644196e-05
ENSG00000153253.11	SCN3A	0.0174051957608077	3.06489566839703e-06	0.000368572859722671
ENSG00000204335.3	SP5	0.0167847844739911	2.57149001129434e-06	0.000332067377901439
ENSG00000119042.12	SATB2	0.0210103425541493	1.50440804097002e-08	1.0720857450483e-05
ENSG00000064012.17	CASP8	0.0172671330878866	5.86190031320952e-07	0.000132692734031135
ENSG00000171551.7	ECEL1	-0.0174102693787875	1.65223020132452e-06	0.000244542779259116
ENSG00000115474.6	KCNJ13	-0.0173744596873859	1.13573874237e-06	0.000202340269832789
ENSG00000176720.3	BOK	-0.0174450174719743	1.39538493386535e-06	0.000225749994992873
ENSG00000010282.10	HHATL	0.0202274386910736	6.25851819051709e-08	2.77595143281119e-05
ENSG00000160801.9	PTH1R	0.0171439119287831	3.72380408961818e-07	0.000103840165925135
ENSG00000114378.12	HYAL1	0.017885081737383	2.71387006357408e-06	0.000341291332635482
ENSG00000189366.5	ALG1L	0.019128105902639	6.09547370476291e-07	0.000134808056957866
ENSG00000047457.9	CP	0.0175894337563539	9.62741247638182e-07	0.000178116387940445
ENSG00000178053.13	MLF1	0.0168910875915151	1.64934528998302e-06	0.000244542779259116
ENSG00000013297.6	CLDN11	0.0168421752129441	1.45483478141831e-06	0.000225749994992873
ENSG00000172667.6	ZMAT3	0.0173534264794651	6.21256933801394e-07	0.000135836416628098
ENSG00000185818.7	NAT8L	-0.0217127346655557	2.77751712882722e-09	2.8779243927277e-06
ENSG00000178163.3	ZNF518B	-0.0145080664513891	2.45967552045474e-06	0.000321949773395031
ENSG00000250125.1	RP11-707A18.1	-0.0176450771213786	2.26326501419538e-06	0.00030052406641703
ENSG00000138755.5	CXCL9	0.0168976724447649	4.06775393036114e-06	0.000456492727566305
ENSG00000138795.5	LEF1	-0.0185122637784059	9.28914346854412e-07	0.000175227852429664
ENSG00000164093.11	PITX2	0.0245814289159985	5.28668303250829e-11	8.47675568570767e-08
ENSG00000145423.4	SFRP2	0.0130437840868541	9.40359166138589e-06	0.000829387201488824
ENSG00000164107.7	HAND2	0.0165056076640556	5.14630570776585e-06	0.000563929459090086
ENSG00000151726.9	ACSL1	-0.0164966173133088	1.27302848536164e-06	0.000213601001354662
ENSG00000225138.3	CTD-2228K2.7	-0.0176693404074642	6.63893882940315e-07	0.00014097238041266
