GeneSymbol	Age.Coef	p.value	FDR
ENSG00000157933.9	SKI	-0.0125360720524293	2.00615488419884e-07	0.000328154799731376
ENSG00000067533.5	RRP15	-0.0203024003895582	1.31499766280327e-07	0.000263817753328621
ENSG00000172667.6	ZMAT3	0.0195374296701957	6.23609229932916e-08	0.0001621393241236
ENSG00000157005.3	SST	-0.018910605249971	5.89495066340846e-08	0.0001621393241236
ENSG00000178163.3	ZNF518B	-0.0199035086659763	3.51431413427254e-09	3.02204798516099e-05
ENSG00000138764.9	CCNG2	0.0225578964375544	4.30980590242227e-07	0.000441984811107675
ENSG00000164163.6	ABCE1	-0.0178429405142957	1.27810940607241e-06	0.00088759782446321
ENSG00000164463.8	CREBRF	0.0187599532128587	6.4466694414553e-07	0.000532516076310163
ENSG00000166278.10	C2	0.0175590648837184	1.40787327178859e-06	0.000941502214644994
ENSG00000171453.13	POLR1C	-0.0205490375035845	1.47093965994096e-07	0.000265592864998941
ENSG00000112319.13	EYA4	0.0220997387523108	9.98527587054609e-07	0.000721176564474321
ENSG00000147889.12	CDKN2A	0.0266082939224742	2.49234823681208e-13	4.50018397638789e-09
ENSG00000107960.6	OBFC1	0.0163348710334346	2.69354266374941e-07	0.000347390045261853
ENSG00000185085.2	INTS5	-0.0184829879647626	7.26422254730432e-07	0.000570273053539682
ENSG00000135097.2	MSI1	-0.0180505501751096	5.02112536302779e-09	3.02204798516099e-05
ENSG00000215417.6	MIR17HG	-0.0205122875657017	6.3064405002004e-07	0.000532516076310163
ENSG00000165861.9	ZFYVE1	0.0198300235515388	6.48327542286928e-07	0.000532516076310163
ENSG00000196155.8	PLEKHG4	-0.0209296828327781	4.40614011959357e-07	0.000441984811107675
ENSG00000130810.15	PPAN	-0.0229576433907458	2.68911675353346e-07	0.000347390045261853
ENSG00000133265.6	HSPBP1	-0.0185597572682601	9.32207838719513e-07	0.000701331030663313
ENSG00000166770.6	ZNF667-AS1	-0.0139871546994165	9.21794705854167e-08	0.000208049065111286
ENSG00000121406.4	ZNF549	-0.0199964504787263	4.34403870917773e-07	0.000441984811107675
ENSG00000131080.10	EDA2R	0.0183437167011768	6.28586214480064e-08	0.0001621393241236
