GeneSymbol	Age.Coef	p.value	FDR
ENSG00000121753.8	BAI2	-0.0184321880676172	2.27412620864579e-06	0.000506265690221735
ENSG00000174348.9	PODN	0.015374585096871	1.53970529403329e-06	0.000401363656041766
ENSG00000153936.12	HS2ST1	-0.0196185616973518	1.77233131965311e-09	2.08241712910156e-06
ENSG00000154511.7	FAM69A	-0.0133298349871283	3.7297462146619e-06	0.000716505260491281
ENSG00000168509.13	HFE2	0.0253143013592515	1.06178969875244e-11	3.21828457691866e-08
ENSG00000143553.6	SNAPIN	-0.013930329960932	4.56578132040382e-07	0.000163881511367494
ENSG00000185630.14	PBX1	0.016955537782021	2.64580649027558e-07	0.000117421491438495
ENSG00000174307.5	PHLDA3	0.0256411818220237	1.94838886573364e-09	2.08241712910156e-06
ENSG00000188783.5	PRELP	0.0187861889460578	2.80682598357738e-07	0.0001215355650889
ENSG00000184731.5	FAM110C	-0.0184523748102157	3.09349957648193e-10	5.62583832979004e-07
ENSG00000084733.6	RAB10	-0.0107406616218598	1.9518396630731e-08	1.33110585422427e-05
ENSG00000171055.10	FEZ2	-0.0111357448268429	1.24781193487137e-06	0.000350918162591299
ENSG00000138078.11	PREPL	-0.0128742305886173	5.01313806334753e-09	4.71563424931232e-06
ENSG00000198075.5	SULT1C4	0.0197659656729181	1.20098346899714e-06	0.000341266958862218
ENSG00000115165.5	CYTIP	0.0220871412530803	1.60462007527047e-06	0.000412472475929911
ENSG00000136531.9	SCN2A	0.0217134735306047	2.95536079095007e-06	0.00059079916978274
ENSG00000079308.12	TNS1	0.0134695263905014	2.87298899506221e-06	0.00058486766265897
ENSG00000135916.11	ITM2C	-0.022820009314305	2.04860772868816e-11	5.58839702308844e-08
ENSG00000163513.13	TGFBR2	0.0118975359371049	6.15478995763195e-06	0.000953957473035466
ENSG00000144649.4	FAM198A	0.0271954674281518	9.71800151211429e-13	4.41828938748276e-09
ENSG00000163814.3	CDCP1	-0.0235450522056194	3.82317342997732e-07	0.000151148330429495
ENSG00000172667.6	ZMAT3	0.0288239832844132	3.73390886490914e-23	5.09286499629282e-19
ENSG00000181449.2	SOX2	0.0266405357809323	2.66876808870805e-07	0.000117421491438495
ENSG00000189058.4	APOD	0.0169378335421597	5.84226296966643e-06	0.000927196843776254
ENSG00000109180.10	OCIAD1	-0.0120869020219619	8.66582777061851e-08	4.82439011744291e-05
ENSG00000171476.17	HOPX	-0.0173477239710281	2.67367309106046e-06	0.000565637670273831
ENSG00000156234.7	CXCL13	0.0230981502395926	1.93743501566213e-07	9.27215610390303e-05
ENSG00000138641.11	HERC3	0.0170071633885768	6.11954888344669e-09	5.39188365414565e-06
ENSG00000248810.1	RP11-362F19.1	0.022321705050077	3.58432521255494e-07	0.000145935533542218
ENSG00000164136.12	IL15	0.0239026358537726	6.12736512623319e-09	5.39188365414565e-06
ENSG00000250337.1	LINC01021	0.0214952600300335	1.61789489807179e-06	0.000412472475929911
ENSG00000113319.7	RASGRF2	0.0258479122029668	2.34474678966576e-07	0.000108410758771682
ENSG00000175471.15	MCTP1	0.0195724042299861	1.83378281354634e-06	0.000454004735121906
ENSG00000253864.1	AC131025.8	0.0207523078423751	1.17485151635773e-07	6.04693858768349e-05
ENSG00000153046.13	CDYL	-0.0141205453216201	8.13859037079781e-07	0.000246680674138882
ENSG00000112799.4	LY86	-0.0230293825413312	3.52476564647941e-07	0.000145684972833806
ENSG00000182952.4	HMGN4	-0.0116230435273755	7.90368095351232e-07	0.000242252261495351
ENSG00000204344.10	STK19	0.0202400501670289	2.4283331972001e-07	0.000110404168810702
ENSG00000204228.3	HSD17B8	-0.0238594722723485	4.50847415256984e-08	2.73303703128784e-05
ENSG00000124762.9	CDKN1A	0.0162472553114809	1.24444414573736e-07	6.17221670028535e-05
ENSG00000244694.3	PTCHD4	0.0459492363013015	2.62036284174771e-31	7.14808779600358e-27
ENSG00000170899.6	GSTA4	-0.0151604674447038	2.76074216205124e-09	2.68965305137842e-06
ENSG00000118418.10	HMGN3	-0.0149489961364907	5.09697327032499e-06	0.000862261894582379
ENSG00000010810.13	FYN	-0.0139871141098297	1.87206266135784e-06	0.000454004735121906
ENSG00000152894.10	PTPRK	0.0130361222321615	4.65021978184502e-06	0.000807983091904142
ENSG00000197442.8	MAP3K5	-0.0090723078685607	5.09706337183909e-07	0.000171400930268115
ENSG00000112562.14	SMOC2	0.0136301662653642	1.88745644853497e-06	0.000454004735121906
ENSG00000004846.12	ABCB5	0.0218997049000235	3.29498539827246e-06	0.000646646810643701
ENSG00000105877.13	DNAH11	0.0303556370942622	6.3546631463855e-10	9.63049199834723e-07
ENSG00000136235.11	GPNMB	0.0156245059087814	5.16564935099457e-07	0.000171400930268115
ENSG00000227191.2	TRGC2	-0.0196367409406569	1.40016191873125e-06	0.000378168484961087
ENSG00000127990.11	SGCE	-0.0116224481019331	9.20584090800213e-08	5.0225226825878e-05
ENSG00000005249.8	PRKAR2B	-0.0137389148211625	1.82636672694599e-07	8.89668891863564e-05
ENSG00000173114.8	LRRN3	-0.0112030225343839	4.72468267106845e-06	0.000810595085434442
ENSG00000128512.15	DOCK4	0.01519234786293	5.55327599418618e-06	0.000901713189555981
ENSG00000106034.13	CPED1	0.0132683351081221	4.16009026895362e-07	0.00015761542006498
ENSG00000234722.3	AC073236.3	0.0230343454516775	6.60093685878303e-06	0.000989965478914189
