GeneSymbol	Age.Coef	p.value	FDR
ENSG00000158292.6	GPR153	0.0173668913972478	1.86100841034864e-06	0.000519541043245941
ENSG00000162461.7	SLC25A34	-0.0171118616046812	3.28269187040722e-06	0.000729262624748926
ENSG00000273002.1	RP11-336K24.12	-0.0161433760328718	2.31543144008408e-06	0.00056669203381041
ENSG00000243943.5	ZNF512	-0.0156565228884375	4.2482020727671e-07	0.000357016455242337
ENSG00000172954.9	LCLAT1	-0.0147916624886636	2.45855278497472e-06	0.000591691703583915
ENSG00000172985.8	SH3RF3	-0.019040266149463	7.66412902022144e-07	0.000404152176468842
ENSG00000163947.7	ARHGEF3	0.0141390645922312	1.05468621972292e-08	3.80741725319974e-05
ENSG00000004399.8	PLXND1	0.0194703692880685	9.01849678036076e-07	0.000422514645673934
ENSG00000052795.8	FNIP2	0.0135314707162343	1.63820115834061e-06	0.000500311697824204
ENSG00000057657.10	PRDM1	0.015046240851139	9.99201697172514e-07	0.000422514645673934
ENSG00000136286.10	MYO1G	0.0161249202623809	4.20963704517492e-07	0.000357016455242337
ENSG00000034677.7	RNF19A	0.00850981838839182	4.36168604930235e-06	0.000839769954025678
ENSG00000170873.14	MTSS1	0.0165533450496722	1.35325918492465e-06	0.000454443316983998
ENSG00000174807.3	CD248	-0.0285729320251346	3.65696906247957e-13	5.28066332622051e-09
ENSG00000109956.8	B3GAT1	0.0162041404516215	3.15207189135575e-06	0.000711186220487141
ENSG00000272849.1	RP11-347I19.8	-0.0151435227233754	3.43842430128256e-07	0.000357016455242337
ENSG00000256128.1	LINC00944	0.0196985264173011	6.23901271269469e-09	3.43209673485522e-05
ENSG00000165527.5	ARF6	0.017659950624749	2.41247242642008e-08	5.80601697291767e-05
ENSG00000224383.3	C17orf72	0.01542433433031	2.18237844340751e-06	0.000552869205663236
ENSG00000105556.6	MIER2	0.0182779516218546	4.45034362490447e-07	0.000357016455242337
ENSG00000011304.12	PTBP1	0.0171999060172696	1.66308597614694e-06	0.000500311697824204
ENSG00000171469.6	ZNF561	-0.0138062733029279	3.71672959440562e-06	0.000777919127953453
ENSG00000180739.12	S1PR5	0.0154647466889358	3.08933812624029e-06	0.000708095913379521
ENSG00000123870.9	ZNF137P	-0.0134740034818292	3.63236246047023e-06	0.000777919127953453
ENSG00000204514.5	ZNF814	-0.0175596065477733	8.1769719887747e-07	0.000407156812130712
ENSG00000101190.8	TCFL5	-0.0159055403386042	6.04904859653629e-07	0.000363951090558267
