GeneSymbol	Age.Coef	p.value	FDR
ENSG00000228794.4	RP11-206L10.11	-0.0177401524630048	6.79280886025123e-06	5.21145413916311e-05
ENSG00000187634.6	SAMD11	0.0172241742095424	1.48892294540152e-05	9.89942598827406e-05
ENSG00000131584.14	ACAP3	0.019465623799032	2.35550468104645e-08	5.64845272925304e-07
ENSG00000162576.12	MXRA8	0.0164489632581894	1.01494634546521e-06	1.12028683946169e-05
ENSG00000175756.9	AURKAIP1	-0.0208044683871192	6.8540091570399e-10	3.9076236304188e-08
ENSG00000242485.1	MRPL20	-0.023150034266888	6.09783465085851e-11	7.06098952769908e-09
ENSG00000160075.10	SSU72	-0.0176400652247158	3.40869714236695e-06	2.97510958919227e-05
ENSG00000197530.8	MIB2	0.0159081793840812	8.05532867376752e-06	5.97119254334186e-05
ENSG00000008130.11	NADK	-0.0190691629792053	9.827838965161e-07	1.09320048823089e-05
ENSG00000231050.1	RP1-140A9.1	-0.014074760455997	0.000160813073029844	0.000701459550888018
ENSG00000178821.8	TMEM52	-0.027175276778274	3.04059209494219e-12	8.85714975406363e-10
ENSG00000187730.6	GABRD	-0.0153952536129609	0.000115878182906753	0.000535925815909352
ENSG00000157916.14	RER1	-0.0161802751277789	9.9695302610211e-06	7.13481584092961e-05
ENSG00000157911.5	PEX10	-0.0209796346715075	4.11999520211669e-09	1.50017715923948e-07
ENSG00000149527.13	PLCH2	0.0165094819640336	3.3179664628475e-05	0.000190211712075234
ENSG00000157873.13	TNFRSF14	0.0213292869567181	4.48577972776654e-08	9.38590252129649e-07
ENSG00000162591.11	MEGF6	0.0236267659811701	5.61057548542e-11	6.6047831281574e-09
ENSG00000130764.5	LRRC47	-0.0168812051514516	4.47587398205449e-07	5.83114735481774e-06
ENSG00000116237.11	ICMT	-0.0229364848302092	3.64528519652251e-09	1.35918103837538e-07
ENSG00000158292.6	GPR153	-0.0214811747253466	2.72355327953707e-08	6.34990973329163e-07
ENSG00000162413.12	KLHL21	-0.0159640746224695	4.98670823034486e-06	4.05793110162895e-05
ENSG00000049245.8	VAMP3	-0.0157352304153019	3.70650100335797e-05	0.000208008122232398
ENSG00000116288.8	PARK7	-0.0225025718713445	8.99170082769432e-11	9.26145185252515e-09
ENSG00000180758.10	GPR157	-0.0169184052227817	3.39609706464139e-05	0.000193619075156298
ENSG00000234546.2	RP3-510D11.2	0.0301479877594795	2.18726409905695e-15	4.53079606652431e-12
ENSG00000171612.6	SLC25A33	-0.0198704534460565	5.50172167195811e-07	6.91163053438781e-06
ENSG00000188807.8	TMEM201	-0.0170233746395065	2.08265652944374e-05	0.000129856072503076
ENSG00000171608.11	PIK3CD	0.0154213930425831	0.000109294389838566	0.000509648651765981
