GeneSymbol	Age.Coef	p.value	FDR
ENSG00000225972.1	MTND1P23	-0.0170623355934413	6.2029346155767e-05	0.000300584894810159
ENSG00000225630.1	MTND2P28	-0.018182891725994	4.9001683620147e-06	4.10355629223362e-05
ENSG00000237973.1	hsa-mir-6723	-0.0219185978802385	1.1259817550427e-07	2.63623312990859e-06
ENSG00000229344.1	RP5-857K21.7	-0.0186695577449398	3.68035016250216e-05	0.000198247333006487
ENSG00000248527.1	MTATP6P1	-0.0200347647855871	1.62275248826497e-06	1.7700129453851e-05
ENSG00000228794.4	RP11-206L10.11	-0.020626318633053	1.63318467337521e-06	1.77822771719184e-05
ENSG00000188976.6	NOC2L	-0.0216648494619602	4.03362248935118e-07	6.40572690666392e-06
ENSG00000217801.5	RP11-465B22.3	-0.0154534908458303	9.03107147600207e-05	0.000407661768393908
ENSG00000160087.16	UBE2J2	-0.0183250304848353	3.22058720628714e-05	0.00017791108057561
ENSG00000131584.14	ACAP3	0.0238524620089989	5.681534603423e-09	3.98791684568508e-07
ENSG00000127054.14	CPSF3L	0.0140764333538891	0.000168048142602666	0.000675646117722569
ENSG00000240731.1	RP5-890O3.9	0.017654051543828	0.000154406247041381	0.000631849328680684
ENSG00000224051.2	GLTPD1	0.0107738221706942	0.000184537998524187	0.000727770763499243
ENSG00000162576.12	MXRA8	0.0196148025548822	6.74841401533796e-06	5.25861583652818e-05
ENSG00000175756.9	AURKAIP1	-0.0152560940514283	3.43037748132897e-05	0.000187194783031572
ENSG00000221978.7	CCNL2	0.0159832884944948	0.000201277946853293	0.000782227692863919
ENSG00000242485.1	MRPL20	-0.0182691807405678	8.58922214227639e-06	6.35125835128519e-05
ENSG00000225285.1	RP4-758J18.10	-0.0172739133617406	0.000142170288417788	0.000591250928087545
ENSG00000205090.4	TMEM240	0.0214759622190771	2.01316209869194e-06	2.08574935182787e-05
ENSG00000197530.8	MIB2	0.0219413563003948	2.79127747847246e-07	4.94524015694687e-06
ENSG00000189339.7	SLC35E2B	0.0222184927034851	9.24213830253394e-07	1.17718610720754e-05
ENSG00000269737.1	RP11-345P4.7	0.0255550042865573	1.31592723223979e-08	6.659704944424e-07
ENSG00000269227.1	RP11-345P4.6	0.0175918858109863	0.000137566236182669	0.000573920844691307
ENSG00000227775.3	RP1-283E3.4	0.0213151253120719	1.51403136879452e-06	1.68032811539718e-05
ENSG00000178821.8	TMEM52	-0.0233763350392104	8.76549887869254e-09	5.28516473374281e-07
ENSG00000269554.1	AL590822.2	-0.0198298637031137	4.84584388623516e-06	4.07104015842232e-05
ENSG00000157933.9	SKI	-0.0176938973495073	2.83321643750808e-05	0.000161059815411974
ENSG00000149527.13	PLCH2	0.0197961359061089	1.02042486705221e-05	7.28761681751071e-05
ENSG00000238164.2	RP3-395M20.8	0.0204114690125793	6.91405065548775e-06	5.35140536845201e-05
ENSG00000157873.13	TNFRSF14	0.0257763339823288	1.20159925751536e-08	6.27767339366689e-07
ENSG00000162591.11	MEGF6	0.0205620472744027	8.21001157860246e-08	2.175534768451e-06
ENSG00000116213.11	WRAP73	0.0177275853692545	6.79499097917441e-06	5.28148284475982e-05
ENSG00000227372.6	TP73-AS1	0.0191988451748833	1.68013520082067e-05	0.000106801542838203
ENSG00000130764.5	LRRC47	-0.0163695569127483	8.25146388143076e-05	0.000378603844260259
ENSG00000215788.5	TNFRSF25	0.0203698058622527	2.83189143105625e-06	2.68947235741437e-05
ENSG00000171680.16	PLEKHG5	0.0193034069674893	1.04665017658095e-05	7.43429370851249e-05
ENSG00000162408.10	NOL9	-0.0209672142831734	3.71108742852618e-06	3.32587221299203e-05
ENSG00000162413.12	KLHL21	-0.0194001373361114	1.99382824344051e-06	2.07155375123565e-05
ENSG00000041988.11	THAP3	0.012606495754353	1.25851525285458e-05	8.54708571774418e-05
ENSG00000007923.11	DNAJC11	-0.0191356168565724	2.50248037230398e-05	0.000146236460269051
ENSG00000269925.1	RP3-467L1.6	0.0166120956392501	0.00026738974026073	0.000987607415825431
ENSG00000074800.9	ENO1	-0.0200561220536269	1.71559292514842e-06	1.83856374670626e-05
ENSG00000234546.2	RP3-510D11.2	0.0279396503648204	2.37938685832503e-10	5.60986209289708e-08
ENSG00000171621.9	SPSB1	-0.0188209067292599	8.63711502104048e-06	6.37641691035465e-05
