GeneSymbol	Age.Coef	p.value	FDR
ENSG00000162542.9	TMCO4	-0.0259520603114016	2.08494428841705e-06	0.000401274961783341
ENSG00000175707.7	C1orf172	-0.022595663819257	2.34022531529244e-06	0.00042365029371096
ENSG00000134716.5	CYP2J2	0.0298673701119399	7.38231217920857e-07	0.000226008480541943
ENSG00000162645.8	GBP2	-0.0258988558102322	7.6081607255484e-06	0.000841118276360712
ENSG00000134215.11	VAV3	0.026137258614183	7.63649277378463e-06	0.000841118276360712
ENSG00000134250.13	NOTCH2	-0.0276676261936691	2.00158512633315e-06	0.000396545353840041
ENSG00000131791.6	PRKAB2	-0.0284432844962731	5.835539121625e-07	0.000213393994599583
ENSG00000116128.5	BCL9	-0.0253566118546954	2.52211629976271e-06	0.000447712373056907
ENSG00000162736.11	NCSTN	-0.0274412239478388	3.18617486908324e-06	0.000515540011560337
ENSG00000158769.13	F11R	-0.0279752887893399	1.06486544437415e-06	0.000263250137368543
ENSG00000117592.8	PRDX6	-0.0301744060144332	5.23882994352105e-09	9.20213353353346e-06
ENSG00000224818.1	RP11-134G8.8	0.029712196247275	6.70456349623932e-07	0.000226008480541943
ENSG00000174307.5	PHLDA3	0.0305545138974263	1.23928300447658e-07	6.86637892540901e-05
ENSG00000159348.8	CYB5R1	-0.0260287731457558	1.96214298796909e-07	0.000100226761804889
ENSG00000117595.6	IRF6	-0.0244574177482124	8.02435320606569e-06	0.000853646156478389
ENSG00000116141.11	MARK1	-0.0243756858673793	3.71995941202202e-06	0.000548514015237182
ENSG00000117791.11	MARC2	-0.0273525331969275	1.17884934779427e-06	0.000283606335198296
ENSG00000197520.6	FAM177B	0.0237911338303699	3.3578756169387e-06	0.000530674077518531
ENSG00000121644.14	DESI2	-0.0273395602301694	1.00585784511063e-07	6.13036828000093e-05
ENSG00000226622.1	AC092155.4	0.0211870057428888	2.78203342690076e-06	0.000470987955346791
ENSG00000197329.7	PELI1	0.0254048783636286	1.53623233461564e-06	0.000330452611836617
