GeneSymbol	Age.Coef	p.value	FDR
ENSG00000225630.1	MTND2P28	-0.0203781063969979	6.9527118961948e-06	4.61417327086617e-05
ENSG00000228794.4	RP11-206L10.11	-0.0248270044783676	1.62191098588428e-10	4.64581715311011e-09
ENSG00000187608.5	ISG15	0.0171796933811084	3.74808477868736e-05	0.000198179982673094
ENSG00000186891.9	TNFRSF18	0.0160495716333111	6.19388371883091e-05	0.000306636220419968
ENSG00000186827.6	TNFRSF4	0.0220708653631616	7.34591274961714e-07	6.60805178055322e-06
ENSG00000078808.12	SDF4	0.0220910569401321	4.66390127321462e-07	4.50035545137935e-06
ENSG00000224870.3	RP4-758J18.2	-0.0194691560746774	1.76864684400221e-05	0.000103440249021081
ENSG00000235098.4	ANKRD65	-0.0261458279485371	7.84262118281253e-11	2.44262734065372e-09
ENSG00000225285.1	RP4-758J18.10	-0.0196327382389562	2.35279844412658e-05	0.000132574507125831
ENSG00000160072.15	ATAD3B	0.0245652080015677	1.61846243157605e-09	3.40326163791176e-08
ENSG00000215914.3	MMP23A	-0.0242589932673592	1.88649280143207e-07	2.10899923572514e-06
ENSG00000178821.8	TMEM52	-0.0266938410278154	1.41340991799968e-08	2.23746849421202e-07
ENSG00000187730.6	GABRD	0.0216629483173991	2.19810872516446e-06	1.70860682059899e-05
ENSG00000162585.12	C1orf86	0.0241034801991883	1.81814237060865e-08	2.78368615984854e-07
ENSG00000162591.11	MEGF6	0.0184332074856379	8.9541867975454e-05	0.00042391385648244
ENSG00000238260.1	RP11-46F15.2	0.0176266143768771	8.50625648815513e-05	0.000404834621418141
ENSG00000162408.10	NOL9	-0.0165345826281669	0.000206364339919375	0.000863681771466525
ENSG00000041988.11	THAP3	0.01488853796061	0.000180633613956576	0.000770169902544809
ENSG00000116285.8	ERRFI1	0.0203035715427409	5.99957515679691e-06	4.07187584055892e-05
ENSG00000074800.9	ENO1	0.0243460174437574	4.93101979586988e-08	6.61433031468122e-07
ENSG00000234546.2	RP3-510D11.2	0.0298258634776716	1.15744356206862e-12	6.04963820415692e-11
ENSG00000171621.9	SPSB1	0.0264780169980262	9.27208564187771e-09	1.5615737568529e-07
ENSG00000188807.8	TMEM201	-0.0183442972622719	1.24738204323947e-05	7.65731757829317e-05
ENSG00000160049.7	DFFA	-0.0148266492779272	7.9941994556643e-05	0.000382749391679594
ENSG00000226849.1	RP4-635E18.7	0.0253201832139681	1.88490747976397e-09	3.86959166472087e-08
ENSG00000120942.9	UBIAD1	-0.0193991784044069	1.04606719077161e-05	6.58598689267733e-05
