GeneSymbol	Age.Coef	p.value	FDR
ENSG00000162944.6	RFTN2	0.0306699887878873	3.05463011647221e-07	0.000561777024720403
ENSG00000228223.1	HCG11	-0.0223840612092383	1.12707325992313e-07	0.000230311159147182
ENSG00000244694.3	PTCHD4	0.0419430358659701	9.01213896364216e-12	1.65742247680343e-07
ENSG00000170381.8	SEMA3E	0.0335812296883523	2.51010583169639e-08	9.11808390571068e-05
ENSG00000081803.11	CADPS2	0.0340557125473815	4.36214465681626e-08	0.000114606003405011
ENSG00000198963.6	RORB	0.0340634495509678	1.8339456227402e-08	8.43202348695375e-05
ENSG00000167157.9	PRRX2	-0.0287392377272895	4.99446508744541e-09	3.06177358077362e-05
ENSG00000048540.10	LMO3	0.0351069668676516	2.51114616302819e-11	2.30912445421258e-07
ENSG00000184226.10	PCDH9	0.0291141484088499	6.31481092498768e-08	0.000145169609651811
ENSG00000131080.10	EDA2R	0.0330007178058929	2.97474326759089e-08	9.11808390571068e-05
ENSG00000101977.15	MCF2	0.0314854041148097	3.63585509270625e-07	0.000607881918272369
