GeneSymbol	Age.Coef	p.value	FDR
ENSG00000228463.4	AP006222.2	0.014619043680838	0.000192335693029486	0.000495256718360643
ENSG00000224956.5	RP11-206L10.1	0.0214700752366374	2.61030400293062e-09	1.88589405483049e-08
ENSG00000230092.3	RP11-206L10.8	0.0167886672948782	1.66865015632013e-05	5.32459246730263e-05
ENSG00000228794.4	RP11-206L10.11	-0.0155090106755041	1.00397266134204e-05	3.34619760719836e-05
ENSG00000230699.2	RP11-54O7.1	0.0323179230912485	1.34889706300234e-19	1.43031552045781e-17
ENSG00000223764.2	RP11-54O7.3	0.0371224042110154	1.44206809046078e-27	2.12801181215662e-24
ENSG00000187634.6	SAMD11	0.030034522199571	4.94018613247042e-21	8.49328311007633e-19
ENSG00000187583.6	PLEKHN1	0.0198339732698701	9.07966622717222e-08	4.68208298051152e-07
ENSG00000131591.13	C1orf159	0.0268667132533248	1.62591566300485e-12	2.47038326673498e-11
ENSG00000186827.6	TNFRSF4	0.0190176036068814	9.08586396721677e-07	3.7591700731653e-06
ENSG00000184163.3	FAM132A	0.0282310172487432	1.44320740522989e-13	2.85864840400569e-12
ENSG00000260179.1	RP5-902P8.12	0.0235305381864254	1.08576157671712e-09	8.59868783564704e-09
ENSG00000162572.15	SCNN1D	0.0238472605816886	2.63686158126646e-12	3.79931203263356e-11
ENSG00000131584.14	ACAP3	0.0125405174847694	0.000270723453889267	0.000675968827054589
ENSG00000127054.14	CPSF3L	0.0175005224757557	3.26920206378175e-06	1.20355572027957e-05
ENSG00000240731.1	RP5-890O3.9	0.0165750773182508	7.9075726737528e-06	2.6985410851188e-05
ENSG00000224051.2	GLTPD1	-0.0168289548478102	1.30501403337514e-06	5.23305899071716e-06
ENSG00000169962.4	TAS1R3	0.0216706099988006	1.99388539368491e-08	1.1836313292448e-07
ENSG00000175756.9	AURKAIP1	-0.0156885319509732	4.16092973040665e-05	0.000123069556816504
ENSG00000221978.7	CCNL2	0.0360196543259571	6.83804083657519e-22	1.65874009772703e-19
ENSG00000242485.1	MRPL20	-0.0173432186950512	7.93688861908678e-06	2.70802357739477e-05
ENSG00000272455.1	RP4-758J18.13	0.0203809122498983	1.76722807280576e-07	8.53629970355821e-07
ENSG00000160072.15	ATAD3B	0.02280959472054	4.6181457839836e-11	4.94725502376175e-10
ENSG00000160075.10	SSU72	-0.0189587818447644	7.20990890830951e-07	3.04490977696982e-06
ENSG00000197530.8	MIB2	0.0164033596153357	8.48103166857368e-06	2.87925822061163e-05
ENSG00000269737.1	RP11-345P4.7	0.0152979762219077	9.16495556692716e-05	0.000253616194348526
ENSG00000078369.13	GNB1	-0.0204612006804511	1.87914538376947e-08	1.12304780478535e-07
ENSG00000178821.8	TMEM52	-0.0171050205752879	8.59904089353386e-06	2.91652587900206e-05
ENSG00000187730.6	GABRD	0.0224255406210655	8.63208273251753e-09	5.57261833858624e-08
ENSG00000203301.2	AL590822.1	0.0149504102512892	2.46151199023725e-05	7.5951305668446e-05
ENSG00000116151.9	MORN1	0.0195416893389627	9.53551283070196e-08	4.90175955271215e-07
ENSG00000157916.14	RER1	-0.0184794100357834	1.67440194922414e-06	6.5530764428924e-06
ENSG00000149527.13	PLCH2	0.0236229643797342	1.14202028053995e-09	8.99594978994728e-09
ENSG00000272449.1	RP3-395M20.12	0.0134088256268878	0.000283575458947246	0.000706167097038087
ENSG00000238164.2	RP3-395M20.8	0.024477278154472	6.13650871179551e-11	6.3546956882149e-10
ENSG00000157873.13	TNFRSF14	0.0306195503186452	2.55288500575079e-18	1.97408243152118e-16
ENSG00000162591.11	MEGF6	0.0165569263291126	1.3022701860353e-05	4.24688774480905e-05
ENSG00000238260.1	RP11-46F15.2	0.0141437220934983	0.000193912234108285	0.000498953478870897
ENSG00000158109.10	TPRG1L	-0.0229252019799359	1.8223737976264e-10	1.68602900775174e-09
ENSG00000078900.10	TP73	0.0188984069823845	9.74318440423417e-07	4.0077191505268e-06
ENSG00000130764.5	LRRC47	-0.0294953662540397	1.19030341963186e-14	3.17916937478748e-13
ENSG00000116198.8	CEP104	-0.0305330342171318	8.24822639519114e-16	2.98795558876579e-14
ENSG00000131697.13	NPHP4	0.0167978775672744	2.41151406152237e-06	9.14329783538207e-06
ENSG00000069424.10	KCNAB2	0.0278567953256663	2.75572215676635e-15	8.71398713428903e-14
ENSG00000116237.11	ICMT	-0.0268206082814549	5.04996476586622e-13	8.86271318869762e-12
ENSG00000215788.5	TNFRSF25	0.021160319945862	2.41822358770586e-08	1.41233190274061e-07
ENSG00000171680.16	PLEKHG5	0.0184755203568576	1.31144797552281e-06	5.25409971732079e-06
ENSG00000173662.15	TAS1R1	0.0167724459702903	9.49255804302058e-06	3.18601625901836e-05
ENSG00000162413.12	KLHL21	-0.0276776025349868	5.73542018840474e-14	1.27431393596325e-12
ENSG00000116273.5	PHF13	-0.0173588436068218	8.53775543239866e-06	2.89638423989648e-05
ENSG00000171735.14	CAMTA1	-0.0190435584241945	9.83653299671974e-07	4.04423789890674e-06
ENSG00000049245.8	VAMP3	-0.0150584453494046	3.41511945292916e-05	0.000102482520373614
ENSG00000116288.8	PARK7	-0.0156052750812509	3.99766821388306e-05	0.000118597267099081
ENSG00000142583.13	SLC2A5	0.0196179266856108	5.08948703076378e-08	2.77221274502507e-07
ENSG00000180758.10	GPR157	-0.0175274079804291	5.87665101877069e-06	2.0567162088056e-05
ENSG00000234546.2	RP3-510D11.2	0.0267599256284218	1.35415214277218e-12	2.09792879651879e-11
ENSG00000162441.7	LZIC	-0.0228396810339214	2.6875712642163e-11	3.02552523501222e-10
ENSG00000173614.9	NMNAT1	-0.0201074505724663	2.69447683466679e-08	1.55571554575414e-07
ENSG00000162444.11	RBP7	0.0213208940384514	1.09124384045029e-08	6.88167589981974e-08
ENSG00000130939.14	UBE4B	-0.0240915033222135	1.30065708096614e-10	1.24095019341317e-09
ENSG00000054523.12	KIF1B	-0.0147476133178254	7.1775556885824e-05	0.00020271157278057
ENSG00000160049.7	DFFA	-0.0236216518863608	1.63023405102519e-10	1.52499654387501e-09
ENSG00000009724.12	MASP2	0.0234311545714432	1.20192237063329e-09	9.41754041556388e-09
ENSG00000271895.1	RP4-635E18.8	0.021996078227366	2.10816736377298e-10	1.92330899936589e-09
ENSG00000171824.9	EXOSC10	0.0199174116311052	5.1933510978708e-08	2.82270906203487e-07
ENSG00000226849.1	RP4-635E18.7	0.0328729958304508	3.78891228101356e-19	3.62670587417233e-17
ENSG00000198793.8	MTOR	-0.0240633180571715	2.85200101961724e-12	4.07942116763991e-11
ENSG00000132879.9	FBXO44	0.0162572106755895	1.91263715316523e-05	6.0286540954521e-05
ENSG00000177000.6	MTHFR	0.0155263327609767	1.08518788076767e-05	3.5838319643107e-05
ENSG00000011021.17	CLCN6	0.014394611464271	0.000167793530196817	0.000437018360453778
ENSG00000242349.1	NPPA-AS1	0.023961955448085	2.1674890151568e-11	2.50862061963376e-10
ENSG00000116685.11	KIAA2013	-0.0230976657094333	2.46613561386956e-10	2.21227606131723e-09
ENSG00000116688.12	MFN2	-0.028180396689986	8.26069800582688e-14	1.76029410694564e-12
ENSG00000116691.6	MIIP	0.0151382948359764	0.000127731719799335	0.000342137845137895
ENSG00000028137.12	TNFRSF1B	0.02140521329506	6.46476315716689e-09	4.29722319771439e-08
ENSG00000048707.9	VPS13D	-0.0238029758114697	4.39249309305031e-11	4.72840533080455e-10
ENSG00000171729.9	TMEM51	-0.0199569168394111	2.9577338245119e-09	2.11447519436644e-08
ENSG00000142634.8	EFHD2	0.0221946275083303	6.86577476633796e-09	4.52808713453678e-08
ENSG00000162461.7	SLC25A34	0.0266139376108726	4.72423259500488e-12	6.44008551134307e-11
ENSG00000116809.7	ZBTB17	0.014911884598081	8.41206286885355e-06	2.8591326157708e-05
ENSG00000186510.7	CLCNKA	0.0288962566746333	1.12409060302458e-13	2.2932484329907e-12
ENSG00000184908.13	CLCNKB	0.0147342380645082	9.29570832074192e-06	3.12527820284219e-05
ENSG00000142627.9	EPHA2	0.0246510183134855	2.83645652370865e-12	4.06704227707148e-11
ENSG00000226029.1	RP4-798A10.2	0.0135355805161854	9.14906420874926e-05	0.000253222302295298
ENSG00000080947.10	CROCCP3	0.0136988309991953	2.82214361591523e-06	1.05498246043122e-05
ENSG00000186301.7	MST1P2	0.0187337362932453	4.7339157696154e-07	2.07546869146693e-06
ENSG00000058453.12	CROCC	0.0220936456616921	3.67498240479831e-09	2.57219717091575e-08
ENSG00000117118.5	SDHB	-0.0148181004206031	0.000102308385997473	0.000280401934567908
ENSG00000117154.7	IGSF21	0.0253691857363939	4.08940688296626e-12	5.63104331909538e-11
ENSG00000159423.12	ALDH4A1	-0.0241973637346865	3.4977447308771e-10	3.02284351851497e-09
ENSG00000211454.9	AKR7L	0.026786992506056	6.21242415026073e-13	1.06701849517766e-11
ENSG00000162482.4	AKR7A3	0.0259137205949745	1.53747570307635e-11	1.83584758935105e-10
ENSG00000077549.13	CAPZB	-0.0195993243970541	1.34563889182812e-07	6.67841185439808e-07
