GeneSymbol	Age.Coef	p.value	FDR
ENSG00000215788.5	TNFRSF25	0.0293885182670224	1.78825726409947e-05	0.00092978207852131
ENSG00000116691.6	MIIP	0.0309398260194877	6.49224964688903e-06	0.000530181731939481
ENSG00000162496.4	DHRS3	0.0321513674730386	7.39889641453167e-06	0.000571136043598386
ENSG00000189337.11	KAZN	-0.0364174981375743	1.58786811697578e-08	3.76046866802789e-05
ENSG00000162545.5	CAMK2N1	-0.0318708835851452	1.34919733739639e-05	0.000812393118253
ENSG00000075151.15	EIF4G3	-0.0321434172497234	4.27239641685373e-06	0.000429107239245127
ENSG00000169641.9	LUZP1	-0.0324118219274073	1.69346929015335e-05	0.000921967504920844
ENSG00000001461.12	NIPAL3	-0.0242978093387387	1.56594678169514e-05	0.000877741538171554
ENSG00000162526.6	TSSK3	0.0307424652825669	3.72671450997275e-06	0.000415059215825925
ENSG00000131236.12	CAP1	-0.0338193524106184	6.02885477611269e-06	0.000507573848153453
ENSG00000230615.2	RP5-1198O20.4	0.0312122562829673	1.84786328603702e-06	0.000309819626701393
ENSG00000227947.1	RP11-543D5.1	0.03520546793008	1.25531233296393e-06	0.000233168112356221
ENSG00000154222.10	CC2D1B	0.0318173624803725	4.19977208269959e-06	0.000429107239245127
ENSG00000121310.12	ECHDC2	0.0288293777891212	1.78982631696392e-05	0.00092978207852131
ENSG00000134716.5	CYP2J2	0.0328731889541575	1.65234787395005e-05	0.000912693376672234
ENSG00000118473.17	SGIP1	-0.0359651569317477	5.85845199978979e-06	0.000507573848153453
ENSG00000198890.6	PRMT6	-0.0341754286727325	5.68751562628747e-06	0.000507573848153453
ENSG00000168710.13	AHCYL1	0.0291116735233228	3.90019785737936e-06	0.00041521063636436
ENSG00000116459.6	ATP5F1	-0.0272771994960988	1.37393578583544e-05	0.000821154176606888
ENSG00000134207.10	SYT6	-0.0347955263015902	1.3522879349912e-05	0.000812393118253
ENSG00000134198.5	TSPAN2	-0.0359831560961259	2.12150465466939e-06	0.000329459239240707
ENSG00000143067.4	ZNF697	-0.0354284065161244	7.37706347012182e-06	0.000571136043598386
ENSG00000023902.9	PLEKHO1	0.0287739796281563	1.13557689479995e-06	0.000222447504431585
ENSG00000132718.7	SYT11	-0.0351654412826708	2.08864601725919e-07	0.000116093875722113
ENSG00000158882.8	TOMM40L	-0.0346772001139245	4.1791245034482e-06	0.000429107239245127
ENSG00000143171.8	RXRG	-0.0332541152403789	1.69058991711858e-05	0.000921967504920844
ENSG00000143179.8	UCK2	-0.0295468962774001	5.76606320553029e-06	0.000507573848153453
