GeneSymbol	Age.Coef	p.value	FDR
ENSG00000178821.8	TMEM52	0.0385408895492142	1.33686964138667e-07	5.04282654149992e-05
ENSG00000142609.13	C1orf222	0.0402330427245433	3.83502004047045e-08	2.42657800302671e-05
ENSG00000182873.4	RP11-181G12.2	0.0352580491276243	7.48009684488932e-07	0.000114630411693328
ENSG00000272420.1	RP4-740C4.7	0.0336105860626712	5.00404560744606e-06	0.000315727319787345
ENSG00000158286.8	RNF207	0.0261878871559908	1.78082232890714e-05	0.000674090567579279
ENSG00000215788.5	TNFRSF25	0.0333706166677926	8.08979172500361e-06	0.000410841829778641
ENSG00000171608.11	PIK3CD	0.0312732371934052	3.22140539909325e-05	0.000967654929605116
ENSG00000162496.4	DHRS3	0.026493308253598	2.91203409618424e-06	0.000229395778299815
ENSG00000117640.13	MTFR1L	0.0338576983262027	6.87674781539092e-06	0.000375533052481736
ENSG00000117682.12	DHDDS	-0.0280187669053162	5.33870332673003e-06	0.000325213247682638
ENSG00000158246.7	FAM46B	0.0330141629313013	2.2390933477282e-05	0.000764058604694572
ENSG00000243659.1	RP11-4K3__A.3	0.0317909279663493	2.24757763646228e-05	0.000765386030194577
ENSG00000237429.1	RP1-159A19.4	0.0352006674738525	5.30874303155192e-06	0.000324395621694364
ENSG00000117758.9	STX12	-0.0323985741654292	7.45296368119257e-06	0.000388802879272852
ENSG00000060656.15	PTPRU	0.0366798993783311	5.88328112515976e-07	0.000104909599336372
ENSG00000183615.5	FAM167B	0.0365068912725746	7.89496690080543e-07	0.000116435921623533
ENSG00000116983.8	HPCAL4	-0.0334928915264809	5.81095257326116e-06	0.000343318779290716
ENSG00000117425.9	PTCH2	0.0367553080276184	3.76327790781141e-07	8.59758551547244e-05
ENSG00000232022.2	RP5-1109J22.1	0.033023665914533	1.16733791360294e-05	0.000527703478423129
ENSG00000162368.9	CMPK1	-0.0331155420191381	1.47558524137784e-05	0.000604204730766837
ENSG00000123080.6	CDKN2C	0.0316175447664877	2.6450377477081e-07	7.20061172083672e-05
ENSG00000085832.12	EPS15	-0.03145517197495	1.19547984497286e-06	0.000148607644037082
ENSG00000169213.6	RAB3B	-0.0317259854355933	1.84533237582631e-05	0.000685198425099261
ENSG00000116209.7	TMEM59	-0.0260072727722526	1.70844379656968e-05	0.000655795011149006
ENSG00000187889.8	C1orf168	0.0322431480169397	1.61305610420935e-05	0.00063534328281258
ENSG00000271200.1	RP11-430G17.3	0.0364388794234528	3.05011686929401e-06	0.000237411631817037
ENSG00000184588.13	PDE4B	-0.0248584505296507	3.02042854696747e-05	0.000927162847398542
ENSG00000118473.17	SGIP1	-0.0325933293204747	2.32887394199131e-05	0.000779536900548798
ENSG00000142864.10	SERBP1	-0.031841895897544	9.63660249756305e-06	0.000465571325097781
ENSG00000154027.14	AK5	-0.0342110869127792	7.59591105555521e-07	0.000114630411693328
ENSG00000197147.8	LRRC8B	-0.029504089489243	2.47719580447285e-06	0.000211331661821422
ENSG00000117600.8	LPPR4	-0.03577486777039	9.03409297748652e-07	0.00012305814843986
ENSG00000162636.11	FAM102B	-0.0327190398949968	7.96957064200535e-06	0.000406034099072558
ENSG00000116459.6	ATP5F1	-0.0332677976400148	9.804128138642e-06	0.000469043837657227
ENSG00000116473.10	RAP1A	-0.0261075448841894	1.41550292932792e-07	5.1416833256976e-05
ENSG00000171385.5	KCND3	-0.0297526134583103	2.45135114136662e-05	0.00080233076712605
ENSG00000163393.8	SLC22A15	-0.0351962657234724	5.02202007512881e-06	0.000315727319787345
ENSG00000163399.11	ATP1A1	-0.0336755675933336	5.07861372879261e-09	7.11713164269194e-06
ENSG00000198162.8	MAN1A2	-0.0301921152855611	1.58467840291182e-05	0.000629829556833972
