GeneSymbol	Age.Coef	p.value	FDR
ENSG00000178821.8	TMEM52	0.0353607403667933	1.39395886332534e-08	1.43233152528481e-05
ENSG00000142609.13	C1orf222	0.0360626038701018	4.54976569889043e-08	2.45662754411981e-05
ENSG00000177133.6	LINC00982	0.0339646983324363	8.63896071670057e-07	0.000164370625903089
ENSG00000142611.12	PRDM16	0.032429912608104	9.85199059227621e-06	0.000742728558688657
ENSG00000171608.11	PIK3CD	0.0315745140939178	4.12152875540017e-07	0.000100752010000595
ENSG00000117682.12	DHDDS	-0.0341940765401801	1.00033890650956e-06	0.000174011958353664
ENSG00000117676.9	RPS6KA1	-0.0350665761543596	1.67527713220897e-07	5.48666992578212e-05
ENSG00000121900.14	TMEM54	0.0391991976999621	1.43005033849956e-07	4.98235115052001e-05
ENSG00000117408.6	IPO13	-0.0287657632441864	4.96452883119958e-06	0.000500915944392451
ENSG00000134716.5	CYP2J2	0.0398146424589692	4.52462929597348e-09	7.53275367291318e-06
ENSG00000143416.16	SELENBP1	0.0310485610813656	1.45480995795655e-05	0.000946716395441561
ENSG00000143365.12	RORC	0.0375799288039742	5.24098303592222e-08	2.68472715619626e-05
ENSG00000160678.7	S100A1	0.0377884480763265	4.10897274372232e-07	0.000100752010000595
ENSG00000162704.11	ARPC5	-0.0281267282580079	4.08622109366365e-06	0.000445385912893527
ENSG00000198756.6	COLGALT2	-0.0285414115699713	7.76865307811463e-06	0.000647832024346469
ENSG00000133048.8	CHI3L1	0.0312075618137062	8.71140209683125e-06	0.000688224981781058
ENSG00000143842.10	SOX13	0.0355939471205613	3.58284040840929e-07	9.54373142389344e-05
ENSG00000186007.5	LEMD1	-0.0295066979952706	5.70586375298192e-06	0.000525522235643283
ENSG00000203709.5	C1orf132	0.03274143559168	3.61494253702488e-06	0.00040376184196587
ENSG00000117594.5	HSD11B1	0.0473412799313451	1.08256723874863e-12	2.162752829572e-08
ENSG00000123684.8	LPGAT1	-0.0328706115297946	4.51814152611637e-06	0.000472583410517031
ENSG00000143819.8	EPHX1	0.0340873835872952	4.12696777127719e-06	0.000445385912893527
ENSG00000169006.6	NTSR2	0.0347178355333449	1.78288474895731e-06	0.000254417653676207
ENSG00000157833.8	GAREML	0.0391357935281171	3.42564040261139e-08	2.01286599892266e-05
ENSG00000115194.6	SLC30A3	-0.0314635335997831	1.20043756732198e-06	0.000197954762208779
ENSG00000143919.10	CAMKMT	0.0397846569922189	1.89679204679786e-09	3.78941115109276e-06
ENSG00000138083.3	SIX3	0.0364810603299411	2.77033880254938e-07	7.68692063851826e-05
ENSG00000169599.8	NFU1	-0.0284932049416401	1.35443558956729e-05	0.0009124620209482
ENSG00000068615.12	REEP1	-0.0367986390266176	5.4366200288539e-08	2.71531987341108e-05
ENSG00000125637.11	PSD4	0.0320064038104043	1.36568469739181e-05	0.000915558687399117
ENSG00000152127.4	MGAT5	-0.0283951406134322	9.9406979800927e-06	0.000746598737768015
ENSG00000170035.11	UBE2E3	-0.0345083792365867	2.05706892990097e-06	0.000279565463139875
ENSG00000144339.7	TMEFF2	-0.0309174313166569	2.4129288844156e-06	0.000309009572133685
