GeneSymbol	Age.Coef	p.value	FDR
ENSG00000176022.3	B3GALT6	-0.026877654448828	6.45497444726773e-05	0.000613520108915708
ENSG00000221978.7	CCNL2	0.0286802892626899	6.14110864091691e-06	0.000124920225510822
ENSG00000078369.13	GNB1	-0.0382589674173084	1.54200612794839e-08	2.51394902251937e-06
ENSG00000067606.11	PRKCZ	-0.0419660515662221	1.14663780554494e-07	9.4483157783718e-06
ENSG00000149527.13	PLCH2	-0.0342587498487447	5.01760239776425e-06	0.000108968750964306
ENSG00000142606.11	MMEL1	0.0330064504476067	5.64892143399424e-06	0.000118476147720035
ENSG00000130762.10	ARHGEF16	0.0397246621932552	3.22642907399556e-07	1.84802687516079e-05
ENSG00000227372.6	TP73-AS1	0.0279979878740954	2.7785367574239e-05	0.000341246122515215
ENSG00000196581.6	AJAP1	-0.0392956652610292	1.55195123243688e-07	1.13862070008262e-05
ENSG00000007923.11	DNAJC11	-0.0387790993968132	1.26648101606367e-06	4.26273137863767e-05
ENSG00000171603.12	CLSTN1	-0.0353579662795323	8.08554961371986e-06	0.000150558775079048
ENSG00000241563.2	CORT	-0.041147471115475	2.9591322063765e-08	3.99768557177306e-06
ENSG00000198793.8	MTOR	-0.0322102202316689	5.67532345211467e-05	0.000563191039024692
ENSG00000116661.9	FBXO2	0.026722497658711	6.65917667408127e-06	0.000132567694988392
ENSG00000177674.11	AGTRAP	0.0324074798598585	5.81876090707201e-05	0.000572782449289616
ENSG00000116731.18	PRDM2	-0.0356660628638612	1.26247447602249e-05	0.000201061890331745
ENSG00000189337.11	KAZN	-0.0376669845902896	9.29000759175305e-07	3.59650243538551e-05
ENSG00000116786.7	PLEKHM2	0.026065670467108	9.50709963039162e-05	0.000802735235602334
ENSG00000157191.15	NECAP2	0.034529512544747	2.78281525151941e-05	0.000341557443371014
ENSG00000009709.7	PAX7	-0.0332025352611817	6.12635638248818e-05	0.000592930806208305
ENSG00000053372.4	MRTO4	-0.0290162992694395	7.32593751519068e-05	0.000670283932671977
ENSG00000053371.8	AKR7A2	0.0309759387591075	1.40800162869385e-06	4.54387873220493e-05
ENSG00000158748.3	HTR6	-0.0308655649957014	0.000119899283148594	0.000942120761170403
ENSG00000162545.5	CAMK2N1	-0.0285737544220329	2.84770519719257e-07	1.69041506387289e-05
ENSG00000158825.5	CDA	0.0331755815468613	2.03713876348655e-05	0.000276877070811085
ENSG00000133216.12	EPHB2	-0.0394388747941535	4.38928299197036e-07	2.22176410995139e-05
ENSG00000117318.8	ID3	0.0311693977887976	9.74358600012463e-05	0.000816369145237132
ENSG00000127423.6	AUNIP	-0.0340881703336882	4.66065021064412e-05	0.000491904509570624
ENSG00000158008.5	EXTL1	-0.0372183080121997	4.04546988828762e-07	2.1188959797237e-05
ENSG00000175707.7	C1orf172	0.0366062878224035	4.47754289719683e-09	1.21549132680213e-06
ENSG00000000938.8	FGR	0.0311786064530951	0.000104054298513799	0.000854999854692457
ENSG00000121766.10	ZCCHC17	-0.0329974164829904	4.49735450204787e-05	0.000479156024762751
ENSG00000121764.7	HCRTR1	-0.0391289722847922	1.42707275632359e-07	1.10058772533948e-05
ENSG00000121753.8	BAI2	-0.0406883006320985	1.01565065794117e-07	8.65025249496068e-06
ENSG00000225828.1	FAM229A	0.0287046811883636	9.75430047094333e-05	0.000816917451583193
ENSG00000134684.6	YARS	-0.0335835925842101	2.31231195404558e-05	0.000301847261991243
ENSG00000160097.11	FNDC5	-0.0385299598221325	1.779949104896e-07	1.24083355928142e-05
ENSG00000121905.5	HPCA	-0.0442739407832676	6.10857439332721e-09	1.40777486812808e-06
ENSG00000116514.12	RNF19B	-0.0266808144137376	7.67464987656029e-05	0.000690982009322353
ENSG00000004455.12	AK2	0.0352320522419024	7.02115895896252e-06	0.000136175725591205
ENSG00000116544.7	DLGAP3	-0.0337347602839837	5.47341357781729e-08	6.02352239190241e-06
ENSG00000163867.12	ZMYM6	0.023196643025827	2.3686722726361e-05	0.000306648304410301
ENSG00000142686.7	C1orf216	-0.0372100970162628	5.46851494831266e-06	0.000115665584982669
ENSG00000116871.11	MAP7D1	-0.0299284147030222	8.97778381002102e-06	0.00015999360174257
ENSG00000163873.5	GRIK3	-0.0397730548486025	4.68808029509377e-09	1.21549132680213e-06
ENSG00000163879.9	DNALI1	0.0325500927628017	1.04590713428783e-05	0.000177695358660575
ENSG00000196449.3	YRDC	-0.033702725667415	2.07175353395455e-05	0.000279693866138081
ENSG00000116983.8	HPCAL4	-0.0404530261933424	1.33280791099818e-07	1.05275702292514e-05
ENSG00000127124.9	HIVEP3	-0.0424948457666444	6.45124413955066e-08	6.57699975289655e-06
ENSG00000177181.10	RIMKLA	-0.0383862354546063	1.8565922012228e-06	5.46205511555892e-05
ENSG00000117385.11	LEPRE1	0.0301675371052865	1.17797815620006e-05	0.000193099699596677
ENSG00000178922.12	HYI	0.0291155474169361	2.7071361057763e-05	0.000335633475797797
ENSG00000132768.9	DPH2	-0.0339613040343515	4.03719094533299e-07	2.1188959797237e-05
ENSG00000117411.12	B4GALT2	-0.0342768061833382	4.99005296010885e-10	3.19159578405336e-07
ENSG00000236624.4	CCDC163P	0.0339341466330993	1.69891468367275e-05	0.000245403317459948
ENSG00000117450.9	PRDX1	0.041814340977945	5.31128847147423e-08	5.91152442430163e-06
ENSG00000159592.6	GPBP1L1	0.0287241437462417	8.63538917070136e-05	0.000749816659862008
