GeneSymbol	Age.Coef	p.value	FDR
ENSG00000224389.4	C4B	0.0386100730449533	1.41566410284666e-07	0.000412771595224485
ENSG00000240583.6	AQP1	0.0462711926712362	9.39994807106384e-10	5.77501476325926e-06
ENSG00000054179.7	ENTPD2	0.0368591987339691	3.44206100872733e-07	0.000704172561694382
ENSG00000133321.6	RARRES3	0.0446206061561073	1.56768551167674e-07	0.000412771595224485
ENSG00000125144.9	MT1G	0.0462074991368975	1.08220880046599e-07	0.000412771595224485
ENSG00000131095.7	GFAP	0.0523315671728002	7.50386112244895e-10	5.77501476325926e-06
ENSG00000132470.9	ITGB4	0.0363467743135664	4.27167810244202e-07	0.000715739082782808
ENSG00000102575.6	ACP5	0.0536971953445999	2.56255168562664e-10	4.72303901177847e-06
ENSG00000132000.7	PODNL1	0.0410279166076166	2.84814118705884e-07	0.000656176127733519
ENSG00000267714.1	CTD-2540B15.6	0.0411779816016672	3.82058793171495e-07	0.000704172561694382
ENSG00000069535.12	MAOB	0.0324683310641369	1.19064491698501e-07	0.000412771595224485
