GeneSymbol	Age.Coef	p.value	FDR
ENSG00000178821.8	TMEM52	-0.0171580329720341	1.20672835007708e-05	0.000388085138083697
ENSG00000149527.13	PLCH2	0.0108255181610488	1.28729221926618e-05	0.000404949036521411
ENSG00000238164.2	RP3-395M20.8	0.0163038195701072	1.7943659701137e-05	0.000507676245868655
ENSG00000157873.13	TNFRSF14	0.0168119936010346	6.83372805392504e-06	0.000266600285134802
ENSG00000173614.9	NMNAT1	-0.016613357481241	1.74301039179238e-05	0.000497629466856723
ENSG00000009724.12	MASP2	-0.0164892039356468	4.89453113098448e-05	0.000995978942776896
ENSG00000271895.1	RP4-635E18.8	-0.0171277195910347	3.52019038860945e-05	0.000805701621273677
ENSG00000028137.12	TNFRSF1B	0.0148877835838737	1.19554803306457e-05	0.000386410147290494
ENSG00000239149.1	SNORA59A	0.0197526873710004	3.07387046984912e-06	0.000158687510310594
ENSG00000179743.2	RP11-169K16.9	-0.0180141564521417	2.10740826058472e-05	0.000560836011623965
ENSG00000272084.1	RP5-1126H10.2	0.0179839937122562	1.22057935074582e-05	0.000391298460110233
ENSG00000117245.8	KIF17	0.0153843754191935	1.07082099363734e-06	8.18649233044481e-05
ENSG00000117643.10	MAN1C1	0.0166668020396532	4.30895932208403e-05	0.000916407680654958
ENSG00000158156.7	XKR8	-0.0184944236565283	2.40048653335478e-05	0.000604710798770108
ENSG00000130772.9	MED18	-0.017280520567751	3.68227571980922e-05	0.00082601334986149
ENSG00000269967.1	RP11-84A19.4	0.0188994603163197	8.90354696964833e-06	0.000317745332479325
ENSG00000162521.14	RBBP4	-0.0164985273545339	2.62144205225436e-06	0.000142569847548136
ENSG00000222112.1	RN7SKP16	0.0203298654588554	1.66627388370475e-08	8.97074251161391e-06
ENSG00000117000.8	RLF	0.0207413480204732	6.15091062148291e-07	5.83010275782328e-05
ENSG00000272145.1	RP4-739H11.4	-0.0189365044013909	9.69878518799229e-06	0.000331674058455165
ENSG00000142949.12	PTPRF	-0.0236435114568758	3.08670273195047e-07	4.08913122667702e-05
ENSG00000173846.8	PLK3	0.0242557623757345	2.7513371090811e-07	4.01887171677636e-05
ENSG00000132763.10	MMACHC	-0.0218238206373006	7.5666554121691e-07	6.63155757820941e-05
ENSG00000123472.8	ATPAF1	-0.0146886768306374	5.16607265862011e-07	5.43822944728373e-05
ENSG00000187048.8	CYP4A11	0.0204973528550745	4.37004840027927e-06	0.000200352364979227
ENSG00000162365.7	CYP4A22	0.0171376190034262	1.06042723812565e-05	0.000351789268450732
ENSG00000157184.5	CPT2	-0.0218029929074732	7.33606065571291e-08	1.97476272765141e-05
ENSG00000212670.1	AL161915.1	-0.0193687693105373	2.42462401519033e-06	0.000136379672591735
ENSG00000162396.5	PARS2	-0.0216176259876202	1.05755017319622e-06	8.16697455472803e-05
ENSG00000177606.5	JUN	0.0215195053483463	1.88418420296124e-07	3.44695950838822e-05
ENSG00000116678.14	LEPR	0.0230210257221702	1.14899977741506e-07	2.64031741534537e-05
ENSG00000116717.7	GADD45A	0.0200313899409697	9.21950683640454e-06	0.000322306432872673
ENSG00000172260.9	NEGR1	0.0197734613719377	3.03784097193829e-07	4.08913122667702e-05
ENSG00000181227.2	RP4-682C21.2	-0.0252939985789616	3.51527699807365e-08	1.35180335662657e-05
ENSG00000162616.8	DNAJB4	0.0200874434193949	6.39609990861939e-06	0.00025752502260281
ENSG00000142871.11	CYR61	0.0217998315103364	2.93390579792791e-06	0.000152296382783349
ENSG00000117228.9	GBP1	0.0197257993502437	1.34746471783051e-06	9.54521717221066e-05
ENSG00000162645.8	GBP2	0.0172579760501062	1.59082912484841e-05	0.00046984315359747
ENSG00000137992.10	DBT	-0.0189653051338409	2.95048461010731e-05	0.000702856909080304
ENSG00000170989.8	S1PR1	0.0146106492162554	1.68282194897927e-06	0.000107855149607539
ENSG00000162639.11	HENMT1	-0.0223610652479741	1.07847486541102e-06	8.18649233044481e-05
ENSG00000273382.1	RP5-1065J22.8	-0.0155416936389488	4.88471727901026e-05	0.000995978942776896
ENSG00000134243.7	SORT1	-0.0126490036786022	1.615435846576e-06	0.000106061524937392
