GeneSymbol	Age.Coef	p.value	FDR
ENSG00000162585.12	C1orf86	0.0187825580719726	3.84676708798461e-05	0.000735983399331122
ENSG00000041988.11	THAP3	0.0244385753820509	1.460811760164e-07	3.97361969949539e-05
ENSG00000007923.11	DNAJC11	-0.0202691767754104	1.57568477789338e-05	0.000458512055756292
ENSG00000171735.14	CAMTA1	0.0225177931964624	6.26892947496266e-06	0.000291964112445594
ENSG00000142657.16	PGD	-0.0184380849927088	5.77919827252228e-05	0.000906180220358987
ENSG00000171819.4	ANGPTL7	0.0217174150203325	3.21306016932919e-06	0.000211599741467157
ENSG00000132879.9	FBXO44	0.0188318354569471	3.93640298346007e-05	0.000746444206146242
ENSG00000116670.10	MAD2L2	0.0180400894576456	6.43978930488855e-05	0.000966947243707626
ENSG00000116771.5	AGMAT	-0.0219638237852797	7.75427079655652e-06	0.000314643322511218
ENSG00000237276.4	ANO7P1	-0.0220977700284585	7.88054114328061e-06	0.000315845489946217
ENSG00000117115.8	PADI2	-0.0208811616360965	1.93807700613292e-05	0.000508041443130012
ENSG00000127463.9	EMC1	-0.0161837929351885	6.43511193992256e-05	0.000966947243707626
ENSG00000272796.1	RP1-74M1.3	-0.0238991616549791	2.24455937866508e-06	0.000170893477984867
ENSG00000223474.2	AL020996.1	-0.0215271919046132	5.91175224521105e-06	0.000280905513646497
ENSG00000198492.10	YTHDF2	-0.0209668179966021	1.71044011659671e-06	0.000147262617194512
ENSG00000116350.11	SRSF4	0.0209131939243715	1.76476289914869e-06	0.000149201958802351
ENSG00000092853.9	CLSPN	-0.0234321030285413	8.55798447063091e-08	3.0942309907186e-05
ENSG00000171812.6	COL8A2	0.0229491619996437	1.73321237537018e-06	0.000148541840517457
ENSG00000142694.6	EVA1B	0.0210111270175112	8.4592904850485e-06	0.000325151079738772
ENSG00000181817.5	LSM10	0.0192409290922109	1.99203341875412e-05	0.000515476223228924
ENSG00000197982.12	C1orf122	0.0170272152538991	2.95129156208752e-05	0.000643646888693042
ENSG00000010803.12	SCMH1	0.0211575834383272	1.23668853698776e-05	0.000400179675129564
ENSG00000117411.12	B4GALT2	0.0193287092326944	8.67883616386506e-06	0.00032774944528427
ENSG00000186603.4	HPDL	-0.0229260484329983	4.30162200683531e-06	0.000245401651812437
ENSG00000132763.10	MMACHC	-0.0198254552529607	7.64091370879626e-06	0.000314643322511218
