GeneSymbol	Age.Coef	p.value	FDR
ENSG00000131584.14	ACAP3	0.0212530659691088	9.2478218159518e-06	0.00026974034948113
ENSG00000127054.14	CPSF3L	0.0183147568808758	5.69731040956245e-06	0.000196105498524841
ENSG00000238164.2	RP3-395M20.8	0.0217704237500239	2.89303342981773e-05	0.000536216316976791
ENSG00000157873.13	TNFRSF14	0.0217261808749011	4.15280457812781e-05	0.000678795455243716
ENSG00000116288.8	PARK7	-0.0210756341260868	2.60437424163483e-05	0.000500349769491536
ENSG00000130940.10	CASZ1	-0.0193513951296081	1.26224010760057e-05	0.000319114411818523
ENSG00000171824.9	EXOSC10	0.0203369842992372	5.00990730363501e-05	0.000764343024833576
ENSG00000132879.9	FBXO44	0.0223357744474763	1.48905785964286e-05	0.000354076020357717
ENSG00000011021.17	CLCN6	0.0235599877741351	1.00560706169517e-07	2.3077068800081e-05
ENSG00000116685.11	KIAA2013	-0.0183310801038857	2.26915603925709e-05	0.000461909632747786
ENSG00000116691.6	MIIP	0.0188770731998141	6.42434935169499e-07	5.64266679686639e-05
ENSG00000116786.7	PLEKHM2	0.0159708119896999	1.60989765685602e-05	0.000370840630468524
ENSG00000116809.7	ZBTB17	0.0206895767351022	4.55522206472714e-06	0.000174301168609778
ENSG00000226029.1	RP4-798A10.2	0.0225660621443307	8.24372840860238e-06	0.000250950094004854
ENSG00000080947.10	CROCCP3	0.0196924713897688	9.18084341448105e-06	0.000268656374189277
ENSG00000225986.1	RP3-340N1.5	-0.0240253716704356	1.26377328389855e-06	8.33682698571784e-05
ENSG00000162543.5	UBXN10	-0.0207746923585818	6.011315551405e-05	0.000859660161022603
ENSG00000088280.14	ASAP3	0.0263747512881034	1.12936349745884e-06	7.78499444596626e-05
ENSG00000011007.8	TCEB3	-0.0240569641645915	5.14491698712017e-06	0.000185537509121276
ENSG00000169504.10	CLIC4	-0.0208301571637567	5.01356811029307e-05	0.000764343024833576
ENSG00000117758.9	STX12	-0.0206063213838883	4.38436217479946e-07	4.6116703603518e-05
