GeneSymbol	Age.Coef	p.value	FDR
ENSG00000241860.2	RP11-34P13.13	-0.0138624648447528	0.000195198208660108	0.000557039363470617
ENSG00000225880.4	LINC00115	0.0200835476917001	1.74528839825815e-08	1.76528365697957e-07
ENSG00000223764.2	RP11-54O7.3	0.0190441805851025	6.83892040858057e-07	4.02360125635819e-06
ENSG00000187634.6	SAMD11	0.020538450385352	2.41257980832564e-07	1.63698073582596e-06
ENSG00000188976.6	NOC2L	-0.0140436688303099	1.0376924895094e-05	4.22955006514289e-05
ENSG00000187961.9	KLHL17	0.0147799538484796	2.24921419514995e-05	8.31232644898751e-05
ENSG00000187642.5	C1orf170	0.0124190925258172	7.2534387652861e-06	3.09799921516682e-05
ENSG00000131591.13	C1orf159	0.013522553165992	1.66226237263918e-05	6.38518180895924e-05
ENSG00000131584.14	ACAP3	0.0166924637808584	4.63841256005174e-07	2.86439863492129e-06
ENSG00000127054.14	CPSF3L	0.0143697007915066	7.67350851798426e-05	0.000244139010640429
ENSG00000240731.1	RP5-890O3.9	0.0161966752666757	1.01551873432241e-05	4.15480504166789e-05
ENSG00000224051.2	GLTPD1	0.0120008913101377	5.25435013972428e-10	1.03264522756694e-08
ENSG00000162576.12	MXRA8	0.0195007913428273	2.10790895987752e-07	1.45165084129187e-06
ENSG00000221978.7	CCNL2	0.0222461951114685	7.61435381507041e-09	8.8633581229154e-08
ENSG00000224870.3	RP4-758J18.2	0.014594170266991	8.12542418385886e-06	3.41932555634737e-05
ENSG00000242485.1	MRPL20	-0.0122685757167278	6.60752107549612e-06	2.85627935693101e-05
ENSG00000160072.15	ATAD3B	0.0104451685156196	1.63420446563556e-05	6.28527051685021e-05
ENSG00000205090.4	TMEM240	0.018687184569139	1.81824797258578e-06	9.30601345613319e-06
ENSG00000160075.10	SSU72	-0.0133715978664055	1.05401273424176e-05	4.28468973533377e-05
ENSG00000197530.8	MIB2	0.0141524659903385	4.65294523852901e-05	0.000157893159398817
ENSG00000169885.5	CALML6	0.0200271998555567	2.30175671157425e-07	1.57221253129228e-06
ENSG00000182873.4	RP11-181G12.2	0.0144816694722051	1.98788410144523e-05	7.46622184950315e-05
ENSG00000162585.12	C1orf86	0.015465015725342	4.29480782780316e-06	1.95813038249555e-05
ENSG00000203301.2	AL590822.1	0.0164476478851793	2.26411285365646e-05	8.36381909730867e-05
ENSG00000272420.1	RP4-740C4.7	0.0172868905727519	4.0330521366583e-06	1.85678177875799e-05
ENSG00000157873.13	TNFRSF14	0.0234380505063446	2.83794379675811e-09	3.90880591004492e-08
ENSG00000177133.6	LINC00982	0.0202389796947128	2.33343616474297e-07	1.58870798977008e-06
ENSG00000142611.12	PRDM16	0.0179669661679284	6.54372617749637e-08	5.35091996263746e-07
ENSG00000238260.1	RP11-46F15.2	0.0193697537014511	1.68671269635639e-07	1.19833388516215e-06
ENSG00000116213.11	WRAP73	0.0120673557523589	9.89146234019647e-05	0.000305162136027338
ENSG00000227372.6	TP73-AS1	0.0196679899722825	2.24547975931744e-08	2.17405414131602e-07
ENSG00000169598.11	DFFB	0.0119214490032789	6.31594138413277e-05	0.000205745728973651
ENSG00000116251.5	RPL22	-0.017029397774484	1.17847389814562e-05	4.71773844225036e-05
ENSG00000215788.5	TNFRSF25	0.0123823555503596	0.00010318048681625	0.000316572586591345
ENSG00000204859.7	ZBTB48	0.0210048312529585	1.08958042673372e-08	1.18375360225967e-07
ENSG00000041988.11	THAP3	0.0237146612291699	2.06297163141485e-10	4.97898068053793e-09
ENSG00000007923.11	DNAJC11	-0.0212402461129985	2.27156633301729e-08	2.1889531147312e-07
ENSG00000049245.8	VAMP3	-0.0247013479539018	3.05955030653837e-11	1.19241963586928e-09
ENSG00000116288.8	PARK7	-0.0177784861375883	4.70809875472022e-10	9.51697459584773e-09
ENSG00000074800.9	ENO1	-0.0212279075095617	9.80741552483854e-09	1.08666400054093e-07
ENSG00000171612.6	SLC25A33	-0.0157908189696136	1.00220096091591e-05	4.10396502007259e-05
ENSG00000162441.7	LZIC	-0.0174121351828672	3.68837203414199e-06	1.71952837996771e-05
ENSG00000130939.14	UBE4B	-0.0124663260892675	8.65880027997842e-05	0.000271407331329026
ENSG00000142657.16	PGD	-0.0128739113151898	1.59208909517369e-05	6.14124857302546e-05
ENSG00000241563.2	CORT	0.0140423852992102	5.89877671271038e-05	0.000193836497438547
ENSG00000160049.7	DFFA	-0.0170764474697009	5.57526614094993e-07	3.37170857095543e-06
ENSG00000272078.1	RP4-734G22.3	0.0170132891144459	1.13750671478859e-08	1.22785381904056e-07
ENSG00000226849.1	RP4-635E18.7	0.0234276404227027	1.36429881207871e-11	6.59045206227229e-10
ENSG00000198793.8	MTOR	-0.0180341350303833	4.55236333761418e-06	2.06076132896178e-05
ENSG00000171819.4	ANGPTL7	0.0155974512966829	4.51260719119158e-05	0.000153888261899616
ENSG00000120942.9	UBIAD1	-0.0178738785628208	2.61201217740448e-06	1.2721556267364e-05
ENSG00000132879.9	FBXO44	0.0225357449836559	5.66879221245385e-09	6.90806587836208e-08
ENSG00000177674.11	AGTRAP	0.0119691019477826	9.70849477639645e-05	0.000300120750893639
ENSG00000177000.6	MTHFR	-0.0171176803533696	1.72863420492084e-05	6.60980043264479e-05
ENSG00000011021.17	CLCN6	0.0153407123463829	9.5368375090245e-06	3.9297575012013e-05
ENSG00000116691.6	MIIP	0.0142086460435839	1.65882161311025e-06	8.60969560468581e-06
ENSG00000048707.9	VPS13D	-0.015632214176829	7.30513370631909e-09	8.54663514624308e-08
ENSG00000239149.1	SNORA59A	0.0152813179874467	4.12323800532869e-06	1.89302986457561e-05
ENSG00000116731.18	PRDM2	-0.0112999675283691	0.000131145862796794	0.000392053744058922
ENSG00000175147.7	TMEM51-AS1	-0.0150854001180683	9.22309624212188e-05	0.000286558659184536
ENSG00000233954.4	RP11-169K16.7	-0.0208154029469229	8.91675951954413e-08	6.955953162997e-07
ENSG00000179743.2	RP11-169K16.9	0.0147685137354711	5.35907164147413e-06	2.38145039280276e-05
ENSG00000065526.6	SPEN	-0.0135532328692375	1.37315395178528e-05	5.3962078579014e-05
ENSG00000116809.7	ZBTB17	0.0138644673906669	9.2061335372148e-06	3.81482783725946e-05
ENSG00000224621.1	RP11-276H7.3	-0.0153793211612457	4.94561471538482e-05	0.000166557232962347
ENSG00000204377.3	C1orf134	0.0179653278184451	4.47264008115131e-07	2.77786398294777e-06
ENSG00000226029.1	RP4-798A10.2	0.0243725936392143	2.08197100972956e-10	5.01825865761385e-09
ENSG00000080947.10	CROCCP3	0.0216367529849665	2.09974270286932e-09	3.03745183608316e-08
ENSG00000215908.5	CROCCP2	0.0137694876266917	0.000228584916582206	0.000640016913313263
ENSG00000186301.7	MST1P2	0.0148357896717905	4.62380359050652e-05	0.000157214444459338
ENSG00000117122.9	MFAP2	0.0161824494888302	3.60438530581986e-07	2.31190370625819e-06
ENSG00000117118.5	SDHB	-0.0222438667059078	6.91729821301659e-09	8.17075346970498e-08
ENSG00000169991.6	IFFO2	-0.0164345085719365	2.59713908851495e-06	1.26658676681681e-05
ENSG00000272084.1	RP5-1126H10.2	0.0205367219060583	2.84070533180257e-08	2.64066575896741e-07
ENSG00000127481.10	UBR4	-0.0145622304612666	1.88936287248557e-05	7.14280790326867e-05
ENSG00000127463.9	EMC1	-0.0198707418590947	2.83989700385561e-08	2.64066575896741e-07
ENSG00000053372.4	MRTO4	-0.0122678564334445	8.3832714236378e-06	3.51018515839677e-05
ENSG00000040487.8	PQLC2	0.0156035499122065	9.25492227589285e-06	3.83159608162246e-05
ENSG00000077549.13	CAPZB	-0.0229556429375095	6.78495704440543e-12	3.96650742770559e-10
ENSG00000226396.1	RPS14P3	0.0226037820773903	6.35514152631003e-10	1.20030698673845e-08
ENSG00000158747.9	NBL1	0.0145721455661335	0.000104276360235773	0.000319615375123462
ENSG00000162543.5	UBXN10	-0.0121038649000191	6.23477790772394e-06	2.71490742896042e-05
ENSG00000244038.5	DDOST	-0.014883170592365	6.51722434107565e-06	2.82121970476982e-05
ENSG00000075151.15	EIF4G3	-0.0183406456731697	1.88498081328757e-06	9.59688185697834e-06
ENSG00000117298.10	ECE1	0.0105928395863267	0.000183012968704124	0.000525851742656647
ENSG00000218510.3	LINC00339	0.0132700337558894	0.000145906558439872	0.000431071598535254
ENSG00000070831.11	CDC42	-0.0204302024538546	1.97776349989894e-08	1.96337007281073e-07
ENSG00000271840.1	RP1-224A6.9	0.0192231876997067	6.88976880592145e-08	5.58183425257561e-07
ENSG00000173372.12	C1QA	-0.014583474093109	2.60219852174894e-06	1.26838236574925e-05
ENSG00000159189.7	C1QC	-0.0150667880094465	3.67749285466433e-06	1.7153249979393e-05
ENSG00000173369.11	C1QB	-0.0141543413689549	1.0913212779295e-05	4.41588251660551e-05
ENSG00000004487.11	KDM1A	-0.0192385211658614	1.0116463171901e-07	7.76875184781304e-07
ENSG00000261326.2	RP5-1057J7.6	0.01811177987964	1.76535328882177e-07	1.24552965213274e-06
ENSG00000125944.14	HNRNPR	-0.0172456080162079	5.13014539903108e-08	4.34952244581755e-07
ENSG00000249087.3	C1orf213	0.0200095389227117	4.8120669189616e-08	4.14278692438886e-07
ENSG00000271420.1	RP5-1057J7.7	0.0154490894381477	3.69066953873851e-05	0.000128345022856209
ENSG00000011007.8	TCEB3	-0.0179692628518374	1.33228726861834e-06	7.1257827625927e-06
ENSG00000179163.11	FUCA1	-0.0186356977677279	2.92727662932242e-09	4.01084814947711e-08
ENSG00000189266.7	PNRC2	-0.0153794185208667	3.71684306775897e-05	0.000129156296189643
ENSG00000188529.10	SRSF10	-0.0163760539042408	1.01365367792535e-06	5.64281513875311e-06
ENSG00000158055.11	GRHL3	-0.013724579168668	9.22541775301958e-09	1.03512437688445e-07
ENSG00000117616.13	C1orf63	0.0210140698035153	5.03536546571598e-09	6.24419225933736e-08
ENSG00000183726.6	TMEM50A	-0.018216343369692	1.36983781022437e-06	7.2969520611171e-06
ENSG00000157978.7	LDLRAP1	0.0154812775840319	6.35687789260278e-06	2.76219694177159e-05
ENSG00000117643.10	MAN1C1	0.0195517515260274	1.97739928584759e-08	1.96337007281073e-07
ENSG00000117640.13	MTFR1L	0.0240620359377304	2.72007189058917e-11	1.09037723876914e-09
ENSG00000223474.2	AL020996.1	-0.0121193829250673	0.000353769690542434	0.00094142613458655
ENSG00000182749.5	PAQR7	0.0152755998896948	2.86628517322247e-06	1.37957766505206e-05
