GeneSymbol	Age.Coef	p.value	FDR
ENSG00000230699.2	RP11-54O7.1	0.0158343256185947	3.84737898813232e-05	0.000749277586994367
ENSG00000223764.2	RP11-54O7.3	0.0228805402105871	9.11954741586396e-09	4.40570135422186e-06
ENSG00000187634.6	SAMD11	0.0219313324840253	3.8467698769849e-09	2.52210719291746e-06
ENSG00000131584.14	ACAP3	0.0177060886193016	7.03321705095777e-06	0.000288939232331599
ENSG00000224870.3	RP4-758J18.2	-0.0147007940119347	2.88948583147052e-05	0.000656499763541284
ENSG00000160072.15	ATAD3B	0.0145825949333519	1.42180901170706e-05	0.000430731217165904
ENSG00000197530.8	MIB2	0.0173411363279506	1.48282757425701e-05	0.000442630058670084
ENSG00000157873.13	TNFRSF14	0.0176214596149049	1.44972611471188e-05	0.000437012676746811
ENSG00000196581.6	AJAP1	0.0151415268447073	3.72842555777924e-05	0.000735192657247168
ENSG00000074800.9	ENO1	-0.0145294865191268	4.4958975475186e-05	0.000812897724826322
ENSG00000234546.2	RP3-510D11.2	0.0199639476980384	6.43276359801742e-07	7.07963390155304e-05
ENSG00000226849.1	RP4-635E18.7	0.0157213791589106	4.67281002908741e-05	0.000829627142301612
ENSG00000116691.6	MIIP	0.0135486036043784	1.04107256467182e-05	0.000357902811652532
ENSG00000228549.2	U1	-0.0187768636137614	2.18704958797675e-07	3.6834730583557e-05
ENSG00000117122.9	MFAP2	0.0170822363989611	7.9152053451324e-06	0.000307203678067528
ENSG00000077549.13	CAPZB	-0.0148300803064905	4.19570418705952e-05	0.000781183949959824
ENSG00000226396.1	RPS14P3	0.0172903228497569	3.17118201293645e-05	0.000684095880064482
ENSG00000004487.11	KDM1A	-0.0167734151574691	1.98656887321014e-05	0.000525496129314002
ENSG00000088280.14	ASAP3	0.019313000922508	1.96476449757205e-06	0.000143701779467839
ENSG00000011007.8	TCEB3	-0.022768503472328	7.91721969077448e-09	4.03734219675661e-06
ENSG00000117682.12	DHDDS	-0.0166613688534282	1.98046721104528e-05	0.000524961239140683
ENSG00000084636.13	COL16A1	0.0168864151944516	2.74234121891528e-05	0.000636345964167917
ENSG00000121774.13	KHDRBS1	-0.0168718737427175	3.41351360523589e-05	0.000704104300729444
ENSG00000220785.3	MTMR9LP	0.0169458633506692	5.00814983579859e-05	0.000868263398198524
ENSG00000116819.6	TFAP2E	0.0209196665580919	3.10190171988666e-07	4.55557694189434e-05
ENSG00000126067.7	PSMB2	-0.0175914702142461	9.84393348365064e-06	0.000346197185618503
ENSG00000188786.9	MTF1	-0.0189861243181084	2.50910604653204e-07	4.03945922751924e-05
ENSG00000159479.12	MED8	-0.0213905547680204	4.10366739794519e-09	2.59776296867165e-06
ENSG00000236200.1	KDM4A-AS1	0.0199102927387363	9.18617649157659e-07	8.73781492395663e-05
ENSG00000197429.6	IPP	-0.0165187537448779	8.86502449204176e-06	0.000327452956991756
ENSG00000198841.3	KTI12	-0.0172814657421774	9.17261444563465e-06	0.000334876703082756
ENSG00000134717.13	BTF3L4	-0.0191219531334328	3.17557073653813e-07	4.59032500640685e-05
ENSG00000162377.4	SELRC1	-0.0180378810395099	3.3086856662514e-06	0.00019221788437039
ENSG00000162383.7	SLC1A7	0.0173168770644607	2.30667926191713e-06	0.000155683889302481
ENSG00000157184.5	CPT2	-0.0166666884388994	3.44192977634324e-05	0.00070758059164736
ENSG00000260971.3	RP11-504A18.1	0.0177243431574104	3.90102785773873e-06	0.000210632557095199
ENSG00000162607.8	USP1	-0.0179287743945885	1.05825481670056e-05	0.000360434915120389
ENSG00000117155.12	SSX2IP	-0.016914872270474	1.07430762300964e-05	0.000362908093556987
ENSG00000055732.8	MCOLN3	0.0170445151661936	9.3471784439681e-06	0.000336127857207381
ENSG00000267272.1	RP5-1052I5.1	0.0169606916128568	4.32704805535776e-06	0.000220655411667383
ENSG00000213516.5	RBMXL1	-0.0195288416418962	8.82254567569202e-07	8.53623267931169e-05
ENSG00000067334.9	DNTTIP2	-0.0173752053589167	8.25854712464337e-06	0.000313244644864056
ENSG00000198890.6	PRMT6	-0.0201269544193065	3.39873722554776e-07	4.79953984512352e-05
ENSG00000215717.5	TMEM167B	-0.016728482316477	4.16266492665772e-05	0.000777397789660045
ENSG00000162650.11	ATXN7L2	0.0179976640638296	7.32242968905244e-06	0.000296090670113711
ENSG00000134201.6	GSTM5	0.0170255915472195	1.1827205355447e-05	0.000382934454877066
ENSG00000184371.9	CSF1	0.0127794543090157	8.04998312320595e-06	0.000309383409889802
ENSG00000168710.13	AHCYL1	-0.0170057934754919	1.92414620790854e-05	0.000517181201827012
ENSG00000064703.7	DDX20	-0.0172416792225707	3.49596638194765e-05	0.000711518301993291
ENSG00000163393.8	SLC22A15	0.0168574776361486	3.5382343600107e-06	0.000198896317233326
ENSG00000203865.5	ATP1A1OS	0.0167613803383046	4.803518281373e-05	0.000847913352013899
ENSG00000143061.13	IGSF3	-0.0184551408389861	1.28891840956989e-06	0.00011217634502677
ENSG00000065183.11	WDR3	-0.0154917879281353	3.646663121431e-05	0.000724517766052276
ENSG00000231365.1	RP11-418J17.1	0.0181406008157202	4.89388284530542e-06	0.0002315512919436
