GeneSymbol	Age.Coef	p.value	FDR
ENSG00000120937.8	NPPB	0.0216750489893714	7.71298045320056e-07	0.000265869058811771
ENSG00000126067.7	PSMB2	-0.0205720404634504	4.20315557621551e-06	0.000776212225569736
ENSG00000116857.12	TMEM9	0.0198229794255616	8.25390479072195e-07	0.000273219821978162
ENSG00000122176.10	FMOD	0.0258728974811031	1.1447269637378e-07	7.72426532762154e-05
ENSG00000188783.5	PRELP	0.0255442923428221	1.11424100321434e-06	0.000313805104161923
ENSG00000170382.7	LRRN2	-0.0210852651205589	5.61840870170675e-06	0.000949468923341
ENSG00000143742.8	SRP9	-0.0242089729007191	5.3319031786326e-06	0.000917087346724806
ENSG00000143768.7	LEFTY2	0.0221116569201944	5.04378417757507e-06	0.00089610507107463
ENSG00000152527.9	PLEKHH2	0.0237627573887383	1.30693721743311e-06	0.000352752408348409
ENSG00000153246.7	PLA2R1	0.0196985814115617	4.48670876142397e-07	0.000187416234548624
ENSG00000123989.9	CHPF	0.0234059394960407	3.39998704305418e-06	0.000681917966374594
ENSG00000154767.10	XPC	0.0244143752885282	3.01770453096198e-08	3.11427107595276e-05
ENSG00000131389.12	SLC6A6	0.0232077844608905	9.17058402531581e-07	0.000292524956618437
ENSG00000206561.8	COLQ	0.0260979477792625	5.42047243240907e-07	0.000216129018986783
ENSG00000244681.1	MTHFD2P1	0.0278241279901173	6.40805618381535e-09	9.98395384687514e-06
ENSG00000082781.7	ITGB5	0.0275618475103833	1.80281638246266e-07	9.88405191361305e-05
ENSG00000172667.6	ZMAT3	0.0317788995317984	1.80040715870782e-11	7.89658579809249e-08
ENSG00000163898.5	LIPH	0.0301593820180207	1.08199802714419e-08	1.33721249893302e-05
ENSG00000244405.3	ETV5	0.0325670324832917	6.87093957940396e-11	1.50679704976329e-07
ENSG00000061938.12	TNK2	0.0208043767507453	2.83521095910172e-06	0.000592154060315245
ENSG00000074211.9	PPP2R2C	-0.0273961922271292	3.47332342922798e-07	0.000156246118570194
ENSG00000163995.14	ABLIM2	0.023881071906238	2.45967164857785e-06	0.000539405992533122
ENSG00000174130.8	TLR6	0.0222311609107903	3.76930452396797e-06	0.000726688775477956
ENSG00000170448.7	NFXL1	-0.0280796447831352	1.89781098165519e-07	0.000100894532915632
ENSG00000163071.6	SPATA18	0.0351604276765868	4.82262192557364e-14	2.82026930207547e-10
ENSG00000164089.4	ETNPPL	-0.02689910023843	4.20114572663596e-07	0.000182381498388937
ENSG00000260091.1	RP11-33B1.4	0.022269611331746	7.61022328142517e-07	0.000265869058811771
ENSG00000138650.7	PCDH10	0.0245938226304257	7.88029586081402e-07	0.000265869058811771
ENSG00000112977.11	DAP	0.0239614286447547	2.3140405198815e-07	0.000112770908002225
ENSG00000164176.8	EDIL3	0.0240883709350078	3.42047315554972e-06	0.000681917966374594
ENSG00000169567.7	HINT1	-0.0217013205671629	1.03300448380055e-06	0.000309178300659982
ENSG00000170734.7	POLH	0.0226184455420009	3.16926828737269e-07	0.000149011369850593
ENSG00000124813.16	RUNX2	0.0258388660205733	1.29439947433465e-06	0.000352752408348409
ENSG00000119899.11	SLC17A5	0.0221324319921606	4.67994723755005e-07	0.000190941847292042
ENSG00000118418.10	HMGN3	-0.0210939187335852	1.12461128336475e-06	0.000313805104161923
ENSG00000106009.11	BRAT1	0.017975692425148	5.80824196887339e-06	0.000961318840584102
ENSG00000105928.9	DFNA5	0.0239119241503071	1.08349921092714e-06	0.000313805104161923
ENSG00000106624.4	AEBP1	0.0285153662585381	7.20021137477083e-09	9.98395384687514e-06
ENSG00000090266.8	NDUFB2	-0.0156936363663912	1.99401014117083e-06	0.000460301498903961
ENSG00000157168.14	NRG1	0.0247040687156745	1.38413249927502e-07	8.67257877402893e-05
ENSG00000154582.12	TCEB1	-0.0197217497435731	1.56321912963214e-06	0.000403310535445091
ENSG00000107362.9	ABHD17B	-0.0208281683522107	1.79210952202752e-06	0.000435359983221563
ENSG00000127083.7	OMD	0.0191629064519241	3.02145997631375e-06	0.000623629339111159
ENSG00000106819.7	ASPN	0.0208789007710491	4.20099884371557e-06	0.000776212225569736
ENSG00000175764.10	TTLL11	0.0228954175922436	5.62840675031145e-06	0.000949468923341
ENSG00000130714.11	POMT1	0.0177233154929009	9.60391965698061e-07	0.000300877082967978
ENSG00000159069.9	FBXW5	0.0162782191899574	3.22756045048024e-07	0.000149011369850593
ENSG00000225383.2	SFTA1P	0.0305288938158591	1.14330754012742e-08	1.33721249893302e-05
ENSG00000120594.12	PLXDC2	0.0243778499944244	4.26222151957731e-07	0.000182381498388937
ENSG00000128805.10	ARHGAP22	0.024153064140736	5.10775804306105e-06	0.00089610507107463
ENSG00000138193.10	PLCE1	0.0315046539458053	5.74817257760072e-11	1.44065628144896e-07
ENSG00000107521.14	HPS1	0.0217069542720851	2.58239457628958e-06	0.000552506468858833
ENSG00000120049.14	KCNIP2	-0.0283829720174131	2.19004750129792e-08	2.40138708517317e-05
ENSG00000166033.7	HTRA1	0.026284947983744	1.10727876793596e-07	7.72426532762154e-05
ENSG00000166016.4	ABTB2	0.0227733228515403	2.70232756921626e-06	0.000571200420172651
ENSG00000175220.7	ARHGAP1	0.0249285728303159	4.19800069074306e-06	0.000776212225569736
ENSG00000134574.7	DDB2	0.0329802933429265	3.19989505460661e-11	1.12277917676037e-07
ENSG00000165915.9	SLC39A13	0.0215631309615976	6.50771047481687e-07	0.000248198418630842
ENSG00000151366.8	NDUFC2	-0.0211520799235493	1.71167225641766e-06	0.000428993972379879
ENSG00000110811.15	LEPREL2	0.0248200494609146	1.8024174854349e-06	0.000435359983221563
ENSG00000111664.6	GNB3	0.0206960989195893	5.77835827175201e-06	0.000961318840584102
ENSG00000048540.10	LMO3	0.0218894634475683	1.80283664634985e-07	9.88405191361305e-05
ENSG00000135447.12	PPP1R1A	-0.0231201521873155	6.8307077316143e-07	0.000254974332858386
ENSG00000175183.5	CSRP2	-0.0261603594242944	2.30080894626294e-07	0.000112770908002225
ENSG00000174600.9	CMKLR1	0.0253236131809051	1.03975830705306e-06	0.000309178300659982
ENSG00000158023.5	WDR66	0.0281239409990425	2.16452996302983e-07	0.000111689746092339
ENSG00000073060.11	SCARB1	0.0252480153085241	1.37218946046312e-06	0.000359308834244253
ENSG00000232977.2	LINC00327	-0.02311782661756	3.3919705547777e-06	0.000681917966374594
ENSG00000127863.11	TNFRSF19	-0.0249261923034264	2.15444425252205e-06	0.000484584230336497
ENSG00000102468.6	HTR2A	0.0258318156315385	1.22343741469641e-07	7.94962444571625e-05
ENSG00000198542.9	ITGBL1	0.032741143490494	3.85566526714987e-11	1.12739652411462e-07
ENSG00000102466.11	FGF14	0.0211577867462873	6.13147252195279e-06	0.000996023647454998
ENSG00000119681.7	LTBP2	0.0398621008082188	2.50291472975404e-15	2.19555680094025e-11
ENSG00000071246.6	VASH1	0.0233681245559226	1.98124663141496e-06	0.000460301498903961
ENSG00000133962.3	CATSPERB	-0.0227465144612885	5.07441721389033e-06	0.00089610507107463
ENSG00000137872.11	SEMA6D	-0.021705733135182	1.81151839803774e-06	0.000435359983221563
ENSG00000129038.11	LOXL1	0.0282219692599709	6.53583216394033e-08	4.98541910800735e-05
ENSG00000181026.13	AEN	0.0164725741391915	1.33652563157871e-06	0.00035527281333965
ENSG00000259910.1	RP11-616M22.2	-0.0243124266493587	5.37374633695108e-08	4.28531844252135e-05
ENSG00000140682.14	TGFB1I1	0.0240176756699096	5.98561570041645e-06	0.000981417213533703
ENSG00000102924.7	CBLN1	-0.0271131265048312	4.34586650444307e-08	3.83034876681753e-05
ENSG00000140859.11	KIFC3	0.0229890575515445	4.58489079475422e-08	3.83034876681753e-05
ENSG00000174326.7	SLC16A11	-0.0244792155761799	1.94079403847071e-06	0.000460125548796352
ENSG00000233098.4	RP11-344E13.3	0.0207091180701555	2.23778702012261e-06	0.000496958676975077
ENSG00000214708.4	AC090616.2	-0.0248956329563869	7.88000499031866e-07	0.000265869058811771
ENSG00000176658.12	MYO1D	0.0276778167623202	1.03493639859982e-07	7.56538507376471e-05
ENSG00000167925.11	GHDC	0.0216965388962533	2.10556773187316e-06	0.000479741302441335
ENSG00000175832.8	ETV4	0.0309807280697659	7.39805061612955e-09	9.98395384687514e-06
ENSG00000132003.5	ZSWIM4	0.0223925153300781	7.51400043848137e-07	0.000265869058811771
ENSG00000132024.13	CC2D1A	0.0208548647784889	2.57803850726059e-06	0.000552506468858833
ENSG00000132000.7	PODNL1	0.0281922557092339	3.32181687318369e-08	3.23766417906304e-05
ENSG00000130513.6	GDF15	0.0288781896548525	2.18975027269712e-09	3.84169787841983e-06
ENSG00000105664.6	COMP	0.031621732464236	6.42787308001553e-10	1.25300672573103e-06
ENSG00000051128.14	HOMER3	0.0242925854948528	1.44996905388771e-07	8.7718127866917e-05
ENSG00000105329.5	TGFB1	0.0238451223391529	1.01080207541335e-06	0.000309178300659982
ENSG00000087088.15	BAX	0.0194252495530525	8.71388912713206e-07	0.000283104575641491
ENSG00000100330.11	MTMR3	0.0215288448012529	3.61203078132841e-06	0.000704105200306951
ENSG00000124343.8	XG	0.027827876793077	1.76165845540473e-07	9.88405191361305e-05
ENSG00000184368.11	MAP7D2	-0.0246035320326033	1.12686511412455e-06	0.000313805104161923
