GeneSymbol	Age.Coef	p.value	FDR
ENSG00000157911.5	PEX10	-0.0225489074732201	1.88102161172269e-06	0.000286099418451409
ENSG00000171603.12	CLSTN1	0.0202541974892484	1.83231777576675e-05	0.000770166831600932
ENSG00000162441.7	LZIC	-0.0221863385889929	2.33159018621195e-06	0.000305628949423715
ENSG00000142634.8	EFHD2	0.022129315123628	1.9005409071675e-06	0.000286099418451409
ENSG00000173641.13	HSPB7	-0.0272176822825355	2.84849683945294e-09	5.08741535526296e-06
ENSG00000070831.11	CDC42	-0.0198437622963782	3.14019477750004e-07	0.000131273631287352
ENSG00000000938.8	FGR	0.0200180416123577	1.976277407538e-06	0.000286574717159466
ENSG00000126698.6	DNAJC8	-0.0205560691405134	1.77001676901161e-05	0.000759345154387519
ENSG00000116353.11	MECR	-0.0219709018947366	2.45260532562331e-07	0.000119464175769906
ENSG00000163874.8	ZC3H12A	0.0225158161122366	4.32888820964314e-07	0.0001581421570041
ENSG00000049089.9	COL9A2	0.0228435068082863	1.83957307062927e-06	0.000286099418451409
ENSG00000127125.7	PPCS	-0.0260635145608946	1.20897369434052e-07	7.64909037392078e-05
ENSG00000173846.8	PLK3	0.0222615142799058	4.80721043492489e-06	0.000449250584482458
ENSG00000070785.12	EIF2B3	-0.0202225814762323	3.2959031913587e-05	0.000977836302570708
ENSG00000086015.16	MAST2	-0.018415885662725	2.83341778203855e-05	0.000907258116105333
ENSG00000142961.10	MOB3C	0.0215016696000018	2.0322613519495e-05	0.000805273481203105
ENSG00000162367.7	TAL1	0.021652997532202	5.41870884598364e-06	0.000478741985976042
ENSG00000226252.1	RP1-18D14.7	0.023965912809003	1.86280814530211e-06	0.000286099418451409
ENSG00000116221.11	MRPL37	-0.0220074885141006	1.54532127367712e-06	0.000286099418451409
ENSG00000162613.12	FUBP1	-0.0184452240616347	2.72910206683923e-05	0.000893433536097225
ENSG00000117528.7	ABCD3	-0.0220670561956001	6.12259180647869e-06	0.000487677041250587
ENSG00000137996.8	RTCA	-0.0219918329347885	1.76442629551722e-05	0.000759345154387519
ENSG00000031698.8	SARS	-0.0169942785292396	1.21249752155239e-05	0.000658435309507874
ENSG00000143106.8	PSMA5	-0.0186284327876131	3.43838901700454e-05	0.000994393635860798
ENSG00000143028.7	SYPL2	-0.0221787029564943	7.79312543783123e-06	0.00054463781864217
ENSG00000116455.9	WDR77	-0.0241290840402374	1.62075094696974e-07	9.26207115365708e-05
ENSG00000116459.6	ATP5F1	-0.0225224615731643	4.38932472085775e-06	0.00043588045798347
ENSG00000134245.13	WNT2B	0.0234386289309436	3.18506384235829e-07	0.000131273631287352
ENSG00000155380.7	SLC16A1	-0.0241295601448888	2.40145217691432e-06	0.000311297921707426
ENSG00000143067.4	ZNF697	-0.0239062246793154	7.06643997568614e-07	0.00020283206458782
ENSG00000143127.8	ITGA10	0.0217088946678861	1.73017590531007e-06	0.000286099418451409
ENSG00000234225.2	RP4-704D21.2	-0.0208976338567713	4.15420817585022e-06	0.000421110101693241
ENSG00000131791.6	PRKAB2	-0.0270136753681485	7.57368880135133e-08	5.79711779966292e-05
ENSG00000143436.6	MRPL9	-0.0197938175319319	2.6020454977828e-05	0.000887049559802564
ENSG00000197956.5	S100A6	0.0212431522120473	4.41857609436251e-06	0.00043588045798347
ENSG00000132676.11	DAP3	-0.0235814708201026	1.2146041996685e-06	0.000250301896223993
ENSG00000163382.7	APOA1BP	-0.0161301367927153	2.88533056666556e-05	0.000920214355725837
ENSG00000143314.8	MRPL24	-0.0150296855424274	2.05803196944949e-05	0.000805273481203105
ENSG00000158864.8	NDUFS2	-0.0217074063032887	3.10174304778952e-06	0.000367352258794904
ENSG00000118217.5	ATF6	-0.0146525448072074	2.60139568431332e-05	0.000887049559802564
ENSG00000152382.5	TADA1	-0.0210424056669024	7.21216700153538e-06	0.000533373348900338
ENSG00000007933.8	FMO3	0.0284974360681662	6.28739949338178e-10	1.68439432427698e-06
ENSG00000143207.15	RFWD2	-0.0196847675289803	5.70091587623783e-06	0.000478741985976042
ENSG00000174307.5	PHLDA3	0.0223280725757755	5.83794194297593e-07	0.00018767815758279
ENSG00000159348.8	CYB5R1	-0.0205753019249984	1.77624597517548e-05	0.000759345154387519
ENSG00000122176.10	FMOD	0.0214238049214851	1.49832701972469e-05	0.000714661973740496
ENSG00000188783.5	PRELP	0.0228799452702487	1.90017470335103e-06	0.000286099418451409
ENSG00000162889.6	MAPKAPK2	-0.0165146954425406	2.62862908658703e-05	0.000887049559802564
ENSG00000066027.7	PPP2R5A	-0.021434950021373	2.30203484504812e-05	0.00084289084508664
ENSG00000067533.5	RRP15	-0.0204739526287603	2.72843222565254e-05	0.000893433536097225
ENSG00000143799.8	PARP1	-0.0237691167847214	3.3593238586605e-06	0.000380573773741723
ENSG00000116977.14	LGALS8	-0.0233514939082668	3.88030473726464e-06	0.000406036100968349
ENSG00000077522.8	ACTN2	-0.024538953277634	1.18399430287262e-06	0.000250301896223993
