GeneSymbol	Age.Coef	p.value	FDR
ENSG00000233750.3	CICP27	-0.0157658183146611	9.49113831532505e-05	0.000388309972113592
ENSG00000228794.4	RP11-206L10.11	0.0193914540593839	1.54139205655988e-06	1.36965897158618e-05
ENSG00000188290.6	HES4	0.0169240429595629	2.63432853427294e-05	0.00013439890224463
ENSG00000237330.2	RNF223	-0.0184925108253603	1.1510492994846e-05	6.83840173667654e-05
ENSG00000131591.13	C1orf159	0.0136243153743127	0.000189761380846479	0.000694890813669454
ENSG00000186891.9	TNFRSF18	0.0219494955613153	2.77097172300298e-08	6.20868763045503e-07
ENSG00000186827.6	TNFRSF4	0.0192682624239266	2.32693247668329e-06	1.89135859377669e-05
ENSG00000176022.3	B3GALT6	-0.0162371934573322	0.000118508556922861	0.000466302296067803
ENSG00000184163.3	FAM132A	0.0206899884585229	9.85143488431867e-09	2.8684710775208e-07
ENSG00000131584.14	ACAP3	0.0123685451230866	7.78844903716634e-05	0.000329336278264943
ENSG00000169972.7	PUSL1	-0.0151242577695025	0.000105653176163373	0.000424350064179301
ENSG00000162576.12	MXRA8	0.0169120443850782	4.37911110383061e-06	3.13780091561606e-05
ENSG00000215915.5	ATAD3C	-0.020548850144075	9.02843559556464e-07	9.07021241837188e-06
ENSG00000205090.4	TMEM240	0.0150552537211493	1.079295581797e-05	6.49617264067361e-05
ENSG00000228594.1	C1orf233	-0.021966227122635	1.76701361247047e-07	2.54209832221015e-06
ENSG00000197530.8	MIB2	0.0168488528702033	1.31884437413959e-06	1.20703602204626e-05
ENSG00000189409.8	MMP23B	0.0183547935036976	9.35380927231304e-07	9.30144698122121e-06
ENSG00000269737.1	RP11-345P4.7	0.0173075491275094	3.60939158981279e-05	0.00017478937215599
ENSG00000269227.1	RP11-345P4.6	0.016532214550361	9.94152408905986e-05	0.000402856451058129
ENSG00000187730.6	GABRD	0.0188014993035101	3.79881624800185e-06	2.81063764849991e-05
ENSG00000067606.11	PRKCZ	-0.0163932976290365	1.14556803916167e-06	1.08399028984111e-05
ENSG00000157933.9	SKI	0.0175060558464381	1.24275638937908e-05	7.27703321800038e-05
ENSG00000178642.5	AL513477.1	-0.0143972690488693	0.000284348789662801	0.000981136385310107
ENSG00000157911.5	PEX10	-0.0157906960688606	0.000246351800695627	0.000868924164312766
ENSG00000149527.13	PLCH2	0.0170579188710166	1.36263683289286e-07	2.08340561148095e-06
ENSG00000157881.9	PANK4	0.0169009441228353	8.80638768590553e-06	5.54728611807202e-05
ENSG00000130762.10	ARHGEF16	-0.0136231923915655	0.000255167212836506	0.000895629124991077
ENSG00000235169.3	SMIM1	-0.0190706800834205	1.73304767449e-06	1.49905938731893e-05
ENSG00000130764.5	LRRC47	-0.0196736020659811	3.62721667720705e-06	2.70518373559641e-05
ENSG00000198912.6	C1orf174	-0.0187001975655203	3.71309698718575e-06	2.75975333319169e-05
ENSG00000158292.6	GPR153	0.0156000635905294	0.000155567181558867	0.000587965711346278
ENSG00000215788.5	TNFRSF25	0.0169242018923013	3.13124295963673e-08	6.79827638125574e-07
ENSG00000162408.10	NOL9	-0.0171241131170754	3.41802500306809e-05	0.000167137659058935
ENSG00000007923.11	DNAJC11	-0.0207683651792753	9.14349332093674e-07	9.15755302363424e-06
ENSG00000142599.13	RERE	0.0129403732976856	1.50807872191478e-05	8.53893312843085e-05
ENSG00000074800.9	ENO1	-0.0126544673697714	4.65090551167306e-06	3.29151371597579e-05
ENSG00000171621.9	SPSB1	0.0201877811806008	3.04375114782319e-09	1.27355240746178e-07
ENSG00000171612.6	SLC25A33	-0.0167394849891442	6.66719564986286e-06	4.41916563766351e-05
ENSG00000188807.8	TMEM201	-0.0205702917634093	1.42707682684915e-07	2.15593356333957e-06
ENSG00000178585.10	CTNNBIP1	-0.0125962157474739	2.231213289817e-05	0.000117568689971857
ENSG00000162441.7	LZIC	-0.0159114331680228	1.13068516614396e-06	1.07459086315433e-05
ENSG00000173614.9	NMNAT1	-0.0174080239583623	2.34969354671031e-06	1.90668654081061e-05
ENSG00000175279.17	APITD1	-0.0166848410300676	1.32138728965675e-05	7.64128666466199e-05
ENSG00000175262.10	C1orf127	-0.0209321811175762	1.13883295866258e-07	1.8195254302753e-06
ENSG00000120942.9	UBIAD1	-0.0188368167964844	4.32132998758148e-06	3.10779491929857e-05
ENSG00000132879.9	FBXO44	0.0178812878848257	1.81165737348531e-08	4.49806671892032e-07
ENSG00000116670.10	MAD2L2	0.0153151091705069	1.50604005523621e-07	2.24813007481402e-06
ENSG00000116688.12	MFN2	-0.0144547260994791	3.99442749727578e-06	2.92655092976261e-05
ENSG00000048707.9	VPS13D	0.0171318304220628	2.7017757787658e-08	6.08912326609963e-07
ENSG00000235084.2	CHCHD2P6	-0.0159540851644698	0.000184835612537923	0.000679766328770467
ENSG00000197312.7	DDI2	0.0166518979482694	5.35125234346078e-05	0.000240652406884289
ENSG00000116786.7	PLEKHM2	0.0140359696574742	1.59516560965565e-06	1.40340099111533e-05
ENSG00000162458.8	FBLIM1	0.0244855112764585	3.66423442841636e-11	5.91341806552718e-09
ENSG00000065526.6	SPEN	0.0197926974108764	1.57460594467621e-07	2.33797873548428e-06
ENSG00000116809.7	ZBTB17	0.0193221216595772	3.54892458314028e-07	4.36962736953755e-06
ENSG00000142632.12	ARHGEF19	-0.0180692764855863	5.55026320025422e-06	3.80000500816284e-05
ENSG00000132881.7	RSG1	-0.0154722182275659	9.25804067109305e-05	0.000380366094855253
ENSG00000037637.6	FBXO42	0.0130419268557627	0.000270739789259336	0.000941507298225604
ENSG00000228549.2	U1	-0.0208377672962139	1.61788730655878e-07	2.3805359917288e-06
ENSG00000117122.9	MFAP2	0.0173842091701992	6.42146656766549e-06	4.28829312140067e-05
ENSG00000117118.5	SDHB	-0.0163205138927507	7.28409302899404e-06	4.75705808110105e-05
ENSG00000074964.12	ARHGEF10L	0.013863461098662	0.000263544682478862	0.000919911235376376
ENSG00000117154.7	IGSF21	0.0188247965625195	4.91270267262843e-06	3.44806789594682e-05
ENSG00000179023.7	KLHDC7A	-0.0215005484990534	3.8674398390647e-08	8.01376187225072e-07
ENSG00000159423.12	ALDH4A1	-0.0196885257584129	3.46472381010255e-06	2.60889029862828e-05
ENSG00000272084.1	RP5-1126H10.2	0.0234971703548755	1.28774308264156e-08	3.48029043358452e-07
ENSG00000127481.10	UBR4	0.0215893877351942	6.69139032281154e-09	2.19747507407962e-07
ENSG00000053371.8	AKR7A2	-0.0159714273552259	3.87562923568941e-05	0.000184661778262305
ENSG00000040487.8	PQLC2	-0.022335166431974	5.52884500302657e-08	1.05289416201341e-06
ENSG00000158747.9	NBL1	0.0269267630776931	1.09562654302205e-11	2.64302995687048e-09
ENSG00000162545.5	CAMK2N1	0.0144141389105581	0.000146483005903268	0.000558275392110367
ENSG00000090432.5	MUL1	-0.0218318756574571	1.6610114328727e-07	2.42210174614421e-06
ENSG00000231105.1	RP5-1071N3.1	0.0218854754731241	3.857559576753e-07	4.63571427612261e-06
ENSG00000162551.9	ALPL	-0.0140412656539693	8.11695773318089e-05	0.000341183782269596
ENSG00000076864.15	RAP1GAP	-0.0156799482034472	1.46926593715278e-06	1.31815686005351e-05
ENSG00000162552.10	WNT4	-0.0145218701072682	6.44458456082348e-05	0.000280711507620354
ENSG00000249087.3	C1orf213	0.014403233983641	0.000122213291018507	0.000478087628929256
ENSG00000204219.5	TCEA3	-0.0209151926238468	2.38734939485319e-08	5.47783039642664e-07
ENSG00000007968.6	E2F2	-0.0151547474236274	3.03875405263345e-05	0.000151318180908404
ENSG00000057757.5	PITHD1	-0.0182266727380632	9.65603301160238e-07	9.53887184260417e-06
ENSG00000011009.6	LYPLA2	-0.0120354701422895	7.26364736079971e-05	0.000310848755407688
ENSG00000117308.10	GALE	-0.0232988991238815	1.71783856451069e-11	3.61057032575801e-09
ENSG00000117305.10	HMGCL	-0.0220589161955072	1.37879534295502e-07	2.09989563533446e-06
ENSG00000189266.7	PNRC2	0.018429644103023	7.87377048513938e-06	5.05930533639011e-05
ENSG00000184454.6	NCMAP	-0.0212399742026051	7.87486644150692e-09	2.45414498033565e-07
ENSG00000169504.10	CLIC4	0.0213488461871892	1.03216486297672e-10	1.2223334195494e-08
ENSG00000233478.1	RP1-187B23.1	0.0202631563129005	1.26367964213574e-06	1.17341031324362e-05
ENSG00000127423.6	AUNIP	-0.0223184805442168	7.06354468529978e-08	1.25474239227961e-06
ENSG00000117632.16	STMN1	-0.0159677522004369	0.00014072204934788	0.000539899635628821
ENSG00000158006.9	PAFAH2	-0.0258548145509731	5.02232909548794e-11	7.26935633524699e-09
ENSG00000175087.5	PDIK1L	-0.0250001926945817	6.24548442516472e-10	4.2851819473973e-08
ENSG00000142675.13	CNKSR1	-0.0171698861700304	9.57641043473496e-07	9.47545285909414e-06
ENSG00000236155.2	RP11-231P20.2	-0.0128973582134302	0.000234104069590416	0.000832919431863935
ENSG00000130695.9	CEP85	-0.0210554376807145	1.61285751012381e-07	2.37671461144941e-06
ENSG00000117682.12	DHDDS	-0.0207774695406081	6.11422094445033e-07	6.71567606827203e-06
