GeneSymbol	Age.Coef	p.value	FDR
ENSG00000020633.14	RUNX3	0.0432260428330391	3.3533978101351e-08	0.000136177745270802
ENSG00000117174.6	ZNHIT6	0.0392508529136297	7.27488984322872e-08	0.000156175718512247
ENSG00000198715.7	C1orf85	-0.0355478948788098	1.28342412421172e-06	0.000759744647284181
ENSG00000120332.11	TNN	0.045612032299109	5.68778761089635e-09	0.000109893744430128
ENSG00000138101.14	DTNB	-0.0229513755026386	1.07625985649229e-06	0.000759744647284181
ENSG00000115042.5	FAHD2A	-0.0282375918306734	1.82461388245485e-08	0.000128726682066003
ENSG00000132321.12	IQCA1	0.0395541000446233	1.65932746396977e-07	0.0003205986593136
ENSG00000169379.11	ARL13B	0.0399573554786174	4.36969016668555e-08	0.000136177745270802
ENSG00000114115.5	RBP1	0.0411470646420271	6.14265042480756e-07	0.000624642888724773
ENSG00000138271.4	GPR87	0.0283153250654387	1.15792906586062e-06	0.000759744647284181
ENSG00000145284.7	SCD5	0.0368803911673681	1.25562623258076e-06	0.000759744647284181
ENSG00000164099.3	PRSS12	0.0421524138640799	5.09393042046674e-07	0.000585896659631541
ENSG00000164626.8	KCNK5	0.0411664073685764	1.19542171748881e-06	0.000759744647284181
ENSG00000198719.7	DLL1	0.0387949891670353	7.80793325630754e-07	0.000685713992932354
ENSG00000271133.1	CTA-293F17.1	-0.0317427761814125	7.37828699473923e-07	0.000678837538215984
ENSG00000106714.13	CNTNAP3	0.0421232462828938	5.27228881462177e-08	0.000136177745270802
ENSG00000188959.9	C9orf152	-0.023106139236753	1.78310053472984e-06	0.000861282135787882
ENSG00000234771.2	RP11-395P17.3	0.0398365706476609	1.99875806737751e-08	0.000128726682066003
ENSG00000172671.15	ZFAND4	0.0434959432099424	3.79550499196637e-08	0.000136177745270802
ENSG00000107438.4	PDLIM1	0.0350702338492569	9.6008714040735e-07	0.000746082568941527
ENSG00000133328.3	HRASLS2	0.0420668887831633	1.4220775449412e-06	0.000763221117939134
ENSG00000174080.6	CTSF	-0.0230574090669203	1.1704181032043e-06	0.000759744647284181
ENSG00000134533.2	RERG	0.0421986230929091	3.20365301335287e-07	0.00047613676823839
ENSG00000065361.10	ERBB3	-0.0347904558465677	6.68094501969548e-07	0.000645412693627682
ENSG00000111412.4	C12orf49	-0.0222343539536449	1.55292616893036e-06	0.000789581223944826
ENSG00000100918.8	REC8	0.0349495731540224	2.57458234718172e-07	0.000414529212749149
ENSG00000166813.10	KIF7	0.0394326615585777	1.67661049213476e-06	0.000830610033808606
ENSG00000267350.2	RP1-178F10.3	-0.0279571195150485	1.29763331920594e-06	0.000759744647284181
ENSG00000263470.1	RP11-160O5.1	-0.0327776095468695	1.39310727041238e-06	0.000763221117939134
ENSG00000075643.5	MOCOS	0.0371988694755471	5.61522589936529e-07	0.000602732108897982
ENSG00000141622.9	RNF165	0.0414631073214469	2.02457658903129e-06	0.000931353435158892
ENSG00000105717.9	PBX4	0.0448439745191875	5.63853818211488e-08	0.000136177745270802
ENSG00000269190.1	FBXO17	0.0410072928998432	1.41482901210216e-06	0.000763221117939134
ENSG00000171867.12	PRNP	0.0328024626638455	1.00399289852905e-06	0.000746082568941527
ENSG00000185272.9	RBM11	0.0441207734191699	2.05438103959896e-07	0.000360842691509923
ENSG00000100284.16	TOM1	-0.0300252223400917	5.15513856101454e-07	0.000585896659631541
ENSG00000184083.7	FAM120C	0.0345960667669089	9.18101915982968e-07	0.000746082568941527
ENSG00000078596.6	ITM2A	0.0327816986029694	4.87338819454914e-07	0.000585896659631541
ENSG00000068366.15	ACSL4	0.0379826013952709	4.98200452903129e-07	0.000585896659631541
