GeneSymbol	Age.Coef	p.value	FDR
ENSG00000187961.9	KLHL17	-0.0239655359066579	7.55325477810479e-06	0.000209390001667399
ENSG00000272512.1	RP11-54O7.17	-0.0254702270525973	1.03902391868603e-05	0.000266402367491442
ENSG00000188290.6	HES4	-0.0254252874245166	2.0141368285995e-07	1.40014695521726e-05
ENSG00000187608.5	ISG15	-0.0301304281761416	4.80138527158928e-07	2.67511785263709e-05
ENSG00000186827.6	TNFRSF4	-0.0357996673773292	1.78824909265055e-09	3.99705229544328e-07
ENSG00000235169.3	SMIM1	0.039078809175369	3.04199489481344e-10	9.79573915365433e-08
ENSG00000116254.13	CHD5	-0.0272054580980419	1.56605645518897e-05	0.000356329420265092
ENSG00000116288.8	PARK7	0.0259058119176704	2.30766366228397e-05	0.000473469783150467
ENSG00000130940.10	CASZ1	-0.0345091280298689	2.14973899083884e-09	4.64123762351672e-07
ENSG00000272078.1	RP4-734G22.3	-0.0251017955836531	5.58140914589556e-06	0.00016543087732117
ENSG00000009724.12	MASP2	-0.0242683297532402	8.67148492340783e-08	7.52281013971805e-06
ENSG00000028137.12	TNFRSF1B	-0.0304776121153583	1.26078399895871e-06	5.32303004360368e-05
ENSG00000162458.8	FBLIM1	-0.0269129544997689	2.75156946653637e-05	0.000534530350661805
ENSG00000186510.7	CLCNKA	0.0259210552905896	8.28374958989238e-06	0.000224260739787938
ENSG00000004487.11	KDM1A	-0.0259107535134317	9.01743419364442e-06	0.000238544933028056
ENSG00000001460.13	STPG1	0.0251910582875541	5.9439300819182e-05	0.000930987037315449
ENSG00000001461.12	NIPAL3	0.0235740980118154	1.37782100320846e-06	5.75323543735329e-05
ENSG00000197245.4	FAM110D	-0.0297282914279162	2.76670057113665e-06	9.59207010055205e-05
ENSG00000142748.8	FCN3	-0.0339631502626434	1.37590030415095e-07	1.06143558989272e-05
ENSG00000126709.10	IFI6	-0.0241492837935817	3.80033576047336e-05	0.000675421694230435
ENSG00000198492.10	YTHDF2	-0.0262035683253044	2.05950844316581e-06	7.70248049443056e-05
ENSG00000060656.15	PTPRU	0.021563557204627	1.27930551715031e-05	0.000308054822817982
ENSG00000220785.3	MTMR9LP	0.0324196042464203	1.30462983412149e-07	1.03709883759306e-05
ENSG00000160097.11	FNDC5	0.0275832225439858	2.70373273625457e-06	9.46007702690618e-05
ENSG00000229994.1	RPL5P4	0.0260001256000841	2.53811731104789e-05	0.00050546845694548
ENSG00000163875.11	MEAF6	0.0228981484472387	5.86498967226967e-05	0.000921662024677019
ENSG00000169218.9	RSPO1	0.0318316162644664	4.84568542311672e-07	2.68405764879867e-05
ENSG00000168389.13	MFSD2A	-0.0293910380856158	2.77962249274188e-06	9.61931652816084e-05
ENSG00000066056.9	TIE1	-0.0326978057421857	4.07573857046626e-10	1.19130703231213e-07
ENSG00000142937.7	RPS8	0.0276632206995741	8.84527817471461e-06	0.000235807466426576
ENSG00000117461.10	PIK3R3	-0.0272380261405217	5.91278679207474e-05	0.00092687323649033
ENSG00000162367.7	TAL1	-0.0271705008947305	1.62891828047843e-06	6.42070921386093e-05
ENSG00000266993.1	RP4-657D16.3	-0.0293820137963849	4.10825812311251e-06	0.000131623602160227
ENSG00000198841.3	KTI12	-0.0212773738893354	4.36641364954882e-06	0.000137752244039757
ENSG00000157184.5	CPT2	-0.0211802418023547	2.74891474606139e-05	0.000534530350661805
ENSG00000198711.4	SSBP3-AS1	-0.0247564477038807	7.84267765941945e-06	0.000215946424422189
ENSG00000237352.2	RP11-145M4.3	0.0287558382229239	9.24169917994286e-06	0.000242853447745138
ENSG00000254685.2	FPGT	0.021851692302599	6.13804002067601e-05	0.000955091092160716
ENSG00000116791.9	CRYZ	0.0219787253547246	5.50070116754709e-05	0.000876008562298635
ENSG00000162623.11	TYW3	0.0275894168986077	1.47831868142806e-06	6.04012400611863e-05
ENSG00000137965.6	IFI44	-0.0234614876500755	1.00065186853282e-05	0.000259185719953744
ENSG00000162618.8	ELTD1	-0.0255978988882301	7.83198012071238e-06	0.000215946424422189
ENSG00000171517.5	LPAR3	0.0306251737004499	4.37288269825986e-08	4.4983718636247e-06
ENSG00000055732.8	MCOLN3	0.0387109052526831	2.31721019500955e-10	8.46628394134354e-08
