GeneSymbol	Age.Coef	p.value	FDR
ENSG00000196878.8	LAMB3	-0.0266150182798191	8.12430634728431e-07	0.000646325498591682
ENSG00000144504.11	ANKMY1	0.0242411980410154	1.23723647559598e-06	0.000866164511835236
ENSG00000172667.6	ZMAT3	0.025951896568829	7.02831343602061e-07	0.000585759722653489
ENSG00000178163.3	ZNF518B	-0.0378034822855744	1.12959810041982e-12	9.88511297677385e-09
ENSG00000163071.6	SPATA18	0.0397232225586075	7.061114380718e-14	1.23583623891326e-09
ENSG00000196963.2	PCDHB16	0.0257777315472682	3.94285204487637e-07	0.000405928214643683
ENSG00000054598.5	FOXC1	0.0272776828954776	2.68279735675163e-07	0.00031302879558578
ENSG00000228223.1	HCG11	-0.0311006121915886	1.48932293091371e-10	6.51653248421293e-07
ENSG00000237643.1	RP11-462G2.1	0.0238705680756824	1.3636625047819e-06	0.000917954659949725
ENSG00000104267.5	CA2	0.0244207625120582	2.94766129700153e-07	0.000322437300125755
ENSG00000231632.1	RP11-82L18.4	0.0314063828173448	1.37866214025231e-08	2.19357679806326e-05
ENSG00000148082.5	SHC3	0.0291552826348187	4.7969744610807e-08	6.99638725148621e-05
ENSG00000224945.1	RP11-82L18.2	0.030049254666128	4.29939559863069e-09	8.52387016914773e-06
ENSG00000204176.9	SYT15	-0.0278656203543603	6.37554466532563e-07	0.000557923913662646
ENSG00000132274.11	TRIM22	0.029274014507263	8.46468927410427e-10	2.96297983350746e-06
ENSG00000259799.1	RP11-554A11.9	0.0268524314379693	5.03137915316758e-07	0.000463469462835469
ENSG00000066735.10	KIF26A	-0.0258275974736315	1.13531431377257e-06	0.000827927963318649
ENSG00000104140.6	RHOV	-0.0256331777429795	1.05631651159699e-06	0.000803810938520454
ENSG00000103855.13	CD276	-0.0268149053156379	4.83408240692896e-07	0.000463469462835469
ENSG00000103449.7	SALL1	0.0300184534434365	2.4748919112333e-09	6.18793689005789e-06
ENSG00000140835.8	CHST4	0.0315035683858719	4.38320372085073e-09	8.52387016914773e-06
ENSG00000088882.7	CPXM1	-0.0290426997451772	7.77447601488536e-08	0.000104668368625018
ENSG00000159212.8	CLIC6	-0.0282646523404045	1.63794090818564e-07	0.000204766012679036
ENSG00000206195.6	AP000525.9	0.0315869218712602	5.69910484403205e-09	9.9745732980249e-06
ENSG00000131080.10	EDA2R	0.0353909603631189	8.72782505605441e-11	5.09181313770214e-07
ENSG00000185010.9	F8	0.0307185903832548	1.80315895227597e-09	5.259814663789e-06
