GeneSymbol	Age.Coef	p.value	FDR
ENSG00000186827.6	TNFRSF4	0.0296853309803448	2.0552257071043e-06	0.000271738948624751
ENSG00000067606.11	PRKCZ	-0.0226502774052894	1.5209698682831e-06	0.000231802774200551
ENSG00000185436.7	IFNLR1	-0.0215079672097356	8.33786047438486e-07	0.000173401442053223
ENSG00000220785.3	MTMR9LP	0.0341027297125191	1.95239777521457e-07	8.29353650684231e-05
ENSG00000121900.14	TMEM54	-0.0221720221498248	2.54449449532291e-07	9.40756159242997e-05
ENSG00000142920.12	ADC	0.0273994338699697	1.28836893228242e-05	0.000716498209833382
ENSG00000233621.1	RP11-422J8.1	-0.0212049406496428	1.46314575113563e-05	0.00077279642649267
ENSG00000163879.9	DNALI1	-0.0250303074974681	6.02890009177676e-06	0.000483401567599691
ENSG00000117385.11	LEPRE1	0.0245961704669488	6.07714492869027e-06	0.000485320794005205
ENSG00000142949.12	PTPRF	-0.0246318130901559	1.72146230120378e-06	0.000250868575500245
ENSG00000117408.6	IPO13	-0.0241271546626652	8.62349092666589e-06	0.000577744954197599
ENSG00000117425.9	PTCH2	0.0281447800904131	2.19990933432842e-05	0.000967427089424379
ENSG00000174348.9	PODN	0.0277231681584713	8.02502618318006e-06	0.000558255642118148
ENSG00000162383.7	SLC1A7	0.032995124865333	5.55733744645417e-07	0.000138690302648072
ENSG00000235563.1	RP11-334A14.8	0.0328406028628522	8.10303804391898e-07	0.000172436451019251
ENSG00000162639.11	HENMT1	-0.0330838166728575	3.05106119205189e-07	0.000106867432805817
ENSG00000168679.13	SLC16A4	0.0222013771396414	3.31677063479094e-06	0.000336565253470009
ENSG00000143067.4	ZNF697	-0.0250192513940782	1.81207166363464e-05	0.000884547940451482
ENSG00000143437.16	ARNT	0.0259930577475779	3.50026903051837e-08	3.00882821057759e-05
ENSG00000163141.14	BNIPL	-0.0205321162571984	8.54169124351899e-06	0.000577392220997321
ENSG00000160712.8	IL6R	-0.0292922973901958	1.17091378194714e-05	0.000675017368822697
ENSG00000196189.8	SEMA4A	-0.0170562099250906	1.35178540081232e-05	0.00073738785593492
ENSG00000163564.10	PYHIN1	0.0287205636706253	2.24165420033561e-05	0.000972926654558706
ENSG00000181036.9	FCRL6	0.037068606868001	3.58191958756642e-08	3.00882821057759e-05
ENSG00000239887.3	C1orf226	-0.0297754308742281	2.34027015151523e-06	0.000286803542869758
ENSG00000143178.8	TBX19	0.0370948675396726	1.0124804570951e-08	2.02141723259036e-05
ENSG00000117593.8	DARS2	-0.0345581092384733	2.01950675084044e-08	2.68796348536863e-05
ENSG00000143344.11	RGL1	0.0224649860476947	1.38130085744259e-05	0.000742131011393832
ENSG00000127074.10	RGS13	0.0302341781135963	4.43844653606483e-06	0.000397370336737822
ENSG00000162687.12	KCNT2	0.0297881760357839	9.86215873607508e-07	0.000184016821650223
ENSG00000163486.8	SRGAP2	0.0283659024558684	4.0119674814729e-06	0.000381423479845745
ENSG00000143772.5	ITPKB	-0.0287038113201846	1.94333623687647e-05	0.000906511868440159
ENSG00000212916.3	MAP10	-0.0280239115979445	2.81233716414207e-06	0.000319024497057366
ENSG00000223519.3	RP11-439E19.8	-0.0221694574610982	1.47444800136519e-05	0.000776711196497521
ENSG00000134321.7	RSAD2	0.0325732134220455	7.5481191874359e-07	0.00016766026022674
ENSG00000084676.11	NCOA1	0.0217237167908724	2.28345917615789e-06	0.000286803542869758
ENSG00000152527.9	PLEKHH2	0.0311705261929082	3.38753079022829e-07	0.000112720087044846
ENSG00000115310.13	RTN4	-0.0239587100370043	9.15000291099941e-10	7.59360240370524e-06
ENSG00000014641.13	MDH1	-0.028372240117867	3.56142686729499e-07	0.000116563749845155
ENSG00000119865.4	CNRIP1	0.021469302482833	4.92670395358334e-06	0.000428072961398465
ENSG00000042445.9	RETSAT	-0.028212732855925	1.51562536425493e-05	0.000783383479290619
ENSG00000115598.5	IL1RL2	-0.029699415058311	4.31188166044418e-07	0.000121248897677138
ENSG00000115616.2	SLC9A2	-0.0257140407529352	1.68587290830344e-06	0.000247488622163811
ENSG00000213225.6	AC018804.7	-0.0344459408312772	7.9200663676341e-08	4.79164015241863e-05
ENSG00000138395.10	CDK15	0.0322205815578335	1.41719917337633e-06	0.000221049855441081
ENSG00000179921.10	GPBAR1	0.0285302254719705	1.18612053347709e-05	0.000676876886843867
ENSG00000163501.6	IHH	-0.0268898751260758	7.5579381018816e-07	0.00016766026022674
ENSG00000123983.9	ACSL3	-0.0326885407337486	1.3150375265269e-06	0.000215202657517291
ENSG00000168918.9	INPP5D	0.0347584973114481	1.52969355069149e-07	6.94098448626264e-05
ENSG00000224287.2	MSL3P1	-0.027899881673251	2.92927787572736e-07	0.00010443398712303
ENSG00000255735.1	AC110619.1	-0.0177990628737424	1.86838563234891e-05	0.000895783882056625
ENSG00000130294.10	KIF1A	-0.023437049261385	1.88534689281845e-05	0.000895783882056625
