GeneSymbol	Age.Coef	p.value	FDR
ENSG00000162576.12	MXRA8	0.0153966872563415	1.11990417648673e-06	0.000102717537899939
ENSG00000162413.12	KLHL21	-0.0194067046544318	1.45317747327199e-07	2.25488610993761e-05
ENSG00000049239.8	H6PD	-0.0159063354040238	1.98773637798571e-05	0.000720264324836591
ENSG00000130939.14	UBE4B	-0.0180756566236812	7.34846062559031e-07	7.66422481745049e-05
ENSG00000054523.12	KIF1B	-0.0182938469550089	4.0714348162542e-07	4.74778650300286e-05
ENSG00000142657.16	PGD	-0.015608520367348	3.95847473153433e-06	0.000243338697474288
ENSG00000116688.12	MFN2	-0.0154750411670513	3.14103583090013e-05	0.000958294894771211
ENSG00000048707.9	VPS13D	-0.0186685223093695	3.93219895091462e-08	8.69648735799404e-06
ENSG00000117122.9	MFAP2	0.0132820697565938	2.49952629133971e-05	0.000832065490859296
ENSG00000159363.13	ATP13A2	-0.0154031878387973	7.53410880674488e-06	0.000377680550061491
ENSG00000169641.9	LUZP1	-0.0185389663031425	5.22027944772894e-07	5.77260901458348e-05
ENSG00000001461.12	NIPAL3	-0.0160715736390098	1.60928803971822e-05	0.000618050123197969
ENSG00000142784.11	WDTC1	-0.0182934657730926	7.72514318877078e-07	7.86452275635654e-05
ENSG00000158195.6	WASF2	-0.0201455506755959	6.13492088693555e-08	1.15285446604391e-05
ENSG00000235790.3	RP11-73M7.6	0.0162600015719865	6.15334475089738e-06	0.00032706217224314
ENSG00000162522.6	KIAA1522	-0.0163838745283375	1.36622485248069e-06	0.000114293619072091
ENSG00000116560.6	SFPQ	0.0117831296286631	7.98237385287046e-06	0.000390361015875125
ENSG00000188786.9	MTF1	-0.016470662907051	5.30511403667243e-06	0.00029759679061112
ENSG00000142949.12	PTPRF	-0.0175614578991173	4.21372209478086e-07	4.88411004973967e-05
ENSG00000162373.8	BEND5	0.0153118201365914	1.91994735170307e-05	0.00070634238994491
ENSG00000137965.6	IFI44	0.0167251418336879	8.03855665662935e-06	0.000391569287671406
ENSG00000235501.1	RP4-639F20.1	0.0153658285939608	5.83117006295652e-06	0.000316049417412243
ENSG00000143126.7	CELSR2	-0.0197928005083615	4.23640564181791e-08	9.26280465388846e-06
ENSG00000134243.7	SORT1	-0.0191937915007715	2.95655889116215e-07	3.71811435456542e-05
ENSG00000174151.10	CYB561D1	-0.0191089573623576	4.44550025257334e-07	5.09142085474784e-05
ENSG00000258634.2	RP4-773N10.4	-0.0204532781132401	4.95704454929298e-08	1.01963049839223e-05
ENSG00000197106.6	SLC6A17	-0.0175265898482717	3.78145363608558e-06	0.000238553932498107
ENSG00000173947.9	PIFO	0.0182173882772798	1.41141635692831e-06	0.000117563039496353
ENSG00000134250.13	NOTCH2	-0.0200360382098573	1.7905469721879e-08	5.54901385975543e-06
ENSG00000121851.8	POLR3GL	0.0155499286938884	6.7158669055778e-06	0.000349243230081682
ENSG00000131791.6	PRKAB2	-0.0155471946262897	6.42317610415797e-06	0.000338345434094721
ENSG00000143387.8	CTSK	0.0157149454068112	4.46298879161973e-06	0.000261805997986449
ENSG00000143409.11	FAM63A	-0.0178957168727212	1.24030066944959e-06	0.000109704074741994
ENSG00000197622.8	CDC42SE1	-0.0177991822261239	1.54245156465447e-06	0.00012491740730242
ENSG00000197956.5	S100A6	0.011162340367725	3.08353216308943e-05	0.000947767449680572
ENSG00000143537.9	ADAM15	-0.016092181809068	7.47935379447133e-06	0.000376728393611055
ENSG00000177628.11	GBA	-0.0146979107649059	2.61755035389302e-05	0.000859458811591392
ENSG00000132692.14	BCAN	-0.0166911211845452	3.38463776549645e-06	0.000217079384153058
ENSG00000163564.10	PYHIN1	0.026878440989368	2.78170349372162e-13	1.1652549230332e-09
ENSG00000181036.9	FCRL6	0.0146234278948707	1.36994643292762e-05	0.000563229472563254
ENSG00000213064.5	SFT2D2	-0.0172537991159978	2.78331076382439e-06	0.000191263151452661
ENSG00000007933.8	FMO3	0.0206293264794517	1.9477911351107e-08	5.59364913890523e-06
ENSG00000116698.16	SMG7	-0.0158071135273516	1.44668135442701e-05	0.000582334643107325
ENSG00000133059.12	DSTYK	-0.020766426711885	5.53697026267264e-09	2.3674854405352e-06
ENSG00000117707.11	PROX1	0.0184524266314764	7.45612823198769e-07	7.66422481745049e-05
ENSG00000152104.7	PTPN14	-0.0175219898417547	5.7564518745249e-07	6.25762093320529e-05
ENSG00000143786.3	CNIH3	0.0162914282646186	2.8188333275241e-06	0.000191650784646258
ENSG00000198835.3	GJC2	0.0162204141165978	2.47212146437264e-06	0.000175762722569641
ENSG00000135749.14	PCNXL2	0.0144317655548251	3.12740293300408e-05	0.000958294894771211
ENSG00000162722.8	TRIM58	0.023092088485404	6.09202013257839e-10	4.34135405077558e-07
ENSG00000238243.2	OR2W3	0.0260821775592016	8.20815195963659e-13	2.25618645507668e-09
ENSG00000261104.1	RP11-734K21.5	-0.0156080227168675	2.30629803917769e-05	0.000789593315205173
ENSG00000119185.8	ITGB1BP1	0.0178482772344278	7.44997234920536e-07	7.66422481745049e-05
ENSG00000205795.4	CYS1	0.0147996888090219	2.30609705688652e-05	0.000789593315205173
ENSG00000196208.9	GREB1	-0.015846004287656	2.21712359231579e-05	0.000774222777490891
ENSG00000151779.8	NBAS	-0.0154270907717701	2.41630054729247e-05	0.000812797881651302
ENSG00000158089.10	GALNT14	0.0197296962785085	1.46541327741301e-07	2.2556813496563e-05
ENSG00000115760.9	BIRC6	-0.0171342297955492	8.92079577127213e-08	1.47706590706287e-05
ENSG00000152689.13	RASGRP3	0.0176921127498378	2.93354478570132e-06	0.000198050299023436
ENSG00000230587.1	AC093609.1	0.0209365619991124	2.33937226858017e-08	6.25164747496542e-06
ENSG00000240401.4	AC012358.8	0.0157869252217895	8.62389164665018e-06	0.000409481686458098
ENSG00000055813.5	CCDC85A	0.0163570670611826	1.01985818954323e-05	0.000461719798235325
ENSG00000115464.10	USP34	-0.0138394412536812	1.38416552755135e-05	0.000567862023787113
ENSG00000235725.1	AC007389.3	0.0221228739972943	2.90068778824734e-10	2.59489494287706e-07
ENSG00000124380.6	SNRNP27	0.0159410197708493	8.80929553387415e-06	0.000414424585250055
ENSG00000124374.8	PAIP2B	-0.0160621263852986	2.61111957620423e-06	0.000181373833089334
ENSG00000168899.4	VAMP5	0.0131719761579367	6.17140533249431e-08	1.15285446604391e-05
ENSG00000153561.8	RMND5A	-0.0167946786539705	8.36497414994306e-07	8.29641585665229e-05
ENSG00000153563.11	CD8A	0.0191415976298689	3.03169445714709e-07	3.73471528474704e-05
ENSG00000222041.6	LINC00152	0.0158534715981747	2.06940153813189e-06	0.000151993933469763
ENSG00000115073.6	ACTR1B	-0.0172398473518329	2.06966428819074e-06	0.000151993933469763
ENSG00000223947.1	AC016738.4	-0.0180513924112854	1.79662783246603e-06	0.000138706261453356
ENSG00000196460.8	RFX8	0.0189018339800013	8.6942017359808e-08	1.47706590706287e-05
ENSG00000152127.4	MGAT5	-0.0178149041941024	1.21059118770906e-06	0.000108256301292987
ENSG00000123609.6	NMI	0.0153136386546192	1.64009005994382e-05	0.00062242549986941
ENSG00000123612.11	ACVR1C	-0.0151472006200903	2.91680607722249e-05	0.000915534514385612
ENSG00000204335.3	SP5	0.0155731971687866	1.00857017625335e-05	0.000457686291539877
ENSG00000231453.1	AC018470.4	0.0165051162943389	7.9934639704173e-06	0.000390361015875125
ENSG00000175879.7	HOXD8	0.0152130987657476	1.53496528245465e-05	0.000601512566185538
ENSG00000119042.12	SATB2	0.0220207517348491	3.59756231135845e-09	1.78169442305152e-06
ENSG00000064012.17	CASP8	0.0181603313304496	8.28700761297702e-08	1.45505356803327e-05
ENSG00000260804.2	RP11-566E18.3	-0.0155885220408602	2.91437208272394e-05	0.000915534514385612
ENSG00000213901.6	SLC23A3	-0.0142020331829482	1.46671036343531e-05	0.000586714638313072
ENSG00000198925.6	ATG9A	-0.0174739414763541	1.64841920014645e-06	0.000131062949710818
ENSG00000135917.9	SLC19A3	-0.0147331809310563	5.36439775314708e-06	0.000300047608047392
ENSG00000185404.12	SP140L	0.0164879477262399	1.00017659797865e-05	0.000456028386770313
ENSG00000171551.7	ECEL1	-0.0151593761640612	2.20375665903667e-05	0.000770954215936811
ENSG00000115474.6	KCNJ13	-0.0208149958640511	6.10921137729312e-09	2.50100715128717e-06
ENSG00000085982.9	USP40	-0.0151484443785621	2.26377644104955e-05	0.000785800676951004
ENSG00000176720.3	BOK	-0.0189944948236708	1.19570565836206e-07	1.91721438104536e-05
ENSG00000134109.6	EDEM1	-0.0153424430675173	1.54997221507695e-05	0.000603755366212046
ENSG00000230084.1	RP4-613B23.1	0.0185283178837925	2.48997774739849e-07	3.25916066923091e-05
ENSG00000010282.10	HHATL	0.0230667554922599	4.50458804489831e-10	3.46691114287553e-07
ENSG00000011198.3	ABHD5	-0.0139927799001857	1.26877949723203e-05	0.000537046386177031
ENSG00000163818.12	LZTFL1	0.0134892048758063	7.60896823455149e-06	0.000379285382904159
ENSG00000160801.9	PTH1R	0.0153401328724555	4.76933965560473e-06	0.000274310887039687
ENSG00000114650.14	SCAP	-0.0199007470796663	5.26891880833378e-08	1.03448231419541e-05
ENSG00000114302.11	PRKAR2A	-0.0172897404879239	3.81134360771001e-06	0.000239589586541222
ENSG00000172053.10	QARS	-0.016369540546616	5.50725422997907e-06	0.000304497352410998
ENSG00000185909.10	KLHDC8B	-0.0164313039350854	5.99673471645001e-06	0.000323202164367548
ENSG00000176095.7	IP6K1	-0.0172103261245425	3.21426707724551e-06	0.000210359567460139
ENSG00000182179.6	UBA7	0.0174749429975639	1.43374234156596e-06	0.000118276767521935
ENSG00000114378.12	HYAL1	0.0163425428300827	1.05396723821603e-05	0.000470519341775282
ENSG00000179837.6	RBM15B	-0.0169663334195322	2.39173591355345e-06	0.000171075801905881
ENSG00000271976.1	RP11-884K10.7	-0.0139063701482588	2.63744983318158e-05	0.000862933193955233
ENSG00000172986.8	GXYLT2	0.0161390201446007	7.53751526550661e-06	0.000377680550061491
ENSG00000144810.11	COL8A1	0.0157005779038659	1.6331256260125e-05	0.000621557055629839
ENSG00000082701.10	GSK3B	-0.0150671888389499	6.99728785138828e-06	0.000359026174796165
ENSG00000273033.1	RP11-67L2.2	-0.0161346192022716	1.12641757168999e-06	0.000102717537899939
ENSG00000189366.5	ALG1L	0.0190662082899539	2.9454307409867e-07	3.71811435456542e-05
ENSG00000182923.12	CEP63	0.0150821184911581	8.33113714890208e-07	8.29641585665229e-05
ENSG00000155893.7	ACPL2	0.0169686656206994	3.31146065833067e-06	0.000214592119108961
ENSG00000047457.9	CP	0.0153606722469968	2.19632394838734e-05	0.000769753535353749
ENSG00000178053.13	MLF1	0.0229981658192467	8.56784631456553e-10	5.68461830822605e-07
ENSG00000013297.6	CLDN11	0.0198368232310496	1.26487655296211e-08	4.26973504483226e-06
ENSG00000172667.6	ZMAT3	0.0185332820320392	7.35475230364045e-08	1.33502631202213e-05
ENSG00000136527.13	TRA2B	0.0160068501870942	1.25202105118461e-05	0.000532694466535178
ENSG00000181092.5	ADIPOQ	-0.0162024980532615	7.58989398730015e-06	0.000379285382904159
ENSG00000136514.2	RTP4	0.0188616868627361	6.48125738200811e-07	6.96680856353174e-05
ENSG00000224614.1	TNK2-AS1	-0.016942874759226	2.74091790800999e-06	0.000189025094867456
ENSG00000163960.7	UBXN7	-0.0169915581392613	2.1094442297433e-07	2.89912974460649e-05
ENSG00000145214.9	DGKQ	-0.0179818671121174	2.13980392127475e-06	0.000156547403989534
ENSG00000159674.7	SPON2	0.0143865029628945	1.96244786033622e-05	0.000713789400391857
ENSG00000168924.10	LETM1	-0.0178419612822435	1.30467034788606e-06	0.00011267756735987
ENSG00000185818.7	NAT8L	-0.0209341306878876	1.01051668045131e-08	3.53515480882976e-06
ENSG00000152953.8	STK32B	0.015751916280355	2.1109667811803e-05	0.000748488749969645
ENSG00000178163.3	ZNF518B	-0.0170716291137409	3.69200983604151e-08	8.3574072065029e-06
ENSG00000157869.10	RAB28	0.0168656081463966	1.49194119129216e-07	2.2762653081251e-05
ENSG00000109610.5	SOD3	0.0133653049234237	7.28260121401001e-06	0.000372671622230762
ENSG00000134962.6	KLB	-0.0163053473054559	1.40137257566711e-05	0.000570059402291982
ENSG00000154277.8	UCHL1	0.0186006754624174	5.98301319049075e-08	1.13979363166567e-05
ENSG00000064042.13	LIMCH1	0.017471701537482	7.99035566231939e-07	8.06942416915925e-05
ENSG00000075539.9	FRYL	-0.0137669339203077	4.42286641695585e-06	0.000261692299545928
ENSG00000250125.1	RP11-707A18.1	-0.0188468391762533	3.01858170994284e-07	3.73471528474704e-05
ENSG00000081041.8	CXCL2	0.0171368007912956	4.49536698005976e-06	0.000262903817821671
ENSG00000138755.5	CXCL9	0.0201427976823066	8.15649632385915e-08	1.4531402385868e-05
ENSG00000138669.5	PRKG2	0.0203575236885826	5.85505200013536e-08	1.12657055534604e-05
ENSG00000145284.7	SCD5	0.0159453231443511	2.29353604270473e-05	0.000789593315205173
ENSG00000172955.13	ADH6	-0.0155372271959762	2.29643129895448e-05	0.000789593315205173
ENSG00000138795.5	LEF1	-0.017334011281546	3.03855358942479e-06	0.000203002811160147
ENSG00000164093.11	PITX2	0.0251577052661062	6.2994962146272e-12	1.34676229628491e-08
ENSG00000164056.6	SPRY1	0.0164491658932544	5.02663388867151e-06	0.000285302249710704
ENSG00000164136.12	IL15	0.0160679503133071	1.94139625291139e-05	0.000711383124538158
ENSG00000164162.8	ANAPC10	0.0195732642507066	2.93247511667585e-08	7.52316716266133e-06
ENSG00000164167.5	LSM6	0.0156430173744193	2.40548291322465e-05	0.000811998188304483
ENSG00000170390.10	DCLK2	0.01637651569307	3.34065078823371e-06	0.000214974788683628
ENSG00000198589.6	LRBA	-0.0145465162931693	3.14268530014362e-05	0.000958294894771211
ENSG00000251603.1	RP11-164P12.4	-0.0204462511750357	3.62289381688559e-08	8.3574072065029e-06
