GeneSymbol	Age.Coef	p.value	FDR
ENSG00000157933.9	SKI	-0.0130526674573352	4.12806770842121e-08	4.1409105857363e-05
ENSG00000041988.11	THAP3	0.0222426406921687	8.28538993978033e-08	5.7538846443336e-05
ENSG00000188807.8	TMEM201	-0.0208511544006316	2.43900653983596e-06	0.000465073510518271
ENSG00000162496.4	DHRS3	0.0218273062012093	6.93107265664479e-07	0.000223477585514961
ENSG00000163879.9	DNALI1	-0.0223556063572977	2.41766624853253e-06	0.000465073510518271
ENSG00000132768.9	DPH2	-0.0216265472901619	4.55010142927006e-06	0.000746435478089388
ENSG00000186603.4	HPDL	-0.015975935304624	4.34344440200346e-07	0.000182384260750173
ENSG00000132773.7	TOE1	-0.0245726529970314	1.06552808864471e-08	2.74188438269173e-05
ENSG00000198890.6	PRMT6	-0.0203516999833953	1.83808643388319e-06	0.000419105306637371
ENSG00000116455.9	WDR77	-0.0194058925442233	3.64117560438985e-07	0.000156535873125865
ENSG00000143369.10	ECM1	0.0147065859393437	3.77767914250502e-06	0.000649616900924482
ENSG00000160789.15	LMNA	-0.0205085353998654	1.62950552620036e-07	9.77281026174236e-05
ENSG00000007933.8	FMO3	0.0226149333342269	2.48239903260907e-06	0.000465073510518271
ENSG00000067533.5	RRP15	-0.0243259974143179	1.87666988454423e-08	2.74188438269173e-05
ENSG00000135763.5	URB2	-0.0226918969154426	4.91379493031565e-06	0.000785163550989198
ENSG00000010072.11	SPRTN	-0.023962788387022	1.03550722315473e-06	0.000285506317738275
ENSG00000116039.7	ATP6V1B1	0.0236985851691421	6.7127943211357e-08	5.2752346985246e-05
ENSG00000124383.4	MPHOSPH10	-0.0239186094007037	2.01933492595658e-07	0.0001139409731971
ENSG00000125630.11	POLR1B	-0.0227890314332573	5.9970369626226e-07	0.00020823557576368
ENSG00000088205.8	DDX18	-0.0228857414846738	3.2940614340363e-07	0.000145067251836486
ENSG00000226479.3	TMEM185B	-0.0206566621790549	1.14755194677546e-06	0.000302499321412919
ENSG00000247626.3	MARS2	-0.0216913731840201	5.21057890041942e-08	4.70411063129865e-05
ENSG00000055044.6	NOP58	-0.0226134053852942	8.71223258733803e-07	0.00025811542655142
ENSG00000118246.9	FASTKD2	-0.0263025384356897	6.76706114080403e-08	5.2752346985246e-05
ENSG00000130147.11	SH3BP4	-0.0190221640277606	5.10596577129796e-07	0.000196155995673523
