GeneSymbol	Age.Coef	p.value	FDR
ENSG00000235098.4	ANKRD65	0.0210398848673154	8.82400757092018e-07	0.000107459867199612
ENSG00000171680.16	PLEKHG5	0.0246812813751988	3.18351067423858e-07	5.131192978288e-05
ENSG00000130939.14	UBE4B	-0.0107501831235745	3.20995568936343e-06	0.000272786234424128
ENSG00000142657.16	PGD	-0.0179536722806943	6.0018519401329e-08	1.44888954933527e-05
ENSG00000171824.9	EXOSC10	0.0216282062209211	4.31915284022209e-06	0.000328195460524843
ENSG00000226849.1	RP4-635E18.7	0.0184757340893778	1.1174010140033e-05	0.000617036078157813
ENSG00000058453.12	CROCC	0.0170342874910183	1.14650608212002e-05	0.000630954927227204
ENSG00000070831.11	CDC42	-0.0108052263203372	3.28381879062994e-07	5.20809841799967e-05
ENSG00000117748.5	RPA2	-0.0230557970059556	4.77534917692606e-06	0.000345535146412112
ENSG00000197989.9	SNHG12	0.0212709034626433	1.27176517661198e-05	0.000676266710580859
ENSG00000084636.13	COL16A1	0.0211569274452841	1.52720045752297e-05	0.000768643935069541
ENSG00000121753.8	BAI2	-0.0183274078431147	6.28818883379831e-06	0.000421463152818634
ENSG00000116478.7	HDAC1	-0.0138281788607232	1.10177205405954e-06	0.000124710538849337
ENSG00000243749.1	ZMYM6NB	-0.0151292522357278	1.87585180417588e-06	0.000184734156556367
ENSG00000142694.6	EVA1B	0.0227003485601995	1.43362366717069e-06	0.000151580697739338
ENSG00000159596.6	TMEM69	-0.0144146561391906	4.57040730753714e-06	0.000338793861256266
ENSG00000132128.12	LRRC41	-0.0131903837392215	6.06621105829742e-06	0.000411642217560436
ENSG00000269113.3	TRABD2B	0.0154241971912743	9.82546657570243e-06	0.000567857844742768
ENSG00000174348.9	PODN	0.0138900524095346	1.08445271589193e-05	0.000603730319118692
ENSG00000157184.5	CPT2	-0.0171970085273955	6.7646342438726e-07	8.74561410135548e-05
ENSG00000117054.9	ACADM	-0.0182458603211313	5.36934823456427e-06	0.000377501161058451
ENSG00000137959.11	IFI44L	0.019342766614317	3.32064479422236e-06	0.000280445415918241
ENSG00000171517.5	LPAR3	-0.0179619610555265	1.42475589461506e-05	0.000730774566048531
ENSG00000142871.11	CYR61	0.0214864113500664	2.72752577913834e-06	0.000241571999120502
ENSG00000153936.12	HS2ST1	-0.022080443214437	4.53043870373897e-10	4.12028145290051e-07
ENSG00000213516.5	RBMXL1	-0.0118822001227018	1.66755744883166e-05	0.000818152871343145
ENSG00000154511.7	FAM69A	-0.019344411290333	1.86988716126694e-09	1.26972368808755e-06
ENSG00000198890.6	PRMT6	-0.0189525140206266	1.89287677048109e-06	0.000185695621419476
ENSG00000215717.5	TMEM167B	-0.0122482459877895	1.81349143788685e-06	0.000180548295379983
ENSG00000065135.7	GNAI3	-0.0149260249629098	1.12240588654545e-07	2.39203985774011e-05
ENSG00000168710.13	AHCYL1	-0.0105964118565557	1.47588267844401e-06	0.000154255186150476
ENSG00000168679.13	SLC16A4	-0.0192288667964356	3.12825317199749e-06	0.000269926380322124
ENSG00000085465.11	OVGP1	0.0170145011759762	2.38031060400738e-06	0.00021862792244686
ENSG00000213281.4	NRAS	-0.0140752575512477	4.01613319161902e-07	5.85861483070456e-05
ENSG00000163399.11	ATP1A1	-0.013124442642465	9.46191029832107e-07	0.000112983198361613
ENSG00000143067.4	ZNF697	-0.0235291488396597	1.40878799251809e-07	2.84669093688156e-05
ENSG00000168509.13	HFE2	0.0225018015289679	1.95492484694003e-09	1.26972368808755e-06
ENSG00000239475.1	HYDIN2	0.0234946029338801	2.31854174586443e-06	0.000215127551991278
ENSG00000143621.12	ILF2	-0.0220155765149714	2.12301179394499e-06	0.000202515281465277
ENSG00000143549.15	TPM3	-0.0129730286206727	3.73488910140679e-06	0.000303226308920464
