GeneSymbol	Age.Coef	p.value	FDR
ENSG00000225880.4	LINC00115	0.0410198727061015	3.65618508710474e-07	7.88679564161916e-06
ENSG00000131591.13	C1orf159	0.0309348203284795	7.77777956051494e-05	0.000372740528988369
ENSG00000078808.12	SDF4	-0.0374132169285115	1.80605534429842e-07	5.04639323687593e-06
ENSG00000224870.3	RP4-758J18.2	-0.041305059977644	2.63000995965266e-08	1.90185149653904e-06
ENSG00000179403.10	VWA1	-0.0359093308028978	2.08526268759732e-06	2.53844206913121e-05
ENSG00000160072.15	ATAD3B	0.0402506002905182	3.96548930019009e-08	2.28693047610622e-06
ENSG00000231050.1	RP1-140A9.1	0.0331172075839673	5.26014276330784e-05	0.00027400340281368
ENSG00000067606.11	PRKCZ	-0.0283424826790829	2.87974985141926e-05	0.000171724739969812
ENSG00000116151.9	MORN1	0.0318542767415112	7.84934822149956e-05	0.000375793444913075
ENSG00000269753.1	AL589739.1	0.0301328418001973	0.000256881813061915	0.000975194421994643
ENSG00000235169.3	SMIM1	0.034705195933344	5.41272040730954e-06	4.92374642667777e-05
ENSG00000272153.1	RP1-286D6.5	0.0372553153846025	1.6443064837854e-06	2.14805095817543e-05
ENSG00000116237.11	ICMT	-0.0392629193426176	3.50396178688347e-06	3.60041492854391e-05
ENSG00000204859.7	ZBTB48	0.0354326436181586	1.05581301248511e-05	8.10597447731511e-05
ENSG00000236266.1	RP3-467L1.4	0.0425665024477227	2.36992828819241e-07	5.97392710883673e-06
ENSG00000234546.2	RP3-510D11.2	0.0409110817937698	1.13424728004424e-07	3.8918732524606e-06
ENSG00000175279.17	APITD1	-0.042136688451309	1.69555505079553e-08	1.47505293367688e-06
ENSG00000120948.11	TARDBP	0.0255295038496029	0.000126506490708493	0.000551151195333871
ENSG00000171824.9	EXOSC10	0.0417790375708315	1.76352172651666e-07	4.96213608476414e-06
ENSG00000198793.8	MTOR	-0.0374117109606759	1.95420032986271e-06	2.42839250353291e-05
ENSG00000116661.9	FBXO2	0.0311260975961492	3.66204578384495e-05	0.000205999667102772
ENSG00000011021.17	CLCN6	0.0442310471841801	4.25603725822921e-08	2.3784030432537e-06
ENSG00000116685.11	KIAA2013	-0.040380066373358	5.86199633666587e-08	2.79522716599742e-06
ENSG00000116688.12	MFN2	-0.0350134335017594	2.62379120104267e-05	0.000160261736766787
ENSG00000120949.10	TNFRSF8	-0.0305677226414725	4.59185491027841e-05	0.000244591781062545
ENSG00000162458.8	FBLIM1	-0.036467478532612	5.23795292064182e-06	4.84080059087555e-05
ENSG00000186510.7	CLCNKA	0.0364468237977071	5.21416858575199e-07	9.95536363745175e-06
ENSG00000226029.1	RP4-798A10.2	0.0421466967318502	6.80577680741543e-08	3.03773651813939e-06
ENSG00000080947.10	CROCCP3	0.0418834684741636	6.33856419190679e-08	2.91157110401317e-06
ENSG00000215908.5	CROCCP2	0.0355800298484479	1.40982456471504e-05	0.000101067393401477
ENSG00000077549.13	CAPZB	-0.0401992079981863	4.59046823533006e-07	9.23505567511874e-06
ENSG00000090432.5	MUL1	-0.0388115487370772	2.87391548671476e-07	6.78598491884536e-06
ENSG00000183114.6	FAM43B	-0.0266828803415813	0.00012383265455141	0.000541328841213757
ENSG00000158828.5	PINK1	-0.027029271937506	0.000235858112354543	0.00090968559816745
ENSG00000075151.15	EIF4G3	-0.0406765063739906	5.23176485717865e-07	9.95911254486039e-06
ENSG00000231105.1	RP5-1071N3.1	0.0358574138930339	1.39129247497183e-05	0.000100114389238184
ENSG00000169641.9	LUZP1	-0.0409303476436498	3.54362789724323e-07	7.72244200366165e-06
ENSG00000204219.5	TCEA3	0.0430874935976334	1.36362072361294e-08	1.31196744904878e-06
ENSG00000142677.3	IL22RA1	0.0300841391891966	0.000226683980208628	0.000881820523050539
ENSG00000117602.7	RCAN3	-0.0340412210871004	9.21199977229723e-06	7.32361645790951e-05
ENSG00000133226.12	SRRM1	0.0386388463894922	2.94809975943459e-07	6.8964605388389e-06
ENSG00000169504.10	CLIC4	-0.0424825290893672	2.35810741367994e-08	1.79554378048809e-06
ENSG00000197245.4	FAM110D	-0.0318282984766715	5.64838107840022e-05	0.00029018050311033
ENSG00000158062.16	UBXN11	0.0419358001206333	1.22322188872375e-07	4.04324574063028e-06
ENSG00000225891.1	RP3-476K8.3	0.038176248198891	3.3393723742834e-06	3.50478225246043e-05
ENSG00000198746.8	GPATCH3	-0.0347604216638175	1.03973683369401e-05	8.01914865438251e-05
ENSG00000117751.13	PPP1R8	-0.0446309186472244	7.78506090718057e-09	1.0478034088594e-06
ENSG00000130772.9	MED18	-0.03448409523177	5.98093528529745e-06	5.30429861589813e-05
ENSG00000197989.9	SNHG12	0.0323954189873847	5.05810432409815e-06	4.71793508258487e-05
ENSG00000198492.10	YTHDF2	-0.0400230103099224	3.77270794933239e-07	8.09247972251859e-06
ENSG00000162510.5	MATN1	0.0346255288399514	1.13673004453702e-05	8.54985620275151e-05
ENSG00000223382.3	RP1-65J11.1	-0.0352506829789315	9.02499952925104e-06	7.21094443992667e-05
ENSG00000162512.11	SDC3	-0.0376431027315113	6.50421023339687e-07	1.14781593703306e-05
ENSG00000229447.2	RP11-490K7.4	0.0330345451933538	7.14559462044407e-05	0.000349071690573578
ENSG00000121753.8	BAI2	-0.0267101480258097	5.76349480846005e-05	0.000294681414604838
ENSG00000212673.1	AL136115.1	0.0388197274311662	2.96147083337418e-06	3.24323273889374e-05
ENSG00000220785.3	MTMR9LP	0.0430656456574605	3.96318849412069e-08	2.28693047610622e-06
ENSG00000160062.10	ZBTB8A	-0.0395315992271001	4.44327845286704e-07	9.0148553918466e-06
ENSG00000162520.10	SYNC	-0.0379664649663261	2.37795633699127e-06	2.78819027684523e-05
ENSG00000142920.12	ADC	0.0396575312622982	1.05679416376057e-06	1.58193002402851e-05
ENSG00000160094.10	ZNF362	-0.0382446457765274	7.28618216335537e-09	1.02392289342682e-06
ENSG00000163867.12	ZMYM6	0.0372147208486341	4.26926297551242e-06	4.16509208718701e-05
ENSG00000197056.5	ZMYM1	0.0314618807697308	0.000109430711321231	0.000491178899664481
ENSG00000126067.7	PSMB2	-0.040838875710219	2.1581177583043e-07	5.65012967078243e-06
ENSG00000054116.7	TRAPPC3	-0.0283317091996955	9.56341986106037e-05	0.000440742899408213
ENSG00000116871.11	MAP7D1	-0.0289507774406582	0.000169226761722052	0.000695689797812831
ENSG00000174574.11	AKIRIN1	-0.0369452904382053	7.5091208421622e-06	6.26426527871689e-05
ENSG00000127603.19	MACF1	-0.0299129179537653	5.94567989038947e-05	0.000301976704929906
ENSG00000255103.1	KIAA0754	-0.0364663913310977	5.80819214434208e-06	5.18951413883174e-05
ENSG00000116985.6	BMP8B	-0.0331656054692904	2.03142815482999e-06	2.49195474294678e-05
ENSG00000164002.7	EXO5	-0.0335807926922286	1.83621449501284e-07	5.08604803314281e-06
ENSG00000204060.4	FOXO6	0.0325508582694249	6.18340258660617e-06	5.44344496707587e-05
ENSG00000229901.1	RP11-399E6.4	0.0373194167339848	5.50724474660419e-06	4.96960410268282e-05
ENSG00000198815.4	FOXJ3	0.0321139775526402	3.58132158945874e-06	3.65046497161255e-05
ENSG00000127125.7	PPCS	-0.0411337234776185	2.09211696159859e-07	5.53036505810128e-06
ENSG00000186409.10	CCDC30	0.0365443672005206	9.14772416151135e-06	7.28805520290094e-05
ENSG00000117408.6	IPO13	-0.0286279948299306	0.000196954189261051	0.000785679078513297
ENSG00000159214.8	CCDC24	0.0356829413785968	5.39894217794855e-07	1.01459766868193e-05
ENSG00000178028.9	DMAP1	0.0407067087090415	6.04386210761659e-07	1.09351088223534e-05
ENSG00000132781.13	MUTYH	0.0336945897388011	1.43800212364717e-05	0.000102434202710193
ENSG00000070759.12	TESK2	0.0319144417884777	2.70892807039249e-05	0.00016357988398528
ENSG00000234329.1	RP11-767N6.2	0.0338472338261196	2.22244316928712e-05	0.000141726172343729
ENSG00000085999.7	RAD54L	0.0313957217435154	2.24013864609414e-05	0.000142521737031129
ENSG00000142961.10	MOB3C	0.0383194295081704	9.99163412130086e-07	1.53504912641722e-05
ENSG00000132122.7	SPATA6	0.037525064066846	6.36531561040727e-08	2.91157110401317e-06
ENSG00000162373.8	BEND5	0.0314487904894215	9.39872424673863e-05	0.000435674066950446
ENSG00000123091.4	RNF11	-0.0346504505131837	1.575684740947e-06	2.08693602002627e-05
ENSG00000198841.3	KTI12	-0.0400543462813904	2.84988550649529e-07	6.74931992566765e-06
ENSG00000116157.5	GPX7	-0.031253497336692	8.70984436246023e-06	7.01190166197725e-05
ENSG00000121310.12	ECHDC2	0.042039804502605	8.94228621572059e-08	3.47917053629866e-06
ENSG00000157184.5	CPT2	-0.0365787056631327	3.88214030544858e-07	8.21655210606128e-06
ENSG00000157216.11	SSBP3	-0.033118552632109	4.37564682334357e-05	0.000235238711920513
ENSG00000184313.15	MROH7	0.0328293494737092	1.6646524038987e-05	0.000114277430830862
ENSG00000243725.2	TTC4	0.0283241909544329	0.000145604293059601	0.000617296123989264
