GeneSymbol	Age.Coef	p.value	FDR
ENSG00000131584.14	ACAP3	0.0128988103695292	1.22808867841749e-06	2.50464457703152e-05
ENSG00000169962.4	TAS1R3	0.01572282594953	2.92528482451907e-05	0.00035504190861013
ENSG00000162585.12	C1orf86	0.0180407292219089	7.51948678479701e-10	4.5771992563654e-08
ENSG00000157873.13	TNFRSF14	0.0157056288866428	3.56767764112536e-08	1.23339712736048e-06
ENSG00000142611.12	PRDM16	0.0137246279799384	1.45277415356354e-05	0.000201494257908784
ENSG00000187017.10	ESPN	0.0159576768608243	6.83192821570983e-07	1.52328970238816e-05
ENSG00000116288.8	PARK7	-0.0126530696246582	4.36220998643592e-05	0.000495215646286238
ENSG00000116661.9	FBXO2	0.0139380956394426	8.58791691942161e-05	0.000870815653290764
ENSG00000162490.6	DRAXIN	0.0189169649653134	4.69725907884797e-07	1.11099414970988e-05
ENSG00000048707.9	VPS13D	-0.018649112069006	1.11701459500905e-06	2.29938149619913e-05
ENSG00000116731.18	PRDM2	-0.0214126923743281	2.34814102432497e-10	1.71310700318768e-08
ENSG00000189337.11	KAZN	-0.0235726347618732	8.07588501216544e-10	4.81254841385619e-08
ENSG00000117122.9	MFAP2	0.0154510710114181	2.29993629806124e-06	4.2774073007242e-05
ENSG00000074964.12	ARHGEF10L	0.0151308373666127	2.69485951847527e-05	0.000334148114844616
ENSG00000117154.7	IGSF21	0.0212166534332534	2.89151119335025e-09	1.47126020822673e-07
ENSG00000188257.6	PLA2G2A	-0.0127268136961793	4.96151380345264e-05	0.000553436087215931
ENSG00000142794.14	NBPF3	0.0219546504377294	1.47155360663393e-07	4.11868967137429e-06
ENSG00000133216.12	EPHB2	-0.0163469702929211	9.31785551914708e-09	4.02839923577243e-07
ENSG00000272796.1	RP1-74M1.3	-0.0228099977057815	1.63226193758321e-08	6.39075604744215e-07
ENSG00000169641.9	LUZP1	-0.0214993657920093	4.83781528118579e-09	2.26954152340073e-07
ENSG00000011007.8	TCEB3	-0.0148444323367659	1.9486893820207e-09	1.02301037293171e-07
ENSG00000057757.5	PITHD1	-0.0206917627685287	9.96465097872762e-07	2.0924712594907e-05
ENSG00000001461.12	NIPAL3	-0.0237573505514452	1.31749159958834e-09	7.343905421975e-08
ENSG00000184454.6	NCMAP	-0.0169833935064278	1.5210655768638e-05	0.000209756951405735
ENSG00000117640.13	MTFR1L	-0.0159206435192562	9.2655678662921e-10	5.43982037688463e-08
ENSG00000158008.5	EXTL1	-0.0178619450879951	1.01181428381917e-08	4.30867867985141e-07
ENSG00000236155.2	RP11-231P20.2	-0.0245984216076185	4.28753455852816e-12	5.90846081801616e-10
ENSG00000117676.9	RPS6KA1	0.0192474892226716	4.05203849292685e-07	9.72293250950911e-06
ENSG00000060656.15	PTPRU	-0.0255290081593348	1.30099895234381e-12	2.24495854002701e-10
ENSG00000121769.3	FABP3	-0.0168392902989764	4.40347974970584e-06	7.37406347284073e-05
ENSG00000142910.11	TINAGL1	-0.0192350856625435	1.96106859141268e-06	3.74547113840165e-05
ENSG00000116478.7	HDAC1	0.018658847485621	1.04663546117756e-07	3.0679894235706e-06
ENSG00000239636.1	RP4-728D4.2	0.0167461480652342	1.10532814995087e-05	0.000159753327076657
ENSG00000116819.6	TFAP2E	0.019500826364104	2.6462718685987e-09	1.35691521861686e-07
ENSG00000171812.6	COL8A2	-0.0222020203941019	1.57210634385929e-09	8.50051179497106e-08
ENSG00000116871.11	MAP7D1	-0.0140829849433339	2.36601760645581e-06	4.3756992900754e-05
ENSG00000163873.5	GRIK3	0.0173727336473346	4.96950482019302e-08	1.65739249835143e-06
ENSG00000185090.10	MANEAL	0.0182603813980112	3.10783810322924e-06	5.48195016182054e-05
ENSG00000188786.9	MTF1	-0.013887030125344	8.13815941472219e-06	0.000123277584294463
ENSG00000183682.7	BMP8A	-0.0176245990912181	7.80079110687853e-06	0.000119259552176346
ENSG00000163909.6	HEYL	-0.0147845013628142	1.42867881528047e-05	0.000198952297617022
ENSG00000117016.5	RIMS3	-0.0316846182576662	2.69564733559976e-17	2.05740098952468e-14
ENSG00000198815.4	FOXJ3	0.0156049323447548	4.99082700217776e-08	1.6590396222875e-06
ENSG00000164007.6	CLDN19	-0.0236976023249192	6.66644048279876e-10	4.121147817466e-08
ENSG00000179178.6	TMEM125	-0.0183089125172378	3.57044665962633e-06	6.18254306401613e-05
ENSG00000066056.9	TIE1	-0.020733199435571	2.16893159523382e-07	5.70825975806629e-06
ENSG00000066322.8	ELOVL1	-0.0194808065965056	9.50581159988388e-11	8.02695001651471e-09
ENSG00000126091.15	ST3GAL3	-0.0170065452216882	1.88690807544244e-06	3.63532076204659e-05
ENSG00000117408.6	IPO13	-0.0172174955829021	3.09676118159408e-07	7.72982753302552e-06
ENSG00000198520.6	C1orf228	0.016003629073673	5.84888504113489e-06	9.39039439775734e-05
ENSG00000132781.13	MUTYH	0.0153663427450326	2.53065976472985e-06	4.62416320177708e-05
ENSG00000070759.12	TESK2	-0.0300240407681002	1.04000335812839e-15	4.79949456713948e-13
ENSG00000086015.16	MAST2	-0.0192597360952573	4.83543834413688e-07	1.13690093010725e-05
ENSG00000085998.9	POMGNT1	-0.0179953985788938	7.29441993884999e-08	2.26526555972675e-06
ENSG00000123091.4	RNF11	-0.0158266491122968	2.02044646348643e-06	3.83672149487317e-05
ENSG00000134744.9	ZCCHC11	0.0150747668915249	4.695027620038e-06	7.80302580335294e-05
ENSG00000182183.10	FAM159A	0.0220260038728807	3.61961012327347e-08	1.24917466584763e-06
ENSG00000157184.5	CPT2	-0.0141058473727872	1.34474754872903e-06	2.71190755660355e-05
ENSG00000162390.13	ACOT11	0.0211878288516989	2.80551569054789e-09	1.43486220008331e-07
ENSG00000184313.15	MROH7	0.018619986250909	1.04667851227439e-07	3.0679894235706e-06
ENSG00000162402.8	USP24	0.012173013834961	2.24281588358982e-06	4.18293593928162e-05
ENSG00000162407.8	PPAP2B	-0.0142136646567975	1.73966661752388e-05	0.000232471005778747
ENSG00000173406.11	DAB1	0.0199474725948392	4.06263776996107e-10	2.73284691210534e-08
ENSG00000162601.5	MYSM1	0.00994175318884808	5.20114627421158e-06	8.57328929885187e-05
ENSG00000177606.5	JUN	0.0150309130029131	1.59465279256189e-07	4.43818934300113e-06
ENSG00000237928.1	RP4-668G5.1	-0.0192350223168673	2.49783158461865e-06	4.57682086474354e-05
ENSG00000230798.1	RP4-792G4.2	0.0164106070945256	1.04353750140162e-05	0.000152826259614862
ENSG00000187140.4	FOXD3	0.0165211516632695	3.8160532817061e-06	6.53371538586504e-05
ENSG00000162433.10	AK4	-0.0265058264957368	3.01545150690455e-13	6.29880207400146e-11
ENSG00000162595.4	DIRAS3	0.0261271675128876	1.3997834110782e-10	1.12458712588809e-08
ENSG00000033122.14	LRRC7	-0.018364342615143	2.4521368855968e-08	9.01114895514497e-07
ENSG00000137941.12	TTLL7	0.0139628539208592	2.07558734382547e-06	3.9090312111395e-05
ENSG00000055732.8	MCOLN3	-0.0223982031708043	7.71153064617429e-11	6.62457204080877e-09
ENSG00000153904.14	DDAH1	-0.0232410069622804	7.45321823652636e-09	3.33111852895561e-07
ENSG00000065243.14	PKN2	0.014185372177628	1.79633990253805e-08	6.94864893293666e-07
ENSG00000225492.2	GBP1P1	0.0124593464163853	5.81812117409285e-05	0.000628496442997814
ENSG00000162664.12	ZNF326	0.0136885392231605	5.85745427833729e-07	1.34531623494589e-05
ENSG00000233593.2	RP4-665J23.1	-0.0216325256617384	2.0326722663861e-08	7.72505031657701e-07
ENSG00000117600.8	LPPR4	-0.0178127752973808	7.44003986856294e-12	9.52517104204923e-10
ENSG00000099260.6	PALMD	-0.0284881032459761	3.42965883531071e-13	7.01630411627895e-11
ENSG00000223656.1	HMGB3P10	-0.0251810460524301	8.11087388761789e-10	4.81892758760148e-08
ENSG00000162631.14	NTNG1	0.0245659159402992	1.28915201316412e-14	4.26365542487147e-12
ENSG00000143028.7	SYPL2	-0.0208791487494386	5.90529966755089e-07	1.35473718616046e-05
ENSG00000134202.6	GSTM3	-0.0180821235020955	2.12291630118585e-06	3.97425953591812e-05
ENSG00000121933.13	ADORA3	0.0191586848460098	1.30824610720768e-07	3.72465362287363e-06
ENSG00000197852.8	FAM212B	-0.0281240308689192	6.154075180481e-15	2.30417863927293e-12
ENSG00000223804.1	RP6-206I17.1	0.0172660480100396	1.40975793326619e-05	0.000197090604784653
ENSG00000236943.2	RP11-640M9.1	0.017361703801939	3.86502605396235e-05	0.000446955577009493
ENSG00000272755.1	RP11-326G21.1	0.0153902104083581	1.63228363858299e-05	0.000221419817918445
ENSG00000198483.8	ANKRD35	0.0156026555781409	3.32422801324008e-05	0.000396192076244661
ENSG00000186364.7	NUDT17	0.0150899316116249	5.25430345483613e-05	0.000578305018959666
ENSG00000162836.7	ACP6	0.0244669013005004	2.66235770271672e-12	3.97231776336169e-10
ENSG00000143140.6	GJA5	-0.0183025272706863	4.46747637588155e-07	1.06170779883825e-05
ENSG00000234232.2	RP11-353N4.5	0.0171143563374526	4.0121342031237e-05	0.00046101210843536
ENSG00000143363.11	PRUNE	-0.0173873897753707	1.82488915722149e-05	0.000242228096561226
ENSG00000143434.11	SEMA6C	-0.0142042446417206	1.2088701039802e-07	3.45660206676989e-06
ENSG00000143390.13	RFX5	0.0147812076512086	5.78833393514193e-06	9.30838252737247e-05
ENSG00000160678.7	S100A1	-0.0292138573965169	1.11864370613743e-14	3.82730443182605e-12
ENSG00000169418.9	NPR1	-0.0143147795511008	5.3242347743476e-06	8.73896731696887e-05
ENSG00000132702.8	HAPLN2	-0.0167256461931445	2.84945973461427e-07	7.17303403447341e-06
ENSG00000132688.10	NES	-0.0201093750967811	2.01013177405616e-06	3.82812427297222e-05
ENSG00000117036.7	ETV3	-0.0152601576138471	5.54930584108144e-06	9.03366900003446e-05
ENSG00000183853.13	KIRREL	-0.0162183429047942	4.72902726519895e-08	1.58786492471418e-06
ENSG00000163564.10	PYHIN1	0.0238876761922682	2.14754397438426e-10	1.5960997238832e-08
ENSG00000162734.8	PEA15	-0.0288644620173432	1.17630343010402e-14	3.95636699440409e-12
ENSG00000122224.13	LY9	0.015696939776871	3.45510529498395e-05	0.000408600175647566
ENSG00000158887.11	MPZ	-0.0197259480881959	9.35169449556923e-07	1.98263916207346e-05
ENSG00000132185.12	FCRLA	-0.0171551911878866	3.61346523602743e-05	0.000423791986665061
ENSG00000162746.10	FCRLB	-0.0237728300906643	3.43830995457381e-10	2.37734574001961e-08
ENSG00000132196.9	HSD17B7	0.0144561188982226	5.60155340712574e-06	9.11124801729534e-05
ENSG00000117152.9	RGS4	-0.0168574510738591	2.32925737861017e-07	6.01846138296097e-06
ENSG00000143171.8	RXRG	0.0142653190871419	2.30658818445967e-05	0.000293598049598574
ENSG00000197965.7	MPZL1	-0.016096932645543	5.67175442853724e-06	9.18815882162351e-05
ENSG00000143164.11	DCAF6	-0.0160860859139106	9.13497402279145e-05	0.00091276145271034
ENSG00000143153.8	ATP1B1	0.0164619301651075	1.67899471576776e-05	0.000225426056425544
ENSG00000117477.8	CCDC181	0.0224957489989045	2.65131233390484e-08	9.61839889469976e-07
ENSG00000116132.7	PRRX1	-0.018390377211601	2.13607768528561e-09	1.10674479338923e-07
ENSG00000197959.9	DNM3	0.021350117972914	3.05407833712237e-10	2.13398346907945e-08
ENSG00000235750.5	KIAA0040	-0.0137062166953372	7.3465400747018e-06	0.000113539518101544
ENSG00000135837.11	CEP350	0.0097284494113853	3.57981785043141e-05	0.000420840671942896
ENSG00000135823.9	STX6	-0.0185578856279241	1.43703232134528e-06	2.86309933582086e-05
ENSG00000157064.6	NMNAT2	-0.0205695845328552	5.81072579885228e-08	1.87492752442967e-06
ENSG00000244414.2	CFHR1	0.0188256060465003	9.02271629678115e-07	1.92523421713253e-05
ENSG00000213047.7	DENND1B	0.0121748685276802	6.9529576877882e-06	0.000108045804507807
ENSG00000134369.11	NAV1	-0.0192132507474107	1.79374606955274e-09	9.49202586778789e-08
ENSG00000163531.11	NFASC	-0.0264439929024067	3.61934932459472e-14	1.0115826478487e-11
ENSG00000184144.5	CNTN2	0.025462727029648	1.96465031177318e-11	2.14211652674874e-09
ENSG00000133065.6	SLC41A1	-0.0215277280485334	2.78650642331752e-08	9.99917422501135e-07
ENSG00000143479.11	DYRK3	-0.016518041005044	9.77841115775639e-06	0.000144377076647707
ENSG00000203710.6	CR1	-0.0235387777895969	1.5919002404379e-09	8.56088573746605e-08
ENSG00000082482.9	KCNK2	0.0199921919719522	3.94066608362048e-07	9.5247963170968e-06
ENSG00000221571.2	RNU6ATAC35P	-0.0147822323019654	2.71017491725234e-05	0.000335500380898038
ENSG00000143786.3	CNIH3	0.0230331517301062	2.83272093403062e-11	2.92773511535957e-09
ENSG00000143772.5	ITPKB	-0.0289111474158448	1.83809845494011e-12	2.92001510974532e-10
ENSG00000154429.6	CCSAP	0.0145193000511885	2.25741986381351e-07	5.88649668561306e-06
ENSG00000119280.12	C1orf198	0.0187211623384799	2.98510997294717e-09	1.49587177533242e-07
ENSG00000135749.14	PCNXL2	0.0140547707750396	1.74274135274017e-05	0.000232725164224602
ENSG00000183780.8	SLC35F3	0.024273915784952	4.39281386173488e-11	4.150999917727e-09
ENSG00000186197.8	EDARADD	-0.0254303315949547	2.57318053848667e-10	1.85007951470035e-08
ENSG00000116977.14	LGALS8	-0.0201308380228284	1.81571882205923e-07	4.90887252110945e-06
ENSG00000143702.11	CEP170	0.0135267617937684	2.43408426140806e-07	6.2486375269575e-06
ENSG00000162849.11	KIF26B	0.0189251864057332	7.59807627769519e-06	0.000116699865057727
ENSG00000153207.10	AHCTF1	0.0185016693375943	8.42943374707881e-12	1.0520357438807e-09
ENSG00000151692.10	RNF144A	-0.0192274480962786	2.30263843992614e-08	8.57945756996067e-07
ENSG00000143797.7	MBOAT2	0.0147312074444542	6.69309817040052e-08	2.11157138463319e-06
