GeneSymbol	Age.Coef	p.value	FDR
ENSG00000188157.9	AGRN	-0.0306506255771329	2.37735864520776e-06	0.000115028046651166
ENSG00000078808.12	SDF4	-0.0329125717260202	1.72247054630924e-06	9.14884327585238e-05
ENSG00000228594.1	C1orf233	-0.0293831952750179	5.7528700428688e-06	0.000225767663776814
ENSG00000067606.11	PRKCZ	-0.0443869113315198	6.85247989647057e-11	6.54822978906728e-08
ENSG00000234546.2	RP3-510D11.2	0.0347354153816374	1.54474079496871e-07	1.60459256697989e-05
ENSG00000171621.9	SPSB1	-0.0287272571814257	3.06206474612823e-05	0.000697129663288888
ENSG00000175279.17	APITD1	-0.0269352301589418	3.22443395962939e-06	0.000147077283619181
ENSG00000116661.9	FBXO2	0.0330200171745597	1.27837628866282e-06	7.47165982535899e-05
ENSG00000116685.11	KIAA2013	-0.0338277146830082	2.09621503931238e-08	4.00628618313382e-06
ENSG00000186510.7	CLCNKA	0.0298200503482372	3.60474564084832e-06	0.000160218369041612
ENSG00000162545.5	CAMK2N1	-0.0350456001348581	3.38739242374457e-07	2.91620918930659e-05
ENSG00000183114.6	FAM43B	-0.0372437299337725	1.75984284001577e-07	1.77021665044113e-05
ENSG00000169641.9	LUZP1	-0.0240475121820212	1.51738942561864e-05	0.000425849437627363
ENSG00000204219.5	TCEA3	0.0303658514457662	7.47705869671411e-07	4.96185922956945e-05
ENSG00000142677.3	IL22RA1	0.03349306684293	7.22459569764188e-06	0.000262004692549016
ENSG00000158062.16	UBXN11	0.0304186856651898	2.05021803532911e-06	0.000102575306521492
ENSG00000162512.11	SDC3	-0.0288188856814663	9.20782708364968e-07	5.80792050239976e-05
ENSG00000168528.7	SERINC2	-0.0252731583655387	3.62254747888878e-05	0.000784078453188248
ENSG00000121753.8	BAI2	-0.0391022873317899	8.43165924999415e-09	2.09280352708946e-06
ENSG00000121900.14	TMEM54	-0.031495833526852	6.84810556672926e-06	0.000252666010794073
ENSG00000160094.10	ZNF362	-0.0246268385799753	7.51177856227884e-06	0.000270367442339497
ENSG00000116985.6	BMP8B	-0.0409202900922735	4.37576580001078e-09	1.26512202955524e-06
ENSG00000204060.4	FOXO6	0.0322271148770533	4.3782394650297e-07	3.54563189218846e-05
ENSG00000132122.7	SPATA6	0.0279574696430697	1.54227930697846e-06	8.48318857765223e-05
ENSG00000134748.12	PRPF38A	0.0274721335576272	2.59404303483758e-05	0.000623614471469381
ENSG00000162437.10	RAVER2	0.034005383504657	6.3193029671144e-08	8.03517103419728e-06
ENSG00000162595.4	DIRAS3	0.0291704637375573	1.73128367152988e-05	0.00047201559957602
ENSG00000203943.4	SAMD13	-0.0292524189635442	3.45367765755045e-05	0.000757768150860403
ENSG00000153904.14	DDAH1	-0.0346986430492771	1.1606668648384e-07	1.3048626541642e-05
ENSG00000065243.14	PKN2	0.0300410444605573	1.28817955638288e-05	0.000381109716433276
