UniProtKB	Symbol	Name	Anntation_qualifier	GO_class_direct	Annotation_extension	Contributor	Organism	Evidence	Envidence_with	PANTHER_family	Type	Isoform	Reference	Date
O75324	SNN	Stannin		GO:0005741		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0172	PANTHER:PTHR28564	protein		GO_REF:0000039	20190112
P32189	GK	Glycerol kinase		GO:0005741		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0172	PANTHER:PTHR10196	protein		GO_REF:0000039	20190112
Q9UBF8	PI4KB	Phosphatidylinositol 4-kinase beta		GO:0005741		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0172	PANTHER:PTHR10048	protein		GO_REF:0000039	20190112
Q96I99	SUCLG2	"Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial"		GO:0045244		Ensembl	NCBITaxon:9606	IEA	UniProtKB:F1LPV8|ensembl:ENSRNOP00000060990	PANTHER:PTHR11815	protein		GO_REF:0000107	20190112
P17655	CAPN2	Calpain-2 catalytic subunit		GO:0005758		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q07009|ensembl:ENSRNOP00000046509	PANTHER:PTHR10183	protein		GO_REF:0000107	20190112
P22307	SCP2	Non-specific lipid-transfer protein		GO:0005739		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0173	PANTHER:PTHR24314	protein		GO_REF:0000039	20190112
Q9NRY6	PLSCR3	Phospholipid scramblase 3		GO:0031966		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0171	PANTHER:PTHR23248	protein		GO_REF:0000039	20190112
Q14849	STARD3	StAR-related lipid transfer protein 3		GO:0005739		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q61542|ensembl:ENSMUSP00000018311	PANTHER:PTHR46121	protein		GO_REF:0000107	20190112
Q96MF6	COQ10A	"Coenzyme Q-binding protein COQ10 homolog A, mitochondrial"		GO:0005743		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0168	PANTHER:PTHR12901	protein		GO_REF:0000039	20190112
Q9NS18	GLRX2	"Glutaredoxin-2, mitochondrial"		GO:0005759		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q6AXW1|ensembl:ENSRNOP00000056811	PANTHER:PTHR46679	protein		GO_REF:0000107	20190112
Q9NRP4	SDHAF3	"Succinate dehydrogenase assembly factor 3, mitochondrial"		GO:0005759		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0170	PANTHER:PTHR13137	protein		GO_REF:0000039	20190112
P27348	YWHAQ	14-3-3 protein theta		GO:0005739		GOC	NCBITaxon:9606	IEA	GO:1900740	PANTHER:PTHR18860	protein		GO_REF:0000108	20190112
Q9NRK6	ABCB10	"ATP-binding cassette sub-family B member 10, mitochondrial"		GO:0005743		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0168	PANTHER:PTHR24221	protein		GO_REF:0000039	20190112
O60397	COX7A2P2	"Putative cytochrome c oxidase subunit 7A3, mitochondrial"		GO:0005746		InterPro	NCBITaxon:9606	IEA	InterPro:IPR003177	PANTHER:PTHR10510	protein		GO_REF:0000002	20190112
Q6P1Q0	LETMD1	LETM1 domain-containing protein 1		GO:0005741		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0172	PANTHER:PTHR14009	protein		GO_REF:0000039	20190112
P49901	SMCP	Sperm mitochondrial-associated cysteine-rich protein		GO:0031966		UniProt	NCBITaxon:9606	IEA	UniProtKB-SubCell:SL-0171	PANTHER:PTHR35820	protein		GO_REF:0000039	20190112
