GeneSymbol	Age.Coef	p.value	FDR
ENSG00000225630.1	MTND2P28	-0.0152593846877362	7.90941162105806e-05	0.000901866427225598
ENSG00000205231.1	TTLL10-AS1	-0.015648392590244	2.47232376467586e-05	0.000390275461006368
ENSG00000131584.14	ACAP3	0.01387371725423	2.96951234893997e-05	0.000443950430804234
ENSG00000162576.12	MXRA8	0.0135048737891691	6.03010435706236e-05	0.000735246798748944
ENSG00000178821.8	TMEM52	-0.0222566547162868	3.72411963470541e-09	1.04344899820386e-06
ENSG00000157873.13	TNFRSF14	0.0146774167075573	6.81039641695624e-05	0.000808548664504428
ENSG00000162591.11	MEGF6	0.0210172353935119	6.30748319155865e-09	1.54724222552932e-06
ENSG00000116237.11	ICMT	-0.0180560388832406	2.2160740731812e-06	7.41728347330648e-05
ENSG00000158292.6	GPR153	-0.0149726809982483	3.36506734466965e-05	0.000488589957217105
ENSG00000234546.2	RP3-510D11.2	0.0288764608508432	1.03447798228591e-13	2.75511043196518e-10
ENSG00000171612.6	SLC25A33	-0.0164354396530898	3.36316889474918e-05	0.000488589957217105
ENSG00000142657.16	PGD	-0.0171198750621857	3.92238567968128e-07	2.28387900043313e-05
ENSG00000116688.12	MFN2	-0.0188999007457944	6.77371082685559e-07	3.32321818276497e-05
ENSG00000162496.4	DHRS3	-0.0163127216691458	1.08460840913875e-05	0.000223240315476577
ENSG00000169641.9	LUZP1	-0.0158756805808635	4.26914999646895e-06	0.000115239534819074
ENSG00000088280.14	ASAP3	0.0170981009956583	1.95948405578263e-05	0.000333613344766718
ENSG00000011007.8	TCEB3	-0.0181202865664333	1.00692368136175e-07	9.82831318933359e-06
ENSG00000001460.13	STPG1	-0.0130637321525248	8.39732713438036e-05	0.000943087312816472
ENSG00000117676.9	RPS6KA1	0.0137939919607267	6.14147834154961e-05	0.000744011688755377
ENSG00000204160.7	ZDHHC18	-0.0150297324695906	9.02845078286749e-05	0.000996550668709287
ENSG00000186056.5	MATN1-AS1	0.0156409501845766	1.81436816139853e-05	0.000317608128008947
ENSG00000084636.13	COL16A1	0.0160809510744385	2.65008655199319e-05	0.000410686314121438
ENSG00000184007.13	PTP4A2	-0.0169199668050902	2.96785077438586e-06	9.0260427384789e-05
ENSG00000004455.12	AK2	-0.0188631380110988	6.58610096834073e-07	3.25734029816866e-05
ENSG00000239636.1	RP4-728D4.2	0.0160629350508286	2.77247160042739e-05	0.000424684043224788
ENSG00000116819.6	TFAP2E	0.0232064716057651	8.81254517077142e-09	1.977169260016e-06
ENSG00000116871.11	MAP7D1	-0.020403068333728	6.33724229440238e-08	7.0745633589547e-06
ENSG00000116898.7	MRPS15	-0.0173290305331967	1.92323710794136e-06	6.73964462468999e-05
ENSG00000185090.10	MANEAL	0.0166576777024795	1.23496562334132e-05	0.000243376999111546
ENSG00000116954.7	RRAGC	-0.0146314312525195	1.76924506273657e-05	0.000311810138658542
ENSG00000010803.12	SCMH1	-0.0160211404688489	3.57749632887619e-06	0.000102450482425866
