GeneSymbol	Age.Coef	p.value	FDR
ENSG00000162496.4	DHRS3	0.0386947657909542	1.16956720219196e-05	0.000885033431283698
ENSG00000158825.5	CDA	0.0381547729770523	1.86308865272444e-06	0.000400791299519054
ENSG00000075151.15	EIF4G3	-0.0406235438770988	3.62696594390953e-06	0.000530459366249608
ENSG00000117318.8	ID3	0.0365358398669837	1.38702234752814e-05	0.000948919793737458
ENSG00000183615.5	FAM167B	0.0370294542333515	2.46145808359958e-06	0.000453284633757616
ENSG00000162377.4	SELRC1	-0.0439608434645834	1.51404033467158e-06	0.000373198238599936
ENSG00000116675.11	DNAJC6	-0.0409011962507126	9.32326570474977e-06	0.000801730993989656
ENSG00000118473.17	SGIP1	-0.040588671292053	8.15725652670861e-06	0.000748921201115635
ENSG00000180488.10	FAM73A	-0.0417069921488552	4.98106572778845e-06	0.000603417828343476
ENSG00000137936.12	BCAR3	0.0393484847695553	1.5442637330127e-06	0.000373896225635528
ENSG00000156875.9	HIAT1	-0.0384868020060257	2.98725744732897e-06	0.000490416536183532
ENSG00000143110.7	C1orf162	0.032198912356165	1.22094451527952e-05	0.000899320804182313
ENSG00000143545.4	RAB13	0.0388420591807873	6.7282523508888e-06	0.000680068099942713
ENSG00000163463.7	KRTCAP2	0.0393269579563116	4.65715771206365e-06	0.000585834150636993
ENSG00000132718.7	SYT11	-0.0410047498757386	5.63061238034722e-06	0.000627871625797209
ENSG00000081721.7	DUSP12	-0.0340897618458936	1.31505820767337e-05	0.000933161450514595
ENSG00000143155.8	TIPRL	-0.0399430868507339	6.86769309044541e-06	0.000681271628341679
ENSG00000116750.9	UCHL5	-0.0388544505118534	3.48121109184345e-06	0.000528613696753313
ENSG00000176393.6	RNPEP	0.0453767288952455	1.44682941803999e-07	0.000140139897431353
ENSG00000143819.8	EPHX1	0.0405235038129891	2.70841614557363e-06	0.000468459264036182
ENSG00000173726.6	TOMM20	-0.0380052836055209	1.41013709417132e-05	0.000952122893911474
ENSG00000162885.8	B3GALNT2	-0.0460885338338872	3.95956981357108e-07	0.000237443979061154
ENSG00000035687.9	ADSS	-0.0406211857111964	8.64852936207651e-06	0.000775644957417343
ENSG00000134308.9	YWHAQ	-0.0405955043083713	7.50250791635871e-06	0.0007188146567995
ENSG00000143994.9	ABHD1	0.0351825196252952	9.96548118401736e-06	0.00081456245357293
ENSG00000138095.14	LRPPRC	-0.0410165537721851	6.47662010228612e-06	0.000678189646602631
ENSG00000138081.15	FBXO11	-0.039991524104117	3.05937946343992e-06	0.000498036125762674
ENSG00000115310.13	RTN4	-0.0363935785194192	8.35638062364309e-06	0.00076170932194993
ENSG00000115307.12	AUP1	0.0383061989670488	6.41036163817106e-07	0.000277586250797454
ENSG00000168890.9	TMEM150A	0.0391132237605202	9.50834306866257e-06	0.000801730993989656
ENSG00000144021.2	CIAO1	-0.0442937252915925	1.3557962282628e-06	0.000363659238376552
ENSG00000144214.5	LYG1	0.0380882375332131	1.36498678502345e-05	0.000948919793737458
ENSG00000115252.14	PDE1A	-0.0399762473408955	2.05871377729905e-06	0.000419804245198285
ENSG00000144339.7	TMEFF2	-0.0379112412419122	1.44000341104031e-05	0.000961922278574926
ENSG00000138442.5	WDR12	-0.0424964452934048	4.98383504723086e-06	0.000603417828343476
ENSG00000197713.10	RPE	-0.037789019143262	1.26143201473112e-05	0.000915223258028883
ENSG00000153823.14	PID1	-0.042383745955509	2.38196077707694e-06	0.000452385727191514
ENSG00000131370.11	SH3BP5	-0.0405799486641863	6.13192552410756e-06	0.000656285421287357
ENSG00000144597.9	EAF1	-0.0383551129820345	7.59274709873756e-06	0.0007188146567995
ENSG00000233276.2	GPX1	0.0381699066227412	3.69262412440679e-07	0.000237443979061154
ENSG00000088538.12	DOCK3	-0.0416818619177613	2.46770706131506e-06	0.000453284633757616
ENSG00000114779.15	ABHD14B	0.046245324814351	1.06992011810331e-07	0.000137128165059674
