GeneSymbol	Age.Coef	p.value	FDR
ENSG00000248527.1	MTATP6P1	-0.0190806217704785	1.0809563363522e-05	0.000767520734575945
ENSG00000178821.8	TMEM52	-0.0185589031675964	3.99299905393533e-06	0.000426251825612187
ENSG00000234546.2	RP3-510D11.2	0.0207411818250967	1.04946576207638e-06	0.000196935462903925
ENSG00000090686.11	USP48	0.0216925600759123	8.32900807765233e-07	0.00016648962885655
ENSG00000160058.14	BSDC1	0.0218417924069159	2.93821396154561e-07	8.53633798786654e-05
ENSG00000197147.8	LRRC8B	-0.0190496399549462	3.97036656484882e-06	0.000426251825612187
ENSG00000137936.12	BCAR3	0.0202474215788624	5.75127435499837e-06	0.000539622119328674
ENSG00000188641.8	DPYD	0.0190378864937876	2.34799670988147e-06	0.000308426139248001
ENSG00000196754.6	S100A2	-0.0204456822162976	7.28190747831395e-06	0.00061997351169534
ENSG00000143554.9	SLC27A3	-0.0184624374561564	1.26002736764148e-06	0.000218602861235159
ENSG00000196189.8	SEMA4A	-0.0171198579561707	1.15232084966865e-05	0.000799667185864396
ENSG00000160785.9	SLC25A44	-0.016776181669106	1.55507721575e-05	0.000957887391680237
ENSG00000160781.11	PAQR6	-0.020726406858962	1.86411299414904e-06	0.000267723871229306
ENSG00000227741.1	RP11-536C5.7	-0.0203893627590179	1.09927367345707e-06	0.000202156428548755
ENSG00000122223.8	CD244	0.0208722815652121	5.55167072239111e-08	3.19047576827414e-05
ENSG00000248485.1	PCP4L1	-0.0210131033522674	5.88227009712985e-06	0.000547312557857003
ENSG00000158887.11	MPZ	-0.0224449614741062	1.38383818781975e-07	5.06414242215449e-05
ENSG00000007908.11	SELE	-0.0188947903197949	5.46863361711765e-06	0.00052107861253261
ENSG00000007933.8	FMO3	0.0250991054667612	7.41012342507009e-09	8.51701061168994e-06
ENSG00000135823.9	STX6	0.0168351799934442	1.23341154175904e-05	0.000840090305664767
ENSG00000188739.10	RBM34	-0.0236034735641535	1.34447390522903e-07	5.06414242215449e-05
ENSG00000240857.1	RDH14	0.0196718234601822	3.63589648419579e-06	0.000396609366546413
ENSG00000143889.11	HNRNPLL	0.0207170476377239	9.74408870052734e-08	4.45687523967692e-05
ENSG00000250116.2	RP11-417F21.1	0.0175023296360809	8.94368472478114e-06	0.000696925263087818
ENSG00000163017.9	ACTG2	-0.0224456174252691	3.16952986549324e-06	0.000364297838915129
ENSG00000172005.6	MAL	-0.0242170490184219	1.41477576682642e-07	5.06414242215449e-05
ENSG00000128710.5	HOXD10	0.0233210106468148	4.13310573880997e-08	2.71456480488269e-05
ENSG00000128709.10	HOXD9	0.0242998047790861	2.65392075065302e-08	1.95222410418036e-05
ENSG00000175879.7	HOXD8	0.0224863980549364	1.48742788046769e-08	1.51965548454449e-05
ENSG00000128652.7	HOXD3	0.0184842175625021	1.46428369641007e-05	0.000925366913298321
ENSG00000171551.7	ECEL1	-0.0297995587789953	5.21720601790043e-12	1.37063455241698e-08
ENSG00000163527.5	STT3B	0.0203691968421308	3.75305688582577e-07	9.72094593385012e-05
ENSG00000144824.15	PHLDB2	-0.0190196563713773	2.09890040163407e-06	0.000288050584970526
ENSG00000221972.2	C3orf36	-0.0183299856527834	2.30516797888778e-06	0.00030522233960105
ENSG00000158092.2	NCK1	0.0209361720186189	1.17386444578619e-07	4.86705504578915e-05
ENSG00000172667.6	ZMAT3	0.0275528184264169	1.515737803118e-10	2.53403801812182e-07
ENSG00000121864.5	ZNF639	0.017638149562001	9.97771257373423e-06	0.000722402103271545
ENSG00000173013.4	CCDC96	-0.0216808948490032	1.86259523587577e-06	0.000267723871229306
ENSG00000237765.2	FAM200B	0.0186056740102422	2.52103939748155e-06	0.00032195773972004
ENSG00000109743.6	BST1	0.0182893775377583	3.07876087721699e-06	0.000358344383114053
ENSG00000163071.6	SPATA18	0.0310174899915945	5.58308302250006e-13	2.5668224195944e-09
ENSG00000138767.8	CNOT6L	0.0158131949582822	3.57807569897499e-07	9.53634958031159e-05
ENSG00000145362.12	ANK2	-0.0209772575697454	1.90673325218543e-06	0.000269729419289923
ENSG00000150630.2	VEGFC	0.0199756688457997	7.34045658080614e-08	3.7497499033618e-05
ENSG00000151718.11	WWC2	0.0218058755869838	7.48879743287482e-07	0.000151339543725899
ENSG00000245685.2	AF146191.4	0.0186638685873319	7.06038806433428e-06	0.000609579983582664
ENSG00000261604.1	CTD-2636A23.2	-0.0211997583996035	2.41119546059177e-06	0.000312221971324549
ENSG00000113161.11	HMGCR	-0.0207613642404611	2.57533394172868e-07	8.25789193721961e-05
ENSG00000198677.6	TTC37	0.0238340429959448	3.00177048124387e-07	8.53633798786654e-05
ENSG00000145782.8	ATG12	0.0182227432231586	2.42782718321971e-06	0.000312221971324549
ENSG00000064652.6	SNX24	0.0186541419561986	1.60783870491161e-06	0.000249328902618481
ENSG00000244921.2	CTB-36O1.7	-0.0204875825078418	4.8867340831141e-06	0.00048576778264037
ENSG00000120729.5	MYOT	-0.0224079968468324	2.73614156177947e-07	8.38627388685408e-05
ENSG00000146013.6	GFRA3	-0.0223909260154213	1.20133560684955e-06	0.000210405350571078
