ensembl_gene_id	IMPI_2018	MitoCarta2.0	GO_0005739	chromosome_name	start_position	end_position	hgnc_symbol	hg38_chromosome_name	hg38_start_position	hg38_end_position	hg38_hgnc_symbol
ENSG00000000938	FALSE	FALSE	TRUE	1	27938575	27961788	FGR	1	27612064	27635277	FGR
ENSG00000001460	FALSE	FALSE	TRUE	1	24683489	24743424	STPG1	1	24356999	24416934	STPG1
ENSG00000002330	TRUE	TRUE	TRUE	11	64037302	64052176	BAD	11	64269830	64284704	BAD
ENSG00000002549	TRUE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000003509	TRUE	TRUE	TRUE	2	37458774	37480546	NDUFAF7	2	37231631	37253403	NDUFAF7
ENSG00000004059	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000004139	TRUE	FALSE	TRUE	17	26691378	26728065	SARM1	17	28364356	28404049	SARM1
ENSG00000004142	TRUE	TRUE	TRUE	17	26673659	26684545	POLDIP2	17	28347177	28357522	POLDIP2
ENSG00000004455	TRUE	TRUE	TRUE	1	33473585	33546597	AK2	1	33007940	33080996	AK2
ENSG00000004468	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000004478	TRUE	FALSE	TRUE	12	2904119	2914576	FKBP4	12	2794953	2805423	FKBP4
ENSG00000004779	TRUE	TRUE	TRUE	16	23592323	23607677	NDUFAB1	16	23581002	23596356	NDUFAB1
ENSG00000004799	TRUE	TRUE	TRUE	7	95212811	95225803	PDK4	7	95583499	95596491	PDK4
ENSG00000004864	TRUE	TRUE	TRUE	7	95749532	95951459	SLC25A13	7	96120220	96322147	SLC25A13
ENSG00000004961	TRUE	TRUE	TRUE	X	11129421	11141198	HCCS	X	11111301	11123078	HCCS
ENSG00000005022	TRUE	TRUE	TRUE	X	118602363	118605282	SLC25A5	X	119468400	119471319	SLC25A5
ENSG00000005059	TRUE	TRUE	TRUE	NA	NA	NA	NA	4	109560205	109688726	MCUB
ENSG00000005156	TRUE	FALSE	TRUE	17	33307513	33332083	LIG3	17	34980494	35009743	LIG3
ENSG00000005187	TRUE	TRUE	TRUE	16	20621565	20808903	ACSM3	16	20610243	20797581	ACSM3
ENSG00000005194	FALSE	FALSE	TRUE	16	57462081	57481440	CIAPIN1	16	57428169	57447528	CIAPIN1
ENSG00000005379	TRUE	FALSE	TRUE	NA	NA	NA	NA	17	58301228	58328760	TSPOAP1
ENSG00000005469	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000005882	TRUE	TRUE	TRUE	17	48172101	48189516	PDK2	17	50094737	50112152	PDK2
ENSG00000005884	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000006071	FALSE	FALSE	TRUE	11	17414432	17498449	ABCC8	11	17392498	17476879	ABCC8
ENSG00000006125	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000006282	TRUE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000006451	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000006530	TRUE	TRUE	TRUE	7	141250989	141355044	AGK	7	141551189	141655244	AGK
ENSG00000006695	TRUE	TRUE	TRUE	17	13972813	14111994	COX10	17	14069496	14208677	COX10
ENSG00000006744	TRUE	TRUE	TRUE	17	12895708	12921504	ELAC2	17	12992391	13018187	ELAC2
ENSG00000006757	TRUE	FALSE	TRUE	X	7866288	7895780	PNPLA4	X	7898247	7927739	PNPLA4
ENSG00000007202	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000007516	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000007923	TRUE	TRUE	TRUE	1	6694228	6761984	DNAJC11	1	6634168	6701924	DNAJC11
ENSG00000008083	FALSE	FALSE	TRUE	6	15246527	15522252	JARID2	6	15246296	15522040	JARID2
ENSG00000008311	TRUE	TRUE	TRUE	7	121715701	121784334	AASS	7	122075647	122144280	AASS
ENSG00000008394	TRUE	TRUE	TRUE	12	16500076	16762193	MGST1	12	16347142	16609259	MGST1
ENSG00000008405	TRUE	TRUE	TRUE	12	107385142	107487607	CRY1	12	106991364	107093829	CRY1
ENSG00000010256	TRUE	TRUE	TRUE	3	48636435	48648409	UQCRC1	3	48599002	48610976	UQCRC1
ENSG00000010810	FALSE	FALSE	TRUE	6	111981535	112194655	FYN	6	111660332	111873452	FYN
ENSG00000011052	TRUE	FALSE	TRUE	17	49230951	49249105	NME2	NA	NA	NA	NA
ENSG00000011295	TRUE	TRUE	TRUE	17	15902694	15948329	TTC19	17	15999380	16045015	TTC19
ENSG00000011376	TRUE	TRUE	TRUE	3	45429998	45590913	LARS2	3	45388506	45549421	LARS2
ENSG00000013306	TRUE	TRUE	TRUE	17	42396993	42402238	SLC25A39	17	44319625	44324870	SLC25A39
ENSG00000013583	TRUE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000014216	FALSE	FALSE	TRUE	11	64948037	64979477	CAPN1	11	65180566	65212006	CAPN1
ENSG00000014641	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000014824	TRUE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000014919	TRUE	TRUE	TRUE	10	101471601	101491857	COX15	10	99711844	99732100	COX15
ENSG00000015475	FALSE	TRUE	TRUE	22	18216906	18257536	BID	22	17734138	17774770	BID
ENSG00000016391	TRUE	TRUE	TRUE	3	53846362	53880417	CHDH	3	53812335	53846390	CHDH
ENSG00000018510	FALSE	FALSE	TRUE	2	178257372	178408564	AGPS	2	177392644	177559299	AGPS
ENSG00000019186	TRUE	TRUE	TRUE	20	52769988	52790512	CYP24A1	20	54153449	54173973	CYP24A1
ENSG00000021826	TRUE	TRUE	TRUE	2	211342406	211543831	CPS1	2	210477682	210679107	CPS1
ENSG00000022267	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000023228	TRUE	TRUE	TRUE	2	206979541	207024327	NDUFS1	2	206114817	206159603	NDUFS1
ENSG00000023330	TRUE	TRUE	TRUE	3	52232102	52248343	ALAS1	3	52198086	52214327	ALAS1
ENSG00000023572	TRUE	TRUE	TRUE	1	193065598	193075244	GLRX2	1	193090866	193106114	GLRX2
ENSG00000025708	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000025772	TRUE	TRUE	TRUE	20	43570771	43589127	TOMM34	20	44942130	44960486	TOMM34
ENSG00000026025	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000026652	TRUE	FALSE	TRUE	6	161551011	161695093	AGPAT4	6	161129979	161274061	AGPAT4
ENSG00000027001	TRUE	TRUE	TRUE	13	24304328	24463558	MIPEP	13	23730189	23889419	MIPEP
ENSG00000028116	TRUE	FALSE	TRUE	2	58134786	58387055	VRK2	2	57907629	58159920	VRK2
ENSG00000029639	TRUE	TRUE	TRUE	6	155578643	155635627	TFB1M	6	155257509	155314493	TFB1M
ENSG00000030110	TRUE	TRUE	TRUE	6	33540329	33548019	BAK1	6	33572547	33580293	BAK1
ENSG00000033050	TRUE	TRUE	TRUE	7	150904923	150924316	ABCF2	7	151212490	151227230	ABCF2
ENSG00000034971	FALSE	FALSE	TRUE	1	171604557	171621823	MYOC	1	171635417	171652683	MYOC
ENSG00000035141	TRUE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000035720	FALSE	FALSE	TRUE	4	68424446	68473055	STAP1	4	67558728	67607337	STAP1
ENSG00000036448	TRUE	FALSE	TRUE	8	1993155	2113475	MYOM2	8	2045040	2165552	MYOM2
ENSG00000036473	TRUE	TRUE	TRUE	X	38211798	38280703	OTC	X	38352545	38421450	OTC
ENSG00000039560	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000039650	TRUE	FALSE	TRUE	19	50364461	50371166	PNKP	19	49859882	49878351	PNKP
ENSG00000041988	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000042286	FALSE	TRUE	TRUE	10	71857979	71892690	AIFM2	10	70098223	70132934	AIFM2
ENSG00000042317	FALSE	FALSE	TRUE	14	88851268	88936694	SPATA7	14	88384924	88470350	SPATA7
ENSG00000042980	FALSE	FALSE	TRUE	8	24151553	24216531	ADAM28	8	24294040	24359018	ADAM28
ENSG00000043514	TRUE	TRUE	TRUE	1	40306723	40349183	TRIT1	1	39838110	39883511	TRIT1
ENSG00000044574	TRUE	FALSE	TRUE	9	127997132	128003609	HSPA5	9	125234853	125241330	HSPA5
ENSG00000047230	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000048392	FALSE	FALSE	TRUE	8	103216730	103251346	RRM2B	8	102204502	102239118	RRM2B
ENSG00000048544	TRUE	TRUE	TRUE	6	42174539	42185603	MRPS10	6	42206801	42217865	MRPS10
ENSG00000048707	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000049883	TRUE	TRUE	TRUE	5	71616194	71656052	PTCD2	5	72320367	72368395	PTCD2
ENSG00000050393	TRUE	TRUE	TRUE	6	13786789	13814800	MCUR1	6	13786557	13814568	MCUR1
ENSG00000050426	TRUE	TRUE	TRUE	12	51441745	51454207	LETMD1	12	51047962	51060424	LETMD1
ENSG00000050748	FALSE	FALSE	TRUE	5	179660143	179719099	MAPK9	5	180233143	180292099	MAPK9
ENSG00000051180	TRUE	FALSE	TRUE	15	40986972	41024354	RAD51	15	40694774	40732339	RAD51
ENSG00000051620	FALSE	FALSE	TRUE	6	138724668	138743334	HEBP2	6	138403531	138422197	HEBP2
ENSG00000053371	TRUE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000054523	TRUE	TRUE	TRUE	1	10270863	10441661	KIF1B	1	10210805	10381603	KIF1B
ENSG00000054654	FALSE	FALSE	TRUE	14	64319683	64693165	SYNE2	14	63852983	64226433	SYNE2
ENSG00000055950	TRUE	TRUE	TRUE	10	102729215	102747272	MRPL43	10	100969458	100987515	MRPL43
ENSG00000059573	TRUE	TRUE	TRUE	10	97365696	97416463	ALDH18A1	10	95605929	95656706	ALDH18A1
ENSG00000059691	TRUE	TRUE	TRUE	NA	NA	NA	NA	4	151670504	151761023	GATB
ENSG00000059728	FALSE	FALSE	TRUE	2	70124820	70170077	MXD1	2	69897688	69942945	MXD1
ENSG00000060762	TRUE	TRUE	TRUE	6	166778407	166796486	MPC1	6	166364919	166383013	MPC1
ENSG00000060971	TRUE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000060982	TRUE	FALSE	TRUE	12	24964295	25102393	BCAT1	12	24810022	24949459	BCAT1
ENSG00000061794	TRUE	TRUE	TRUE	12	27863706	27909228	MRPS35	12	27710773	27756295	MRPS35
ENSG00000062282	FALSE	FALSE	TRUE	11	75470557	75512579	DGAT2	11	75759512	75801535	DGAT2
ENSG00000062485	TRUE	TRUE	TRUE	12	56665483	56694176	CS	12	56271699	56300392	CS
ENSG00000062582	TRUE	TRUE	TRUE	7	43906157	43909492	MRPS24	7	43866558	43869893	MRPS24
ENSG00000063177	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000063241	TRUE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000063761	TRUE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000063854	TRUE	TRUE	TRUE	16	1845621	1877195	HAGH	16	1795620	1827194	HAGH
ENSG00000064012	FALSE	TRUE	TRUE	2	202098166	202152434	CASP8	2	201233443	201287711	CASP8
ENSG00000064655	FALSE	FALSE	TRUE	20	45523263	45817492	EYA2	20	46894624	47188844	EYA2
ENSG00000065057	FALSE	TRUE	TRUE	16	2089816	2097867	NTHL1	16	2039815	2047866	NTHL1
ENSG00000065060	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000065154	TRUE	TRUE	TRUE	10	126085872	126107545	OAT	10	124397303	124418976	OAT
ENSG00000065413	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000065427	TRUE	TRUE	TRUE	16	75661622	75682541	KARS	16	75627474	75648643	KARS
ENSG00000065518	TRUE	TRUE	TRUE	3	120315156	120321347	NDUFB4	3	120596309	120602500	NDUFB4
