GeneSymbol	Age.Coef	p.value	FDR
ENSG00000234546.2	RP3-510D11.2	0.0249686969586339	1.5520911109005e-09	1.06901613272851e-06
ENSG00000120942.9	UBIAD1	-0.0164074869880971	7.27328931539327e-06	0.000578791556915
ENSG00000133216.12	EPHB2	-0.0169213710815065	2.73192970331006e-06	0.000308291321434548
ENSG00000272796.1	RP1-74M1.3	-0.0237932463513762	9.93998397749469e-10	7.35337925801774e-07
ENSG00000162419.8	GMEB1	-0.0167307194667801	8.61886755935355e-06	0.000649128180783991
ENSG00000160094.10	ZNF362	-0.0185038681240896	7.45199930581134e-07	0.000127298390781986
ENSG00000116819.6	TFAP2E	0.0151653792345674	5.51584385326396e-06	0.000487493208518117
ENSG00000162415.6	ZSWIM5	-0.0128697208242547	1.30630323527525e-05	0.000856848156098122
ENSG00000198841.3	KTI12	-0.0155204881431789	8.86629782080496e-06	0.000651086149532199
ENSG00000162639.11	HENMT1	-0.0192283888838957	4.87457626816717e-10	4.41701684496535e-07
ENSG00000162650.11	ATXN7L2	0.0161737569826364	1.24191457935258e-05	0.000832999280787686
ENSG00000143067.4	ZNF697	-0.0196882319129886	1.92166400921868e-07	4.98484635326413e-05
ENSG00000178104.15	PDE4DIP	0.0187266473324346	7.25138355431815e-09	3.90451816547902e-06
ENSG00000116128.5	BCL9	-0.0245191307035137	1.33819575683848e-11	2.42992018609925e-08
ENSG00000169418.9	NPR1	-0.0198647343103049	1.59152615807391e-07	4.35467718922854e-05
ENSG00000163564.10	PYHIN1	0.0212803721839804	4.04026952982844e-12	8.07003435887932e-09
ENSG00000185630.14	PBX1	-0.0172207969425052	1.33948213481342e-08	6.68870404019083e-06
ENSG00000007933.8	FMO3	0.0205584015791239	3.54356409171153e-07	8.32695872562895e-05
ENSG00000116679.11	IVNS1ABP	0.0195340868001228	4.91243253808675e-07	0.000102139189071757
ENSG00000162702.7	ZNF281	-0.0141421845456794	7.24935349634239e-06	0.000578791556915
ENSG00000133059.12	DSTYK	-0.0155588693927292	4.22908551559918e-06	0.000406466876939074
ENSG00000143476.13	DTL	-0.0162422175455154	3.82809502635341e-06	0.000382311850281915
ENSG00000065600.8	TMEM206	0.0165680441401734	7.15745625216182e-08	2.46487984794276e-05
ENSG00000177788.5	RP5-1061H20.4	0.0172694067607957	8.04493016728105e-07	0.000132801186083696
ENSG00000212916.3	MAP10	-0.0217931519974746	1.74710747740423e-10	1.83666972387748e-07
ENSG00000143653.9	SCCPDH	0.0156173132379772	5.46304167689131e-06	0.000487137475242085
ENSG00000270640.1	RP11-373D23.2	0.0175143022603161	5.44790946898774e-07	0.0001073171696327
ENSG00000231312.2	AC007246.3	0.0152465295949875	3.46126924593545e-06	0.000356367999578942
ENSG00000250116.2	RP11-417F21.1	0.0157559081836047	5.37738237861817e-06	0.000483819079416754
ENSG00000173209.18	AHSA2	0.0155598132629665	1.13686263107783e-06	0.000162197815665347
ENSG00000197329.7	PELI1	0.013633486695341	1.63711597366321e-05	0.000987907989666129
ENSG00000135636.9	DYSF	-0.0189754794535117	1.28437847238992e-06	0.000174518201411675
ENSG00000163013.7	FBXO41	0.0218143602032938	5.05729835672639e-08	1.90593353541987e-05
ENSG00000158050.4	DUSP2	0.0181734738003082	1.52008374725493e-07	4.21696566217638e-05
ENSG00000234389.1	AC007278.3	0.0194592865241157	5.33435768499714e-08	1.97094115656204e-05
ENSG00000163331.6	DAPL1	0.0226518497484289	2.07308726983803e-09	1.33573693960467e-06
ENSG00000013441.11	CLK1	0.0138361959047411	1.31697398579215e-05	0.000856848156098122
ENSG00000144579.3	CTDSP1	-0.0209470174968409	2.82620842529612e-09	1.76408397146452e-06
ENSG00000235070.3	AC068138.1	-0.0256526836299228	1.19746121255281e-10	1.4069464858547e-07
ENSG00000169031.14	COL4A3	0.0172631661948815	1.22709306208157e-07	3.45210659465033e-05
ENSG00000224287.2	MSL3P1	-0.023949761862836	8.67067908898844e-13	1.92431271248284e-09
ENSG00000144596.7	GRIP2	0.0205037984494664	7.42824122800655e-09	3.90451816547902e-06
ENSG00000154783.6	FGD5	-0.0210394351564571	1.99509775681253e-08	9.05683695331216e-06
ENSG00000186446.7	ZNF501	-0.016512211678375	2.6521357776099e-06	0.000302707200125601
ENSG00000177352.9	CCDC71	-0.0148206298362445	9.18859358099833e-06	0.000662573892371338
ENSG00000185614.4	FAM212A	-0.0178987463603333	9.97036417180103e-07	0.000148673489069211
ENSG00000164080.9	RAD54L2	-0.0103720251236651	1.63348814638221e-05	0.000987907989666129
ENSG00000164086.8	DUSP7	-0.0192215185933223	5.73247975347206e-08	2.04465268921162e-05
ENSG00000175161.9	CADM2	0.0169506103322898	1.24278454828643e-05	0.000832999280787686
ENSG00000144847.8	IGSF11	0.0227041595927432	4.0092569465933e-09	2.28802566432156e-06
ENSG00000047457.9	CP	0.0195007489942098	2.56582323630205e-08	1.06770319420619e-05
ENSG00000184378.2	ACTRT3	-0.0190247734262273	6.26456419816255e-07	0.000116942434854298
ENSG00000172667.6	ZMAT3	0.0313575001758913	1.69948219639359e-18	6.7890914781531e-15
ENSG00000058056.4	USP13	-0.0159177282148295	4.34892825939233e-07	9.44190141881548e-05
ENSG00000145198.10	VWA5B2	0.0185417854805755	8.69081523673656e-06	0.000649128180783991
ENSG00000185112.4	FAM43A	-0.0167270388637367	1.97655165787402e-07	5.0614926685097e-05
ENSG00000174004.5	NRROS	-0.0126632363373625	1.165381317484e-05	0.000797168713541964
ENSG00000185818.7	NAT8L	-0.0175267905015379	1.44558333398597e-05	0.000919556736083944
