GeneSymbol	Age.Coef	p.value	FDR
ENSG00000185436.7	IFNLR1	-0.0321366315356766	1.09055734416371e-06	0.00037539616165911
ENSG00000169218.9	RSPO1	0.0325780321616604	2.09853231674515e-06	0.000532842456652259
ENSG00000142949.12	PTPRF	-0.0297796889997962	4.01412938518937e-06	0.000684975155344493
ENSG00000237424.1	FOXD2-AS1	0.0319782321092462	1.07231000950002e-06	0.00037539616165911
ENSG00000085832.12	EPS15	0.0310744988637424	4.58262447709929e-07	0.000198895864533233
ENSG00000117114.15	LPHN2	0.0367702333370954	3.47359893976223e-08	6.21855527346865e-05
ENSG00000188641.8	DPYD	0.0310512698610854	9.0844243144131e-06	0.000971358048980328
ENSG00000168679.13	SLC16A4	0.0327445283293034	1.69725367337438e-06	0.000477262951956613
ENSG00000143437.16	ARNT	0.0317772740091419	3.04082405809051e-06	0.000625876828038939
ENSG00000163141.14	BNIPL	-0.0315750590831873	3.32366238529568e-06	0.000655148208792989
ENSG00000196189.8	SEMA4A	-0.030464757114697	8.9169413254525e-06	0.000971358048980328
ENSG00000181036.9	FCRL6	0.0290884285892827	8.338155010383e-06	0.000945859458990321
ENSG00000143162.7	CREG1	0.0336491859329319	1.95942472850464e-06	0.000521198534626345
ENSG00000007933.8	FMO3	0.0337623455212368	1.20870081055178e-06	0.000383043042582003
ENSG00000116701.10	NCF2	0.0275841637115591	9.81229869297725e-06	0.000994429154341577
ENSG00000143344.11	RGL1	0.0313097866578686	4.48937068069837e-06	0.000733670407547612
ENSG00000162687.12	KCNT2	0.0293780914880394	5.50642479718366e-06	0.000836742166417559
ENSG00000081237.14	PTPRC	0.0261781560823538	7.10948749240197e-06	0.000873772355698482
ENSG00000162711.12	NLRP3	0.0297838331051302	9.03598561802296e-06	0.000971358048980328
ENSG00000084676.11	NCOA1	0.0336105145837165	1.13567070933449e-06	0.000376270603536321
ENSG00000115956.9	PLEK	0.0295472879182698	3.60774990570708e-06	0.000666932656180018
ENSG00000225439.2	BOLA3-AS1	0.0309756300667273	9.2437956475091e-06	0.000978229893736649
ENSG00000115598.5	IL1RL2	-0.0360798436193831	4.95175049121457e-08	6.51300251282507e-05
ENSG00000213225.6	AC018804.7	-0.0294363523423895	2.99784888957786e-06	0.000623458886254396
ENSG00000115165.5	CYTIP	0.0285247707530406	4.47077106791418e-06	0.000733670407547612
ENSG00000172845.9	SP3	0.0290078027057528	3.27913619828258e-06	0.000655148208792989
ENSG00000138395.10	CDK15	0.029638722651314	6.6722447482343e-06	0.000863443603231401
ENSG00000153823.14	PID1	0.0325684667189576	8.10512876316105e-07	0.000315928502899555
ENSG00000144619.10	CNTN4	0.0337439874225697	3.41129124484819e-07	0.000184071431630795
ENSG00000172986.8	GXYLT2	0.0311266986903322	6.0781021958624e-06	0.000848596575806942
ENSG00000163320.6	CGGBP1	0.0303830952183652	9.09811946703338e-06	0.000971358048980328
ENSG00000144810.11	COL8A1	0.0358846363801817	1.47869062081045e-07	0.000140581229735622
ENSG00000163710.3	PCOLCE2	0.0348969215976326	2.2748946988174e-07	0.000162208116649605
ENSG00000180044.3	C3orf80	0.0319240867414393	3.39650718822246e-06	0.000655148208792989
ENSG00000172667.6	ZMAT3	0.0421001684144927	5.16140283766554e-10	1.03047407653993e-05
ENSG00000157869.10	RAB28	0.0285765650647731	4.57053146906691e-06	0.000735892425644522
ENSG00000145147.15	SLIT2	0.032054730674254	1.88202344466272e-06	0.000507764838820152
ENSG00000248144.1	ADH1C	0.0327406523977176	2.169115352007e-06	0.000532842456652259
ENSG00000138738.6	PRDM5	0.03104664100637	4.27573772604149e-07	0.000198895864533233
ENSG00000250241.1	RP11-9G1.3	0.035312604179925	1.46163195905268e-08	5.83629641249736e-05
ENSG00000138650.7	PCDH10	0.0339496312538173	1.36880858295507e-07	0.00013664131679349
ENSG00000137460.4	FHDC1	-0.0340836081815282	7.31499576279992e-07	0.000304258105008959
ENSG00000145431.6	PDGFC	0.0340996116257241	4.06221515794056e-07	0.000198895864533233
ENSG00000109738.6	GLRB	0.0373305943401369	2.98410791510442e-08	6.21855527346865e-05
ENSG00000082074.11	FYB	0.0301860995469904	5.45194187915798e-07	0.000231591531100828
ENSG00000164294.9	GPX8	0.0320718868396983	3.41274298594896e-06	0.000655148208792989
ENSG00000086200.12	IPO11	0.0304787727515403	2.72817613222423e-06	0.000573347752419544
ENSG00000164176.8	EDIL3	0.0334096585818404	1.40058464557966e-06	0.000417353320134299
ENSG00000237187.4	NR2F1-AS1	0.0318984333969245	1.30906444799226e-06	0.00039877054440639
ENSG00000168944.11	CEP120	0.030472250374363	2.71779948884367e-06	0.000573347752419544
ENSG00000255622.1	PCDHB17	0.0305555615611794	4.72343563275428e-06	0.000754427139263514
ENSG00000196963.2	PCDHB16	0.0310196992479039	9.79896068218223e-06	0.000994429154341577
ENSG00000177839.4	PCDHB9	0.0320082070642791	3.54193398907088e-06	0.000664566051857808
ENSG00000120324.4	PCDHB10	0.0326438717460218	3.8857038251386e-06	0.000684975155344493
ENSG00000120327.4	PCDHB14	0.0349029943219461	4.08978172267923e-07	0.000198895864533233
ENSG00000081853.13	PCDHGA2	0.0327742998365855	3.87435879094947e-06	0.000684975155344493
ENSG00000055163.14	CYFIP2	0.0315551807634484	1.98402647791646e-06	0.000521198534626345
ENSG00000134516.11	DOCK2	0.0302276354948066	1.1496372058961e-06	0.000376270603536321
ENSG00000043462.7	LCP2	0.0308096378531349	1.8723900947368e-06	0.000507764838820152
ENSG00000168246.5	UBTD2	0.0345692187720019	1.82916279148832e-07	0.000152194113708869
ENSG00000170085.13	SIMC1	0.0313181903680636	2.20838267105438e-06	0.000532842456652259
ENSG00000214113.6	LYRM4	0.0271216679890676	8.27140843421191e-06	0.000945859458990321
ENSG00000124731.8	TREM1	0.0260312640872228	5.54252436470731e-06	0.000836742166417559
