GeneID	EnsemblGeneID	Symbol	Description	Synonyms	Maestro score	FDR	Evidence	Tissues
64757	ENSG00000145416	MARCH1	mitochondrial amidoxime reducing component 1	"MOSC1, Q5VT66"	7	2%	"mito protein domain+, MS/MS"	"cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"
54996	ENSG00000099785	MARCH2	mitochondrial amidoxime reducing component 2	"MOSC2, RP11-270A6.1, Q969Z3"	19	0%	"literature, targetP signal, mito protein domain+, induction, coexpression, MS/MS++"	all 14
54708	ENSG00000198060	MARCH5	membrane-associated ring finger (C3HC4) 5	"MARCH-V, MITOL, RNF153, Q9NX47"	3	12%	"literature, mito protein domain, coexpression, MS/MS"	"cerebrum, cerebellum, brainstem, spinalcord, liver, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"
5414	ENSG00000108387	SEPT4	septin 4	"ARTS, BRADEION, CE5B3, H5, MART, PNUTL2, SEP4, hCDCREL-2, O43236"	-2	51%	"literature, mito protein domain"	"brainstem, spinalcord"
51166	ENSG00000109576	AADAT	aminoadipate aminotransferase	"KAT2, KATII, Q8N5Z0"	13	0%	"targetP signal, Rickettsial homolog, mito protein domain, coexpression, MS/MS++"	"kidney, liver"
57505	ENSG00000124608	AARS2	"alanyl-tRNA synthetase 2, mitochondrial"	"AARSL, COXPD8, MT-ALARS, MTALARS, Q5JTZ9"	11	0%	"literature, APEX_matrix, targetP signal+, Rickettsial homolog, mito protein domain, MS/MS"	"cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"
10157	ENSG00000008311	AASS	aminoadipate-semialdehyde synthase	"LKR/SDH, LKRSDH, LORSDH, Q9UDR5"	13	0%	"APEX_matrix, targetP signal, mito protein domain, coexpression, MS/MS++"	"cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, adipose, largeintestine, stomach, placenta, testis"
18	ENSG00000183044	ABAT	4-aminobutyrate aminotransferase	"GABA-AT, GABAT, NPD009, P80404"	10	0%	"literature, APEX_matrix, targetP signal, mito protein domain, MS/MS++"	"cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, heart, adipose, smallintestine, largeintestine, stomach, placenta, testis"
154664	ENSG00000179869	ABCA13	"ATP-binding cassette, sub-family A (ABC1), member 13"	Q86UQ4	8	2%	"yeast mito homolog+, Rickettsial homolog, mito protein domain, MS/MS"	"cerebrum, brainstem, spinalcord, kidney, liver, adipose"
10350	ENSG00000154258	ABCA9	"ATP-binding cassette, sub-family A (ABC1), member 9"	"EST640918, Q8IUA7"	5	5%	"GFP, yeast mito homolog, Rickettsial homolog, mito protein domain"	"cerebrum, placenta"
23456	ENSG00000135776	ABCB10	"ATP-binding cassette, sub-family B (MDR/TAP), member 10"	"EST20237, M-ABC2, MTABC2, Q9NRK6"	18	0%	"literature, APEX_matrix, yeast mito homolog+, Rickettsial homolog, mito protein domain, induction, coexpression, MS/MS+"	"cerebellum, spinalcord, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"
10058	ENSG00000115657	ABCB6	"ATP-binding cassette, sub-family B (MDR/TAP), member 6"	"ABC, ABC14, DUH3, LAN, MCOPCB7, MTABC3, PRP, umat, Q9NP58"	12	0%	"literature, yeast mito homolog+, Rickettsial homolog, mito protein domain, coexpression, MS/MS"	"cerebrum, brainstem, liver, largeintestine, stomach, placenta, testis"
22	ENSG00000131269	ABCB7	"ATP-binding cassette, sub-family B (MDR/TAP), member 7"	"ABC7, ASAT, Atm1p, EST140535, O75027"	23	0%	"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain, coexpression+, MS/MS+"	all 14
11194	ENSG00000197150	ABCB8	"ATP-binding cassette, sub-family B (MDR/TAP), member 8"	"EST328128, M-ABC1, MABC1, Q9NUT2"	27	0%	"literature, targetP signal+, Rickettsial homolog, mito protein domain, coexpression++, MS/MS++"	all 14
