GeneSymbol	Age.Coef	p.value	FDR
ENSG00000142765.13	SYTL1	0.0486306481621039	9.03144981766307e-10	8.56723329703519e-06
ENSG00000152092.11	ASTN1	-0.0390248094833158	2.01600444178996e-06	0.000854435937129566
ENSG00000273209.1	RP11-107N15.1	0.038695404066249	1.28461670489752e-06	0.000786185423397281
ENSG00000144583.4	MARCH4	-0.0427821594421277	8.22652409153943e-07	0.000602460335863167
ENSG00000187736.8	NHEJ1	0.0419734438341449	3.94261730133291e-07	0.000575379503391446
ENSG00000178149.12	DALRD3	-0.0397085225556933	2.08623173418236e-06	0.000854435937129566
ENSG00000174473.11	GALNTL6	-0.0439246122401501	8.57391369824242e-07	0.000602460335863167
ENSG00000272093.1	CTC-365E16.1	-0.0404118784481817	7.77614186921083e-07	0.000602460335863167
ENSG00000164398.8	ACSL6	-0.0316336013734651	1.72563317174734e-08	5.45645208906509e-05
ENSG00000231389.3	HLA-DPA1	0.0387730398340037	1.73278973206422e-06	0.000854435937129566
ENSG00000223865.6	HLA-DPB1	0.0409515152333729	7.69665356732393e-07	0.000602460335863167
ENSG00000112320.7	SOBP	-0.0348123042244486	1.74382225419438e-06	0.000854435937129566
ENSG00000132434.5	LANCL2	-0.0403878024188369	1.39100732311959e-08	5.27803818684497e-05
ENSG00000253642.1	RP11-317N12.1	0.0458534309466359	3.4419055152951e-10	6.52998314361787e-06
ENSG00000153317.10	ASAP1	-0.0363677850991817	7.43436307285267e-07	0.000602460335863167
ENSG00000185963.9	BICD2	-0.040846688799569	2.01863542487756e-06	0.000854435937129566
ENSG00000154478.3	GPR26	-0.0495868055208172	3.90912145009857e-09	1.85409630378175e-05
ENSG00000151650.7	VENTX	0.0519452558523324	3.81075535823696e-09	1.85409630378175e-05
ENSG00000177963.8	RIC8A	-0.0407883174343076	5.11970193771092e-07	0.000602460335863167
ENSG00000110077.10	MS4A6A	0.0444125651187165	5.33714891869738e-08	0.000112507099206141
ENSG00000255836.1	RP11-157G21.2	-0.0446732775981932	7.95051676172066e-07	0.000602460335863167
ENSG00000111249.9	CUX2	-0.0388079563669797	1.80405425195375e-06	0.000854435937129566
ENSG00000176871.4	WSB2	-0.0395677841709693	1.7152733175939e-06	0.000854435937129566
ENSG00000022840.11	RNF10	-0.0376599386477614	8.12707352837202e-07	0.000602460335863167
ENSG00000110931.14	CAMKK2	-0.0411848188578335	2.18981593256723e-06	0.000865524747347196
ENSG00000139364.6	TMEM132B	-0.0381311984959147	2.04227573806843e-06	0.000854435937129566
ENSG00000087299.7	L2HGDH	-0.0369064241255646	2.43006894617226e-06	0.000892260640316987
ENSG00000187446.7	CHP1	-0.0432554042481939	8.33930136133354e-07	0.000602460335863167
ENSG00000185088.8	RPS27L	0.0433507900110775	7.07133226712056e-08	0.000128328822688133
ENSG00000140368.8	PSTPIP1	0.0482850672044878	7.44052840801952e-08	0.000128328822688133
ENSG00000166847.5	DCTN5	-0.0393107732271825	5.01341851911592e-07	0.000602460335863167
ENSG00000166451.9	CENPN	-0.032312422417067	1.67721435685381e-06	0.000854435937129566
ENSG00000182327.7	GLTPD2	-0.0372600103722939	2.5075933340281e-06	0.000892260640316987
ENSG00000129194.3	SOX15	0.0323243152738107	2.11672406942281e-06	0.000854435937129566
ENSG00000073536.13	NLE1	-0.0385639129694192	1.99526801136306e-06	0.000854435937129566
ENSG00000263878.1	DLGAP1-AS4	-0.0425137485798606	2.68073247407064e-06	0.000892260640316987
ENSG00000101222.8	SPEF1	-0.0366283115754374	8.26305561785774e-07	0.000602460335863167
ENSG00000101898.5	RP3-324O17.4	-0.0441267270692815	1.17792718405713e-06	0.000744921151197727
ENSG00000125967.12	NECAB3	-0.0394868244460298	6.00431456719333e-07	0.000602460335863167
ENSG00000160213.5	CSTB	0.0378711668626053	2.61290325012665e-06	0.000892260640316987
ENSG00000221890.2	NPTXR	-0.04065927578176	1.41549175409887e-06	0.000839209673711369
ENSG00000102225.11	CDK16	-0.035489203472554	2.35033823776181e-06	0.000892260640316987
ENSG00000131080.10	EDA2R	0.0441581484273692	1.29291407763125e-07	0.0002044097156735
ENSG00000197021.4	CXorf40B	-0.0370915399217495	2.58895597708004e-06	0.000892260640316987
ENSG00000210100.1	MT-TI	0.0438603900563778	4.29906318550751e-08	0.000101952283444311
