GeneSymbol	Age.Coef	p.value	FDR
ENSG00000188976.6	NOC2L	0.0176181064303251	2.97650504226157e-06	1.93868889536568e-05
ENSG00000187961.9	KLHL17	0.0234792748411914	6.30216326513766e-09	3.85606938765202e-07
ENSG00000131591.13	C1orf159	0.0234744968323116	2.7354975191054e-09	2.37393523435394e-07
ENSG00000186891.9	TNFRSF18	0.0202923664620631	9.22779095206927e-07	8.36467679522161e-06
ENSG00000186827.6	TNFRSF4	0.0178661742059764	1.365997327992e-05	6.29588299272405e-05
ENSG00000160087.16	UBE2J2	-0.0151236192555558	3.23419082977242e-05	0.000125306454472535
ENSG00000131584.14	ACAP3	0.0162363544928948	1.77909012490503e-08	6.69012015719497e-07
ENSG00000127054.14	CPSF3L	0.0139693422164786	2.06731055141448e-06	1.49110711101025e-05
ENSG00000224051.2	GLTPD1	-0.0148089257113741	3.19021886307478e-06	2.04468532546826e-05
ENSG00000107404.13	DVL1	0.0198099127011519	7.1151249567813e-07	7.03715098465219e-06
ENSG00000221978.7	CCNL2	0.0177519939354031	8.22075170564473e-09	4.4157239876068e-07
ENSG00000224870.3	RP4-758J18.2	-0.0148506399217375	1.33717693770656e-05	6.19269883915416e-05
ENSG00000272455.1	RP4-758J18.13	-0.0177843481304282	1.77182198279019e-07	2.73637534026635e-06
ENSG00000160072.15	ATAD3B	0.0197345468884314	1.13980419158743e-06	9.66457576425274e-06
ENSG00000197785.9	ATAD3A	0.0190888500458295	2.21275295311827e-07	3.17615831441628e-06
ENSG00000160075.10	SSU72	-0.0169975659865025	1.01332740930782e-06	8.87891249417772e-06
ENSG00000197530.8	MIB2	0.0154937963396129	8.29578858151158e-07	7.80907347568626e-06
ENSG00000248333.3	CDK11B	0.0116927719021644	1.47759099734358e-05	6.68236125984264e-05
ENSG00000157916.14	RER1	-0.0193434829256195	1.39827376320575e-06	1.11738091536752e-05
ENSG00000149527.13	PLCH2	0.0230421821945176	3.54885833508629e-09	2.74337632943786e-07
ENSG00000157881.9	PANK4	0.0158474529615049	8.72441415993453e-07	8.05502176914672e-06
ENSG00000272449.1	RP3-395M20.12	0.0152500954617978	1.66839316382896e-06	1.27065386527902e-05
ENSG00000238260.1	RP11-46F15.2	-0.0141896420134693	0.000102201441002881	0.000323779905239493
ENSG00000158109.10	TPRG1L	-0.017238485117227	5.22340533867992e-06	2.98480305067424e-05
ENSG00000198912.6	C1orf174	0.0193386355437007	2.5597712271313e-07	3.54613250044395e-06
ENSG00000158292.6	GPR153	0.025176653433147	3.90039667325469e-10	7.60906337846354e-08
ENSG00000097021.15	ACOT7	0.0203931855568972	2.97426029604213e-07	3.89596225408515e-06
ENSG00000162413.12	KLHL21	-0.0178572526096411	3.09495291120431e-06	1.99513928740135e-05
ENSG00000232912.1	RP5-1115A15.1	-0.0138863805487005	0.000234933913240923	0.000653021310336656
ENSG00000049239.8	H6PD	-0.0198837796978447	1.3039379272158e-06	1.06257695648962e-05
ENSG00000171608.11	PIK3CD	-0.0176605127101071	2.39040495199484e-06	1.65734176035422e-05
ENSG00000179840.5	C1orf200	-0.0224016553969895	1.36820914862007e-08	5.76004084725183e-07
ENSG00000171603.12	CLSTN1	0.0223104312145079	1.60226165278511e-08	6.37373505956392e-07
ENSG00000162441.7	LZIC	-0.0216344695809537	8.94603950097212e-09	4.61360037121562e-07
ENSG00000173614.9	NMNAT1	-0.0229424681243157	3.07404256445491e-08	9.22650086289698e-07
ENSG00000162444.11	RBP7	-0.0164485269357643	2.49136249230797e-05	0.000101082535512579
ENSG00000142655.8	PEX14	0.0222070417006904	1.5248678343017e-09	1.66477083078703e-07
ENSG00000272078.1	RP4-734G22.3	0.0187884352034849	6.47546598513547e-07	6.58491048065889e-06
ENSG00000271895.1	RP4-635E18.8	-0.0164767241214091	7.42480744419262e-06	3.90011711510155e-05
ENSG00000171824.9	EXOSC10	0.0203644387136147	4.04427952942484e-07	4.8504482063866e-06
ENSG00000226849.1	RP4-635E18.7	0.0188291281784334	2.54015893301692e-06	1.73591552261071e-05
ENSG00000116661.9	FBXO2	0.0226535016685016	3.82402668366373e-08	1.05379666626153e-06
ENSG00000132879.9	FBXO44	0.0217411611110597	4.88588662448848e-08	1.21015785347536e-06
ENSG00000162490.6	DRAXIN	0.0243937216700405	1.92582286953599e-09	1.93117237750692e-07
ENSG00000177674.11	AGTRAP	-0.0180538161365519	9.99646436121752e-07	8.80713516631977e-06
ENSG00000116685.11	KIAA2013	-0.0182665788675848	9.16613495888609e-07	8.33494891727426e-06
ENSG00000028137.12	TNFRSF1B	0.0109380619909116	0.000211675859435319	0.000598160354255577
ENSG00000162496.4	DHRS3	0.0214203341251091	1.63390776808151e-07	2.58702063279572e-06
ENSG00000116731.18	PRDM2	-0.0141002893669249	0.000102121141265539	0.000323667532896047
ENSG00000189337.11	KAZN	-0.0175467323097058	2.26143097112224e-05	9.36173262766648e-05
ENSG00000142634.8	EFHD2	-0.0171036753472899	2.74114734771146e-06	1.83183169775385e-05
ENSG00000132906.13	CASP9	-0.0212361606725118	3.57014844190062e-09	2.74337632943786e-07
