GeneSymbol	Age.Coef	p.value	FDR
ENSG00000225630.1	MTND2P28	-0.014705736578408	2.4118421180035e-05	0.000115886785318551
ENSG00000078808.12	SDF4	-0.0104817767286606	9.39568314799217e-05	0.000369422237011164
ENSG00000160087.16	UBE2J2	-0.0158539357265191	6.22810686316996e-08	7.32819013032186e-07
ENSG00000230415.1	RP5-902P8.10	0.0131368817575237	4.63617075537325e-05	0.000202573841187259
ENSG00000162572.15	SCNN1D	0.0181502237588212	6.45332612699742e-09	1.14877896408873e-07
ENSG00000127054.14	CPSF3L	0.0176879420869334	2.93622123703079e-09	5.98604177899042e-08
ENSG00000240731.1	RP5-890O3.9	0.0171140247281449	2.38498914756151e-08	3.32669511673982e-07
ENSG00000162576.12	MXRA8	0.0206438833230834	1.21426558666782e-09	2.85325429187235e-08
ENSG00000221978.7	CCNL2	0.0213555233932686	6.64807425948466e-10	1.74001824801462e-08
ENSG00000179403.10	VWA1	0.0160294242167587	1.08888485074025e-06	8.29529424476041e-06
ENSG00000197785.9	ATAD3A	-0.0147678663832812	2.22875517349066e-07	2.17674173686794e-06
ENSG00000205090.4	TMEM240	0.0195446373712139	7.42854087283129e-09	1.28209017175165e-07
ENSG00000182873.4	RP11-181G12.2	0.0165833545716659	5.72845112008255e-07	4.85098575630695e-06
ENSG00000157873.13	TNFRSF14	0.0160667508228812	3.4146912427554e-06	2.18916823157947e-05
ENSG00000162591.11	MEGF6	0.0137189847301752	9.25204048010775e-05	0.000364678464351364
ENSG00000227372.6	TP73-AS1	0.0154969276305328	7.72083425785753e-06	4.34255858737157e-05
ENSG00000272153.1	RP1-286D6.5	0.0138665084118981	8.01797725883521e-05	0.000323422843985035
ENSG00000116198.8	CEP104	-0.0126461575869957	7.7562071529219e-05	0.000314712718476578
ENSG00000236423.1	RP13-15E13.1	-0.0156122285633504	2.08472624882448e-09	4.46232699495345e-08
ENSG00000007923.11	DNAJC11	-0.0219114177008297	1.49471161093028e-10	5.28009373295436e-09
ENSG00000049246.10	PER3	0.022787337368984	2.01284297690725e-11	1.05841762954682e-09
ENSG00000235263.1	RP13-392I16.1	-0.0125493480832341	8.43105211841037e-05	0.000336499541142695
ENSG00000171603.12	CLSTN1	0.0174592630351375	5.31524183032577e-09	9.74624863246208e-08
ENSG00000162441.7	LZIC	-0.0151976492525977	2.10588459557791e-06	1.44845774373206e-05
ENSG00000173614.9	NMNAT1	-0.0126986243181973	0.000246242543848616	0.000849054997387588
ENSG00000162444.11	RBP7	0.0160015166736224	2.78220766734776e-06	1.83486884872361e-05
ENSG00000130939.14	UBE4B	-0.0132146004671647	6.21216759765632e-05	0.000259976755320387
ENSG00000054523.12	KIF1B	-0.0114334893060703	0.000277446901895088	0.000942915215547032
ENSG00000175279.17	APITD1	-0.0161354415670585	6.23710491204243e-08	7.3333373617424e-07
ENSG00000272078.1	RP4-734G22.3	0.0188286505012666	5.34746489770758e-08	6.46957595290159e-07
ENSG00000009724.12	MASP2	0.0141611578155448	1.53355940828759e-05	7.87177533166649e-05
ENSG00000271895.1	RP4-635E18.8	0.0147844652654991	2.0458644159337e-05	0.000100587276816877
ENSG00000171824.9	EXOSC10	0.0202497647175032	5.91339421755029e-10	1.58701092528875e-08
ENSG00000226849.1	RP4-635E18.7	0.0131762132430354	0.000131083207293507	0.000491399373879064
ENSG00000198793.8	MTOR	-0.0190019291499132	1.81499214271299e-08	2.6556817689641e-07
ENSG00000120942.9	UBIAD1	-0.0202669687777025	2.31025549345507e-09	4.85980933444175e-08
ENSG00000116663.6	FBXO6	-0.0172020755621367	4.53766966176384e-07	3.96977266989721e-06
ENSG00000116685.11	KIAA2013	-0.017132961963273	3.43329665069868e-09	6.7562677638625e-08
ENSG00000162494.5	LRRC38	0.0129258922525238	0.000176854912615311	0.000637376907291853
ENSG00000189337.11	KAZN	0.0203303964399878	1.5985226172323e-09	3.59633577757752e-08
ENSG00000142634.8	EFHD2	0.0151706964148852	5.26567734805692e-06	3.13509415981722e-05
ENSG00000116809.7	ZBTB17	-0.0134831630774292	1.62569956927548e-06	1.15836571735303e-05
ENSG00000173641.13	HSPB7	-0.0126495279112501	6.47003198533858e-05	0.000269276245918277
ENSG00000055070.12	SZRD1	-0.0160145747076715	1.66123611860733e-07	1.69337185586317e-06
ENSG00000157191.15	NECAP2	0.0153259486281421	4.54733774656476e-06	2.77405092301014e-05
ENSG00000080947.10	CROCCP3	0.0165278480579331	1.56048284379145e-08	2.34161006484165e-07
ENSG00000058453.12	CROCC	0.0202738709441976	6.68306866022006e-11	2.77487308952226e-09
ENSG00000117122.9	MFAP2	0.0190215971159035	1.85162066379055e-08	2.69683703841891e-07
ENSG00000127481.10	UBR4	-0.0147445430288902	1.38130830314792e-05	7.17149950776731e-05
ENSG00000053371.8	AKR7A2	0.0140435541813103	1.75257725091742e-05	8.83586388328074e-05
ENSG00000040487.8	PQLC2	-0.0133065390967223	6.53267146002121e-05	0.000271384761727073
ENSG00000173436.9	MINOS1	-0.0130563101223652	4.12522707479973e-05	0.000183329298496493
ENSG00000158747.9	NBL1	0.0176092072825458	1.08290216833144e-07	1.17161741418179e-06
ENSG00000090432.5	MUL1	-0.0197778211922487	3.49045551286683e-09	6.84327748944137e-08
ENSG00000004487.11	KDM1A	-0.0164256154496515	2.84503043506022e-06	1.87085521270689e-05
ENSG00000261326.2	RP5-1057J7.6	0.014689548191626	2.09139961503478e-05	0.000102603431160119
ENSG00000088280.14	ASAP3	-0.0156343278619874	1.62093916207301e-06	1.1554928561636e-05
ENSG00000011007.8	TCEB3	-0.0318553111646016	8.31543322636207e-22	1.96095846614897e-18
ENSG00000011009.6	LYPLA2	-0.0123024089629132	2.2470429412318e-05	0.000109158799665781
ENSG00000117602.7	RCAN3	-0.0168717889310418	9.19917793815817e-07	7.15937984676775e-06
ENSG00000133226.12	SRRM1	0.0278038571696881	1.88781022949629e-17	1.03915364431472e-14
ENSG00000020633.14	RUNX3	0.012825577098768	0.000186936872295462	0.000668396242443266
ENSG00000117616.13	C1orf63	0.0178538472764106	2.93644024746942e-08	3.93701426585905e-07
ENSG00000117643.10	MAN1C1	0.0200911669797252	1.45918422747011e-09	3.31577665213516e-08
ENSG00000142669.9	SH3BGRL3	0.0167888682217665	2.98663469282373e-07	2.78489199664181e-06
ENSG00000117682.12	DHDDS	-0.0162336438780584	2.93370782646159e-08	3.93667849708184e-07
