GeneSymbol	Age.Coef	p.value	FDR
ENSG00000188290.6	HES4	-0.0214872171595253	1.79560101539346e-06	0.000103065328372992
ENSG00000187608.5	ISG15	-0.028023296173082	2.38471022679306e-06	0.000126556172063803
ENSG00000186827.6	TNFRSF4	-0.034509744859795	9.18806197747183e-09	1.86974522907092e-06
ENSG00000235169.3	SMIM1	0.0346615489120462	2.23219549826174e-09	6.05849746735355e-07
ENSG00000130940.10	CASZ1	-0.031151538943529	1.05410735716103e-08	2.04356996721453e-06
ENSG00000272078.1	RP4-734G22.3	-0.0230482045522135	2.0597016143812e-05	0.000617228248763855
ENSG00000009724.12	MASP2	-0.0220939698859696	1.04729368620694e-06	6.67702441082067e-05
ENSG00000028137.12	TNFRSF1B	-0.0233562089767664	9.04124003342995e-07	5.95565906889895e-05
ENSG00000001461.12	NIPAL3	0.0215312818945637	8.86554154573955e-06	0.000330292461573569
ENSG00000197245.4	FAM110D	-0.02241837656485	4.37303077703841e-06	0.000195489909959889
ENSG00000142748.8	FCN3	-0.0289227406913727	1.25637486191017e-06	7.66173152934724e-05
ENSG00000198492.10	YTHDF2	-0.0207139206122101	1.66439545363626e-05	0.000526153897231868
ENSG00000060656.15	PTPRU	0.0212202323106248	2.47041309168236e-05	0.000690226151895193
ENSG00000220785.3	MTMR9LP	0.0268861074624095	5.59005563892363e-07	4.21450266205992e-05
ENSG00000169218.9	RSPO1	0.0339444703578197	9.12475148672294e-08	1.09956858905519e-05
ENSG00000066056.9	TIE1	-0.0283141689441518	1.37166958256098e-09	4.69481495478287e-07
ENSG00000162367.7	TAL1	-0.0212887768466168	1.42348325042429e-05	0.000466288935772604
ENSG00000198841.3	KTI12	-0.0177129534268719	2.462496529495e-05	0.000689027563532777
ENSG00000162623.11	TYW3	0.0254657613217992	9.81883859108954e-06	0.000352642938359376
ENSG00000137965.6	IFI44	-0.0244202480911629	3.83408518447026e-06	0.000178977357296684
ENSG00000171517.5	LPAR3	0.0262410363156396	2.27935420361993e-07	2.1761532921897e-05
ENSG00000055732.8	MCOLN3	0.0338071168882679	8.71907830348966e-10	3.56124906494856e-07
ENSG00000122406.8	RPL5	0.0232791371972573	5.46267291811211e-06	0.000231147712185327
ENSG00000137970.7	RP11-122C9.1	0.0256941679002727	1.02369483043222e-05	0.000362971155004388
ENSG00000134215.11	VAV3	-0.021978504655258	1.37237545216391e-05	0.000451884943079065
ENSG00000213366.8	GSTM2	0.0230631762278728	1.69709675000048e-06	9.89053409609174e-05
ENSG00000162777.12	DENND2D	0.0301510383547983	3.67417148544715e-06	0.00017309205573537
ENSG00000173947.9	PIFO	0.0246533014456804	1.18416922059698e-05	0.000403914381007576
ENSG00000163344.5	PMVK	0.0307210144058216	4.50057134424278e-07	3.63110485425088e-05
ENSG00000132677.8	RHBG	-0.0203932980856806	1.93903321884903e-05	0.000587554898323968
ENSG00000187800.9	PEAR1	-0.0314374938432275	1.08771016878031e-08	2.08741469663204e-06
ENSG00000143222.7	UFC1	0.0246591386679221	1.9230111026396e-05	0.000583683493977533
ENSG00000117477.8	CCDC181	0.0262248450061552	6.90203700235404e-06	0.000275486976906984
ENSG00000116711.8	PLA2G4A	0.0374526420453802	1.17931699737757e-08	2.19665133658592e-06
ENSG00000116833.9	NR5A2	-0.0298012937650978	1.90418610347358e-07	1.91416041163463e-05
