GeneSymbol	Age.Coef	p.value	FDR
ENSG00000143061.13	IGSF3	-0.0205769683791179	6.67629191628682e-07	0.000510680695829973
ENSG00000134240.7	HMGCS2	-0.0198433105589142	1.29566861347509e-06	0.000761243695907692
ENSG00000174899.6	C3orf55	0.0226265293560916	1.71070621561962e-08	2.85501315512228e-05
ENSG00000213186.3	TRIM59	-0.0248909021616485	1.63536789228759e-09	5.00368062776926e-06
ENSG00000172667.6	ZMAT3	0.0184070979771445	2.86868473334975e-07	0.000277175338604393
ENSG00000163071.6	SPATA18	0.0208639887876066	8.62200223929575e-08	0.000121755936237686
ENSG00000172901.15	AQPEP	0.0162012419924086	1.36839753594911e-06	0.000761243695907692
ENSG00000244694.3	PTCHD4	0.0415691445562885	2.80604866390768e-26	5.15134413720173e-22
ENSG00000112319.13	EYA4	0.0343285983895755	9.59519537104539e-20	8.80742983108257e-16
ENSG00000164506.10	STXBP5	0.014786887762786	2.63823722392554e-07	0.000269070883093473
ENSG00000171243.7	SOSTDC1	-0.0165680187915552	3.04761926296646e-07	0.000279740972147692
ENSG00000225511.2	LINC00475	0.0208661606069125	1.12647300848332e-08	2.29775460997076e-05
ENSG00000134574.7	DDB2	0.0182256617162164	3.88096013458698e-07	0.000339269838813084
ENSG00000139200.9	PIANP	-0.0251779474634428	3.18766707984616e-10	1.4629798062954e-06
ENSG00000008394.8	MGST1	0.0154385073804821	1.03554511193018e-06	0.000655535764303942
ENSG00000135679.17	MDM2	0.0157429933285958	1.28743305496694e-06	0.000761243695907692
ENSG00000135097.2	MSI1	-0.0234487477045508	5.74779370603657e-10	2.11035993710839e-06
ENSG00000198542.9	ITGBL1	0.0165058790673986	2.45993706669691e-07	0.000265644262767188
ENSG00000119681.7	LTBP2	0.024289114057889	4.36752118414071e-09	1.14541362712079e-05
ENSG00000108947.4	EFNB3	-0.0188416216708238	7.88957594400249e-07	0.00054615173332796
ENSG00000161513.7	FDXR	0.0197428488694615	8.03251813915182e-07	0.00054615173332796
ENSG00000130513.6	GDF15	0.017542970381143	1.32940275356328e-06	0.000761243695907692
ENSG00000196109.6	ZNF676	0.0210247390266234	6.18113786178973e-09	1.4184166108342e-05
ENSG00000166289.5	PLEKHF1	0.0219990107613688	1.8936343214984e-08	2.8969449061723e-05
ENSG00000105711.6	SCN1B	0.0160630859351898	2.04362551037709e-07	0.000234480481996892
ENSG00000204519.6	ZNF551	-0.0217351717885051	1.482200890294e-07	0.000194358885314409
ENSG00000179909.11	ZNF154	-0.0178257478002974	1.91762612167692e-07	0.000234480481996892
ENSG00000083814.8	ZNF671	-0.0186710804807257	1.25516684739631e-08	2.30423529845014e-05
ENSG00000101230.5	ISM1	0.0182145535631588	4.35933462527727e-07	0.000363766659322001
ENSG00000131080.10	EDA2R	0.0297635537292141	4.91065100181552e-13	3.00499103637764e-09
