GeneSymbol	Age.Coef	p.value	FDR
ENSG00000225630.1	MTND2P28	-0.017963770473317	3.43294187604205e-06	4.43511058516787e-05
ENSG00000240409.1	MTATP8P1	-0.0169646590900525	1.66905733849003e-05	0.000161801533097197
ENSG00000248527.1	MTATP6P1	-0.0156420102990243	3.73826992784673e-05	0.000314331476475384
ENSG00000230092.3	RP11-206L10.8	0.0138790395104284	4.28107529659882e-05	0.000351193295517598
ENSG00000162572.15	SCNN1D	0.0164130082332343	1.79599638332515e-05	0.000171675107084317
ENSG00000131584.14	ACAP3	0.018635949014598	7.09682810282016e-09	2.45775666443915e-07
ENSG00000169962.4	TAS1R3	0.0209415921425767	3.73688339172796e-08	1.00344673918064e-06
ENSG00000162576.12	MXRA8	0.0129854696016317	1.15888098022168e-05	0.000120845161174561
ENSG00000197530.8	MIB2	0.0136493841225281	7.59487878407592e-06	8.51903027182952e-05
ENSG00000008130.11	NADK	-0.0157166260936865	3.71029995998882e-05	0.000312876028605837
ENSG00000182873.4	RP11-181G12.2	0.0178981158715536	9.12959464114576e-06	9.92155947748612e-05
ENSG00000162585.12	C1orf86	0.0143197989666885	2.66242492269114e-06	3.62616061536603e-05
ENSG00000149527.13	PLCH2	0.0165357307746499	3.29044843835345e-05	0.000284619796697506
ENSG00000238164.2	RP3-395M20.8	0.0161585054000726	1.34426018597792e-05	0.000135546235419441
ENSG00000157873.13	TNFRSF14	0.0217330024420073	6.97314069589954e-10	3.2946429516531e-08
ENSG00000177133.6	LINC00982	0.0158549361063546	4.74332303191812e-05	0.000381697089397336
ENSG00000142611.12	PRDM16	0.0229174288469607	5.01233700995491e-09	1.83176456032312e-07
ENSG00000158109.10	TPRG1L	-0.0164523319834179	8.29901547715324e-06	9.12346106220133e-05
ENSG00000116254.13	CHD5	0.0171966516846157	6.41861314740466e-06	7.39589450606835e-05
ENSG00000116237.11	ICMT	-0.0164145969771025	1.3383961064951e-05	0.00013502355026583
ENSG00000097021.15	ACOT7	-0.0151283658497366	2.12654200564652e-05	0.000198304039285947
ENSG00000187017.10	ESPN	0.026306234329942	1.31888146876516e-11	1.06875564990131e-09
