GeneSymbol	Age.Coef	p.value	FDR
ENSG00000016602.8	CLCA4	0.0341579093345669	1.50558510228519e-06	0.000960044127981302
ENSG00000135631.11	RAB11FIP5	-0.0377255463959796	1.65111519586809e-06	0.000984916845225572
ENSG00000160145.11	KALRN	-0.0474819995292384	2.76688158932116e-08	0.000193822865092859
ENSG00000154917.6	RAB6B	-0.0437525509052392	1.29110737738227e-06	0.000893587883101278
ENSG00000168228.10	ZCCHC4	0.0416544033357324	1.22819591737127e-06	0.000893587883101278
ENSG00000186212.2	SOWAHB	-0.044394633912465	1.13675890914064e-06	0.000893587883101278
ENSG00000164327.8	RICTOR	0.0382708679339563	1.32740891843727e-07	0.000350663510282028
ENSG00000134986.9	NREP	-0.0463105698297259	1.77370978541752e-07	0.000364438237243787
ENSG00000204569.5	PPP1R10	0.0381994836619411	1.09813253704593e-06	0.000893587883101278
ENSG00000228010.1	AC073343.13	-0.0378169053864301	1.05209797071462e-06	0.000893587883101278
ENSG00000121671.7	CRY2	-0.0389369872335256	6.0377243743021e-07	0.000714990677302078
ENSG00000110077.10	MS4A6A	0.0473874361927367	6.06030236095628e-08	0.000224134222517607
ENSG00000092208.12	GEMIN2	-0.0400729851522105	2.29480318185542e-07	0.00040679133339024
ENSG00000139998.10	RAB15	-0.0427820293513963	1.079173484021e-06	0.000893587883101278
ENSG00000185088.8	RPS27L	0.0355856291934256	9.44492966063564e-09	0.000174655639284474
ENSG00000140497.12	SCAMP2	0.0427539324524652	6.18637834568097e-07	0.000714990677302078
ENSG00000166501.8	PRKCB	-0.0427130981404774	8.01927813081319e-08	0.000247154151991663
ENSG00000176046.7	NUPR1	0.0362149916424006	1.66144651714746e-07	0.000364438237243787
ENSG00000230989.2	HSBP1	-0.034955891622347	1.19654891667063e-06	0.000893587883101278
ENSG00000213977.3	TAX1BP3	0.0334791290764883	4.98477828343421e-07	0.000658418000123324
ENSG00000108828.11	VAT1	0.0404373870913684	1.59278693455165e-06	0.000981793866457637
ENSG00000263878.1	DLGAP1-AS4	-0.0488548924036172	4.04396590891275e-08	0.000193822865092859
ENSG00000131080.10	EDA2R	0.0469284390304395	3.87679743750253e-07	0.00059741448511914
