GeneSymbol	Age.Coef	p.value	FDR
ENSG00000176022.3	B3GALT6	-0.0177964041215427	3.97833272544689e-06	0.000182449372789948
ENSG00000272106.1	RP11-345P4.9	-0.0215720227598169	3.24815614006077e-07	3.17291823763283e-05
ENSG00000157933.9	SKI	-0.0232556444947779	1.79881441189821e-08	4.71782201783604e-06
ENSG00000157881.9	PANK4	0.019355212218947	4.33441191490714e-06	0.000191213480467309
ENSG00000069424.10	KCNAB2	-0.0219380729520652	2.83399912112632e-07	2.93295930665322e-05
ENSG00000162413.12	KLHL21	-0.0200367783218075	2.48211265499227e-06	0.000130916057555047
ENSG00000049239.8	H6PD	-0.018484773280377	7.46668476390013e-06	0.000279382941440237
ENSG00000272078.1	RP4-734G22.3	0.0187448727172154	9.5578260006477e-06	0.000333322653202916
ENSG00000239149.1	SNORA59A	0.0208170430605822	1.06010627935732e-06	7.14675874104762e-05
ENSG00000055070.12	SZRD1	-0.0196748610453204	1.01305339457626e-06	6.90246273756478e-05
ENSG00000159363.13	ATP13A2	-0.0197388499333749	5.6846157806576e-06	0.000226273708391831
ENSG00000169991.6	IFFO2	-0.01603794086117	4.58072076113962e-05	0.000983211655748645
ENSG00000272084.1	RP5-1126H10.2	0.0219430489210461	4.17485804849613e-07	3.71775963704683e-05
ENSG00000169641.9	LUZP1	-0.0194380994999421	4.96358912527282e-06	0.000206318560800078
ENSG00000001461.12	NIPAL3	-0.0199543821470804	3.55422281054097e-06	0.000171408438112386
ENSG00000272432.1	RP3-465N24.6	-0.0178973643466711	2.75235891566451e-05	0.000689746908367968
ENSG00000158195.6	WASF2	-0.0179779057627542	1.89369115002102e-05	0.000529293587712444
ENSG00000229447.2	RP11-490K7.4	0.0190371338747379	1.25771576831925e-05	0.000399062301753814
ENSG00000235790.3	RP11-73M7.6	0.0203821878475634	1.08630001174726e-06	7.19664360723634e-05
ENSG00000084652.11	TXLNA	-0.0241930054860947	1.79129448716787e-09	1.07175388285363e-06
ENSG00000142686.7	C1orf216	-0.018810394069219	8.80045654881429e-06	0.000312603972325785
ENSG00000188786.9	MTF1	-0.0206850227054455	1.67924942158152e-07	2.1291992997086e-05
ENSG00000090621.9	PABPC4	-0.0203517600378206	1.07104796636864e-07	1.66717759057675e-05
ENSG00000117000.8	RLF	0.0212257001702899	1.33129986205227e-07	1.90216919095917e-05
ENSG00000227533.1	SLC2A1-AS1	0.0190635548253445	1.73070838230599e-06	0.000101333769686943
ENSG00000236200.1	KDM4A-AS1	0.0166196031343989	4.28437455534428e-06	0.000189442575604207
ENSG00000159592.6	GPBP1L1	0.0201810756351537	4.38691818990527e-07	3.83524820383225e-05
ENSG00000234329.1	RP11-767N6.2	0.0195124306739213	4.9065881242019e-06	0.000205207362975729
ENSG00000159658.6	EFCAB14	-0.0151233464455321	1.15938458995249e-05	0.000381236500679503
ENSG00000198841.3	KTI12	-0.0205523890274402	1.28437764282999e-07	1.84892438718969e-05
ENSG00000162407.8	PPAP2B	-0.0161274092623585	6.06790241762512e-06	0.000238065696081661
ENSG00000117226.7	GBP3	0.0182910934344657	1.38922934647675e-05	0.00042824929030066
ENSG00000117228.9	GBP1	0.021924259431053	3.84452485612176e-07	3.54026976219152e-05
ENSG00000143033.13	MTF2	0.0216803215261651	2.17817593288758e-07	2.49720697072249e-05
ENSG00000117600.8	LPPR4	-0.0174295658609243	2.52781814979182e-05	0.000648761478497508
ENSG00000143126.7	CELSR2	-0.020642078681699	8.31944495467557e-08	1.42217940269838e-05
ENSG00000134243.7	SORT1	-0.0192513403267426	7.1230017156729e-06	0.000269519744759434
ENSG00000174151.10	CYB561D1	-0.0211530817257158	4.70643820341155e-07	4.00956525866164e-05
ENSG00000258634.2	RP4-773N10.4	-0.0196255647449376	3.90827074958594e-06	0.000181975228677948
ENSG00000197106.6	SLC6A17	-0.0248932462810259	2.22775768068253e-10	4.22161304564101e-07
ENSG00000197852.8	FAM212B	-0.0235842409949618	7.97450948754701e-09	2.77599924815591e-06
ENSG00000226419.2	RP11-31F15.1	0.0192038786930106	1.56587395134221e-05	0.000466255407035739
ENSG00000203865.5	ATP1A1OS	0.0177459295235155	1.16345485564236e-05	0.000381236500679503
ENSG00000261662.1	RP5-1042I8.7	-0.0267153797234525	8.08105084549437e-10	6.1887919795134e-07
ENSG00000273131.1	RP6-42F4.1	-0.019740772196219	5.50743977628497e-06	0.000221524037724269
ENSG00000118298.6	CA14	-0.0233356928942126	7.62608492919588e-09	2.70387077878489e-06
ENSG00000163155.7	LYSMD1	0.0214710957847442	3.16535161002626e-07	3.14009440028822e-05
ENSG00000234614.1	AL450992.2	-0.0198908612050007	3.25418431442844e-06	0.000160175972703006
ENSG00000160679.8	CHTOP	0.0230588839561707	6.54898282684814e-09	2.41128510005451e-06
ENSG00000169418.9	NPR1	-0.0175982026035387	5.06055516520262e-06	0.000208813338777951
ENSG00000160716.4	CHRNB2	-0.0255788593602639	1.41374786491094e-09	9.21793081440091e-07
ENSG00000160685.9	ZBTB7B	-0.0153641016992072	6.01207836032538e-07	4.76652769888081e-05
ENSG00000236675.1	MTX1P1	-0.0226310561808917	9.80787557555709e-08	1.60497081854373e-05
ENSG00000177628.11	GBA	-0.0205191059833909	4.46117983242333e-07	3.86487552360077e-05
ENSG00000225855.2	RUSC1-AS1	0.0170083714209701	2.97826088694674e-05	0.000728247547145367
ENSG00000132692.14	BCAN	-0.0237491268179127	3.01563334368542e-09	1.44343289995503e-06
ENSG00000183853.13	KIRREL	-0.0163172551211726	2.24818824311596e-06	0.000121250174937178
ENSG00000163564.10	PYHIN1	0.0163242703907096	1.49118250984182e-05	0.000451029705109501
ENSG00000132185.12	FCRLA	-0.0175269375997563	3.38729839860587e-05	0.000799669730452626
ENSG00000132196.9	HSD17B7	0.0214661635285242	4.97678583463698e-07	4.14284963434607e-05
ENSG00000213064.5	SFT2D2	-0.0190838156144036	2.99006812683804e-06	0.000151049721257101
ENSG00000143178.8	TBX19	0.0232654751680499	8.4715338793283e-08	1.43047748238468e-05
ENSG00000230630.1	DNM3OS	-0.0200448775924795	2.62368914964232e-07	2.83803121237582e-05
ENSG00000116194.8	ANGPTL1	-0.0181629883240933	6.19832054066275e-07	4.86364938817742e-05
ENSG00000243155.1	RP11-46A10.5	-0.0235169049265033	1.26503106181872e-08	3.72619764762788e-06
ENSG00000135823.9	STX6	0.0190289842934522	5.3484352362191e-06	0.000218016649600057
ENSG00000090104.7	RGS1	0.0230623486245136	6.48769040385513e-08	1.2421332047221e-05
ENSG00000023572.4	GLRX2	0.018562360339061	1.25679263962882e-05	0.000399062301753814
ENSG00000174307.5	PHLDA3	0.0179019750193891	1.37941572285969e-05	0.00042597247467535
ENSG00000198700.5	IPO9	-0.0194483934162794	5.89613607241493e-06	0.000233238473641438
ENSG00000176393.6	RNPEP	0.0158615398241734	4.46627372195667e-05	0.000966643319461784
ENSG00000133059.12	DSTYK	-0.0259875619440269	1.67181992573802e-10	4.05555456887017e-07
ENSG00000009790.10	TRAF3IP3	-0.01864737155779	2.48640038303605e-05	0.000641721526288672
ENSG00000154305.12	MIA3	-0.0192068588732593	3.26275093252755e-06	0.000160175972703006
ENSG00000143748.13	NVL	0.016645574125063	2.83556731735534e-05	0.0007041474949168
ENSG00000143772.5	ITPKB	-0.0187269479333235	1.92461707077762e-05	0.000533058446655202
ENSG00000181873.8	IBA57	-0.0199372440433002	1.06431217433742e-06	7.14993715433833e-05
ENSG00000135763.5	URB2	-0.0230520524521086	8.20796872427922e-08	1.42217940269838e-05
ENSG00000143641.8	GALNT2	-0.0258412172199424	6.58432038455486e-10	6.00301895631845e-07
ENSG00000116918.9	TSNAX	0.0177146049374183	8.34260293419815e-06	0.000300239616124357
ENSG00000116962.10	NID1	-0.0169435146839538	1.64062530343934e-06	9.78548662294382e-05
ENSG00000260698.1	RP11-439E19.9	-0.0199042654899465	6.82119708344011e-06	0.000259639442066689
ENSG00000196208.9	GREB1	-0.0241895994074168	2.72330053074741e-09	1.40919762058622e-06
ENSG00000118965.10	WDR35	-0.0204585029268591	2.44087583937572e-07	2.65528459208452e-05
ENSG00000119778.10	ATAD2B	0.0211925266787522	6.91710885287442e-07	5.31867333723428e-05
ENSG00000272048.1	RP11-458N5.1	-0.0204452913737187	1.46449055498884e-06	8.95819046831194e-05
ENSG00000163806.11	SPDYA	0.0177940758444077	4.03168880476704e-05	0.000900086314808789
ENSG00000158089.10	GALNT14	0.0179780224048695	4.27792217147382e-05	0.000936058261657575
ENSG00000162928.8	PEX13	0.0189328744885753	4.84666140611785e-06	0.000203769866330876
ENSG00000115902.6	SLC1A4	-0.0205732665389464	1.94184412095848e-06	0.000110149096353129
ENSG00000124380.6	SNRNP27	0.0181557862144572	7.80803908656392e-07	5.74462484219339e-05
ENSG00000144043.7	TEX261	-0.022800833648594	4.3864947973227e-08	9.43638532466746e-06
ENSG00000257702.3	LBX2-AS1	-0.0204844674123237	3.61988091509861e-07	3.42359559405312e-05
ENSG00000152291.9	TGOLN2	-0.01808255114192	1.62582908079308e-05	0.000478017582691752
ENSG00000135956.4	TMEM127	-0.0198894949323912	1.43191728850046e-07	1.9443608798319e-05
ENSG00000226479.3	TMEM185B	-0.0182843170488203	1.39573570013377e-05	0.00042824929030066
ENSG00000152102.13	FAM168B	-0.0241051120249663	8.26338282332525e-09	2.82519156313188e-06
ENSG00000152127.4	MGAT5	-0.0253675032605849	3.96892483137669e-10	4.22161304564101e-07
