GeneSymbol	Age.Coef	p.value	FDR
ENSG00000237973.1	hsa-mir-6723	-0.020904077695644	1.8251595268346e-05	0.000236409897804272
ENSG00000225880.4	LINC00115	0.0208441096195092	0.000105207121355559	0.000808314955111084
ENSG00000176022.3	B3GALT6	-0.0182044701802606	2.43220882000432e-05	0.000291273653074337
ENSG00000221978.7	CCNL2	0.0216677915027993	1.50468939683031e-05	0.000208789627523029
ENSG00000197530.8	MIB2	0.0207813563290314	3.79067109593072e-05	0.000396261379784032
ENSG00000162585.12	C1orf86	0.0198787261831707	1.280438092344e-05	0.000187713832423147
ENSG00000157873.13	TNFRSF14	0.0257349211392723	7.031601676284e-07	2.94463610714833e-05
ENSG00000078900.10	TP73	0.0270645737256304	9.6218760119223e-07	3.59415556549346e-05
ENSG00000204859.7	ZBTB48	0.0214691667936603	4.22009942883023e-05	0.000427897920913475
ENSG00000007923.11	DNAJC11	-0.0216755244459774	4.27191503655908e-05	0.000431745439057434
ENSG00000234546.2	RP3-510D11.2	0.0306772734564388	1.29538778597438e-08	3.18341548403204e-06
ENSG00000009724.12	MASP2	-0.0155643386336621	6.84198619423299e-05	0.0005971391408864
ENSG00000171824.9	EXOSC10	0.0202836544912192	5.26289871622126e-05	0.00049850976443364
ENSG00000226849.1	RP4-635E18.7	0.020865864517897	3.08526903376882e-05	0.000344226820452212
ENSG00000171819.4	ANGPTL7	0.026086717865396	9.84322161743542e-07	3.65287859244612e-05
ENSG00000132879.9	FBXO44	0.0236693152546005	8.96393824521283e-06	0.000148027829006048
ENSG00000162496.4	DHRS3	0.0240862616103165	6.20669945726536e-06	0.000117927289688042
ENSG00000233421.3	U1	-0.0209427952685782	7.28126424453523e-05	0.000626980969549029
ENSG00000228549.2	U1	-0.0190205486141318	0.000109495539165143	0.000833692696692778
ENSG00000117118.5	SDHB	-0.0230197001970975	2.45033169708546e-05	0.000292427125280927
ENSG00000053372.4	MRTO4	-0.0203305741805885	2.02985549555525e-06	5.67119671495081e-05
ENSG00000158747.9	NBL1	0.0316429982211631	4.46365559304933e-09	1.51577628202513e-06
ENSG00000090432.5	MUL1	-0.0204406265812547	4.24093065784331e-05	0.00042931090458829
ENSG00000070831.11	CDC42	-0.0228515980705971	3.35820073880132e-05	0.000364445759434005
ENSG00000125944.14	HNRNPR	-0.0222349443377099	4.53411398733322e-06	9.61822541562154e-05
ENSG00000088280.14	ASAP3	0.0264114964452543	5.70963500696776e-07	2.56766075778227e-05
ENSG00000011007.8	TCEB3	-0.0278377965362738	1.19264433367e-07	9.8127833568082e-06
ENSG00000117616.13	C1orf63	0.0228417484657173	3.26535930730772e-05	0.00035813532269474
ENSG00000117713.13	ARID1A	-0.0263152480722337	1.61528749201319e-06	4.96196126452801e-05
ENSG00000237429.1	RP1-159A19.4	0.021614838722872	2.92350968674286e-05	0.000330624766384033
ENSG00000117751.13	PPP1R8	-0.0262611443826334	1.71787867871021e-06	5.14894539127064e-05
ENSG00000130770.13	ATPIF1	0.0246721423256723	3.71368589576205e-06	8.31660809054529e-05
ENSG00000162419.8	GMEB1	-0.0317142874138387	1.68398497547661e-09	8.98622496770762e-07
ENSG00000198492.10	YTHDF2	-0.0300309829719854	6.84766562538289e-09	2.03006112516312e-06
ENSG00000060688.8	SNRNP40	-0.0221309507319859	4.42473114029831e-05	0.000441928895761238
ENSG00000235790.3	RP11-73M7.6	0.0208912905264151	9.45422025994544e-05	0.000747888487060572
ENSG00000220785.3	MTMR9LP	0.0272045164588821	8.16323628923031e-07	3.23018568165158e-05
ENSG00000225828.1	FAM229A	0.0213758593114318	8.09032798090764e-05	0.000676528531983002
ENSG00000160097.11	FNDC5	0.0264765244981913	7.63496115824398e-07	3.10335758043764e-05
ENSG00000142920.12	ADC	0.0273226455633294	4.41666935792257e-07	2.24157971733478e-05
ENSG00000121904.13	CSMD2	0.0227956377264147	5.84084347561752e-06	0.000112929020283756
ENSG00000163866.8	SMIM12	-0.0194944041135707	6.97657652370429e-06	0.000126376362296326
ENSG00000116819.6	TFAP2E	0.0228364792509759	1.71249390034112e-05	0.000226573198915158
ENSG00000126067.7	PSMB2	-0.0230424576674069	1.54565921703901e-05	0.000212048365969679
ENSG00000142694.6	EVA1B	0.0201438997919976	0.00010423055803906	0.000803763060485351
ENSG00000116883.8	RP11-268J15.5	0.0266783992286458	1.43815599954233e-06	4.61106328758848e-05
ENSG00000163877.9	SNIP1	-0.0223957919280418	4.93035629435479e-05	0.00047682506323856
ENSG00000196449.3	YRDC	-0.0246280805456998	9.94404124004772e-07	3.67771996515587e-05
ENSG00000188786.9	MTF1	-0.0243259503550822	3.44761347799361e-06	7.92388735663914e-05
ENSG00000183431.7	SF3A3	-0.0223323370728623	2.39693116747269e-05	0.000288695244928115
ENSG00000183520.7	UTP11L	-0.0240255212784387	5.82227734804427e-06	0.000112710984411037
ENSG00000174574.11	AKIRIN1	-0.02366367241646	1.17887415009695e-05	0.000176424939914749
ENSG00000255103.1	KIAA0754	-0.0227653417365089	2.40077583379495e-05	0.000288912952627502
ENSG00000182109.3	RP11-69E11.4	0.0228324911930634	2.0403675180745e-05	0.000256101775101327
ENSG00000131236.12	CAP1	-0.0256967965591542	1.11494322825978e-06	3.87706801353706e-05
ENSG00000117385.11	LEPRE1	0.020103265502434	3.41221169901045e-05	0.000368167983260648
ENSG00000132768.9	DPH2	-0.0170023732894385	7.44680124376503e-05	0.00063683107522802
ENSG00000159588.10	CCDC17	0.0248254165472698	5.43359715217318e-06	0.00010935699785683
ENSG00000117481.6	NSUN4	-0.0229978940960136	1.47386216756367e-06	4.67356938940349e-05
ENSG00000079277.15	MKNK1	0.0206117987213436	8.01640281103485e-05	0.000672909462030103
ENSG00000198841.3	KTI12	-0.0237380861798242	6.55216307715747e-06	0.000121980295728577
ENSG00000162377.4	SELRC1	-0.0280454849263164	2.26001398539325e-07	1.49152937120812e-05
ENSG00000121310.12	ECHDC2	0.0199122141222562	0.000117476714818692	0.000879756456563237
ENSG00000116171.12	SCP2	-0.0236746633820346	7.26136656645777e-07	3.00045449915336e-05
ENSG00000157184.5	CPT2	-0.0168709800321054	5.11730224200515e-05	0.00049038406348861
ENSG00000058804.10	NDC1	-0.0243983035421042	3.08361130325455e-06	7.38366773216477e-05
ENSG00000248835.2	AL357673.1	0.0180787207487478	4.90932679953062e-05	0.000475808436930314
ENSG00000184313.15	MROH7	0.0221196824239247	8.44949697144764e-06	0.000141789087992567
ENSG00000260971.3	RP11-504A18.1	0.017669345485246	8.78292711076127e-05	0.000714454397420245
ENSG00000162601.5	MYSM1	-0.0136345923197065	7.76996646004897e-05	0.000657840723365071
ENSG00000232453.1	RP4-794H19.1	0.0235306039544369	1.44367681800805e-05	0.0002037625617063
ENSG00000230798.1	RP4-792G4.2	0.0255975178572346	1.85697986188266e-06	5.41073523874922e-05
ENSG00000187140.4	FOXD3	0.0224489389201832	5.62266570205081e-05	0.000522514997116465
ENSG00000116678.14	LEPR	0.0268438687218446	2.52953856007628e-09	1.21138953042422e-06
ENSG00000118473.17	SGIP1	0.0219086616928726	4.47462786673798e-05	0.000445346364318616
ENSG00000142864.10	SERBP1	-0.0254342562015703	2.74541791391216e-07	1.66510143187375e-05
ENSG00000162595.4	DIRAS3	0.0255192194236583	6.7943768970743e-08	7.3351778789975e-06
ENSG00000180488.10	FAM73A	-0.0213502230751558	2.2461002986674e-06	6.01871094378924e-05
ENSG00000055732.8	MCOLN3	0.0301723055093994	4.27298115212362e-09	1.47789757367061e-06
ENSG00000097096.8	SYDE2	-0.0302179094234042	2.90273843413735e-08	4.99986890627362e-06
ENSG00000097033.10	SH3GLB1	-0.0235152681489643	1.70231591906457e-05	0.00022565049269247
ENSG00000267272.1	RP5-1052I5.1	0.0249017552230863	1.1036954909871e-06	3.87706801353706e-05
ENSG00000213516.5	RBMXL1	-0.0203119606822495	0.000105506563605762	0.000809259173907519
ENSG00000162654.8	GBP4	0.0229144653791361	1.42026342898343e-05	0.000201720608845046
ENSG00000233593.2	RP4-665J23.1	0.0243754987230007	4.92224690452613e-07	2.34522462846517e-05
ENSG00000117500.8	TMED5	-0.0179540785024764	2.10177945141103e-05	0.000261699565426692
ENSG00000117505.8	DR1	-0.0271727860841812	4.52648733645471e-08	6.1899934826632e-06
ENSG00000067334.9	DNTTIP2	-0.0252822227586005	9.3653795258753e-07	3.52655631864462e-05
ENSG00000023909.5	GCLM	-0.0187956036487289	3.81413860390411e-06	8.48055556013298e-05
